 frequency              r_VOUT                 i_VOUT                
 1.615598098439882e+01  1.125685538929746e+00 -1.749305918030144e-05 
 1.646897865482876e+01  1.125685538919088e+00 -1.783881018253735e-05 
 1.678804018122569e+01  1.125685538908012e+00 -1.819112941086786e-05 
 1.711328304161789e+01  1.125685538896503e+00 -1.855014658876202e-05 
 1.744482698999263e+01  1.125685538884543e+00 -1.891599390586486e-05 
 1.778279410038932e+01  1.125685538872117e+00 -1.928880606666963e-05 
 1.812730881184708e+01  1.125685538859204e+00 -1.966872034011549e-05 
 1.847849797422300e+01  1.125685538845783e+00 -2.005587661013001e-05 
 1.883649089489810e+01  1.125685538831840e+00 -2.045041742713432e-05 
 1.920141938638811e+01  1.125685538817351e+00 -2.085248806052968e-05 
 1.957341781487670e+01  1.125685538802295e+00 -2.126223655218570e-05 
 1.995262314968890e+01  1.125685538786650e+00 -2.167981377094902e-05 
 2.033917501372302e+01  1.125685538770392e+00 -2.210537346819318e-05 
 2.073321573485966e+01  1.125685538753499e+00 -2.253907233442951e-05 
 2.113489039836658e+01  1.125685538735944e+00 -2.298107005700043e-05 
 2.154434690031895e+01  1.125685538717704e+00 -2.343152937887615e-05 
 2.196173600205448e+01  1.125685538698748e+00 -2.389061615857619e-05 
 2.238721138568352e+01  1.125685538679052e+00 -2.435849943123871e-05 
 2.282092971067463e+01  1.125685538658586e+00 -2.483535147085853e-05 
 2.326305067153639e+01  1.125685538637317e+00 -2.532134785371838e-05 
 2.371373705661668e+01  1.125685538615216e+00 -2.581666752303598e-05 
 2.417315480804117e+01  1.125685538592252e+00 -2.632149285485058e-05 
 2.464147308281295e+01  1.125685538568389e+00 -2.683600972517338e-05 
 2.511886431509594e+01  1.125685538543594e+00 -2.736040757842717e-05 
 2.560550427970491e+01  1.125685538517827e+00 -2.789487949719909e-05 
 2.610157215682552e+01  1.125685538491052e+00 -2.843962227333383e-05 
 2.660725059798825e+01  1.125685538463230e+00 -2.899483648039188e-05 
 2.712272579332044e+01  1.125685538434318e+00 -2.956072654750029e-05 
 2.764818754010124e+01  1.125685538404278e+00 -3.013750083462366e-05 
 2.818382931264470e+01  1.125685538373059e+00 -3.072537170928114e-05 
 2.872984833353682e+01  1.125685538340621e+00 -3.132455562474106e-05 
 2.928644564625254e+01  1.125685538306913e+00 -3.193527319971757e-05 
 2.985382618917978e+01  1.125685538271888e+00 -3.255774929960289e-05 
 3.043219887107740e+01  1.125685538235491e+00 -3.319221311926202e-05 
 3.102177664799520e+01  1.125685538197671e+00 -3.383889826742226e-05 
 3.162277660168399e+01  1.125685538158371e+00 -3.449804285268734e-05 
 3.223542001952483e+01  1.125685538117533e+00 -3.516988957120897e-05 
 3.285993247600675e+01  1.125685538075097e+00 -3.585468579604698e-05 
 3.349654391578298e+01  1.125685538031002e+00 -3.655268366825190e-05 
 3.414548873833623e+01  1.125685537985181e+00 -3.726414018970272e-05 
 3.480700588428433e+01  1.125685537937567e+00 -3.798931731773484e-05 
 3.548133892335778e+01  1.125685537888089e+00 -3.872848206159230e-05 
 3.616873614408183e+01  1.125685537836678e+00 -3.948190658074039e-05 
 3.686945064519600e+01  1.125685537783254e+00 -4.024986828507384e-05 
 3.758374042884466e+01  1.125685537727743e+00 -4.103264993705959e-05 
 3.831186849557313e+01  1.125685537670058e+00 -4.183053975584844e-05 
