 frequency       onoise_spectrum inoise_spectrum
 2.51188643e+02  1.90711976e-06  6.00674770e-08 
 2.57039578e+02  1.88648558e-06  5.94175741e-08 
 2.63026799e+02  1.86608093e-06  5.87749004e-08 
 2.69153480e+02  1.84590326e-06  5.81393760e-08 
 2.75422870e+02  1.82595008e-06  5.75109218e-08 
 2.81838293e+02  1.80621888e-06  5.68894598e-08 
 2.88403150e+02  1.78670724e-06  5.62749126e-08 
 2.95120923e+02  1.76741271e-06  5.56672040e-08 
 3.01995172e+02  1.74833290e-06  5.50662583e-08 
 3.09029543e+02  1.72946545e-06  5.44720010e-08 
 3.16227766e+02  1.71080800e-06  5.38843581e-08 
 3.23593657e+02  1.69235825e-06  5.33032568e-08 
 3.31131121e+02  1.67411389e-06  5.27286248e-08 
 3.38844156e+02  1.65607267e-06  5.21603908e-08 
 3.46736850e+02  1.63823234e-06  5.15984844e-08 
 3.54813389e+02  1.62059070e-06  5.10428357e-08 
 3.63078055e+02  1.60314555e-06  5.04933758e-08 
 3.71535229e+02  1.58589472e-06  4.99500365e-08 
 3.80189396e+02  1.56883608e-06  4.94127505e-08 
 3.89045145e+02  1.55196752e-06  4.88814511e-08 
 3.98107171e+02  1.53528693e-06  4.83560724e-08 
 4.07380278e+02  1.51879226e-06  4.78365493e-08 
 4.16869383e+02  1.50248146e-06  4.73228174e-08 
 4.26579519e+02  1.48635250e-06  4.68148131e-08 
 4.36515832e+02  1.47040339e-06  4.63124733e-08 
 4.46683592e+02  1.45463215e-06  4.58157359e-08 
 4.57088190e+02  1.43903684e-06  4.53245393e-08 
 4.67735141e+02  1.42361551e-06  4.48388227e-08 
 4.78630092e+02  1.40836625e-06  4.43585260e-08 
 4.89778819e+02  1.39328719e-06  4.38835896e-08 
 5.01187234e+02  1.37837645e-06  4.34139548e-08 
 5.12861384e+02  1.36363219e-06  4.29495635e-08 
 5.24807460e+02  1.34905258e-06  4.24903582e-08 
 5.37031796e+02  1.33463582e-06  4.20362821e-08 
 5.49540874e+02  1.32038013e-06  4.15872791e-08 
 5.62341325e+02  1.30628374e-06  4.11432935e-08 
