 frequency       onoise_spectrum inoise_spectrum
 3.23593657e+01  1.02869492e-05  3.30731427e-07 
 3.31131121e+01  1.01809968e-05  3.27324997e-07 
 3.38844156e+01  1.00761528e-05  3.23954201e-07 
 3.46736850e+01  9.97240538e-06  3.20618661e-07 
 3.54813389e+01  9.86974290e-06  3.17318002e-07 
 3.63078055e+01  9.76815386e-06  3.14051855e-07 
 3.71535229e+01  9.66762688e-06  3.10819854e-07 
 3.80189396e+01  9.56815069e-06  3.07621637e-07 
 3.89045145e+01  9.46971416e-06  3.04456845e-07 
 3.98107171e+01  9.37230627e-06  3.01325124e-07 
 4.07380278e+01  9.27591612e-06  2.98226124e-07 
 4.16869383e+01  9.18053291e-06  2.95159498e-07 
 4.26579519e+01  9.08614599e-06  2.92124904e-07 
 4.36515832e+01  8.99274481e-06  2.89122001e-07 
 4.46683592e+01  8.90031891e-06  2.86150455e-07 
 4.57088190e+01  8.80885798e-06  2.83209932e-07 
 4.67735141e+01  8.71835181e-06  2.80300106e-07 
 4.78630092e+01  8.62879027e-06  2.77420650e-07 
 4.89778819e+01  8.54016339e-06  2.74571244e-07 
 5.01187234e+01  8.45246126e-06  2.71751569e-07 
 5.12861384e+01  8.36567411e-06  2.68961312e-07 
 5.24807460e+01  8.27979226e-06  2.66200160e-07 
 5.37031796e+01  8.19480613e-06  2.63467806e-07 
 5.49540874e+01  8.11070625e-06  2.60763946e-07 
 5.62341325e+01  8.02748326e-06  2.58088278e-07 
 5.75439937e+01  7.94512788e-06  2.55440505e-07 
 5.88843655e+01  7.86363095e-06  2.52820331e-07 
 6.02559586e+01  7.78298340e-06  2.50227465e-07 
 6.16595002e+01  7.70317625e-06  2.47661619e-07 
 6.30957344e+01  7.62420063e-06  2.45122506e-07 
 6.45654229e+01  7.54604776e-06  2.42609846e-07 
 6.60693448e+01  7.46870894e-06  2.40123358e-07 
 6.76082975e+01  7.39217560e-06  2.37662766e-07 
 6.91830971e+01  7.31643921e-06  2.35227797e-07 
 7.07945784e+01  7.24149139e-06  2.32818180e-07 
 7.24435960e+01  7.16732380e-06  2.30433649e-07 
 7.41310241e+01  7.09392821e-06  2.28073938e-07 
 7.58577575e+01  7.02129649e-06  2.25738786e-07 
 7.76247117e+01  6.94942058e-06  2.23427933e-07 
 7.94328235e+01  6.87829251e-06  2.21141124e-07 
 8.12830516e+01  6.80790439e-06  2.18878105e-07 
 8.31763771e+01  6.73824844e-06  2.16638626e-07 
 8.51138038e+01  6.66931693e-06  2.14422437e-07 
 8.70963590e+01  6.60110223e-06  2.12229295e-07 
