 frequency              onoise_spectrum        inoise_spectrum       
 1.920141938638811e+01  4.030421299516082e-06  9.977520248629432e-07 
 1.957341781487670e+01  3.997115081020109e-06  9.895068950183657e-07 
 1.995262314968890e+01  3.964086911243372e-06  9.813305975990098e-07 
 2.033917501372302e+01  3.931334446054152e-06  9.732225523026630e-07 
 2.073321573485966e+01  3.898855361360755e-06  9.651821837882632e-07 
 2.113489039836658e+01  3.866647352942652e-06  9.572089216338515e-07 
 2.154434690031895e+01  3.834708136274349e-06  9.493022002931008e-07 
 2.196173600205448e+01  3.803035446356167e-06  9.414614590533638e-07 
 2.238721138568352e+01  3.771627037545660e-06  9.336861419941296e-07 
 2.282092971067463e+01  3.740480683388893e-06  9.259756979449542e-07 
 2.326305067153639e+01  3.709594176454696e-06  9.183295804445764e-07 
 2.371373705661668e+01  3.678965328170059e-06  9.107472477002734e-07 
 2.417315480804117e+01  3.648591968656846e-06  9.032281625472366e-07 
 2.464147308281295e+01  3.618471946570058e-06  8.957717924087218e-07 
 2.511886431509594e+01  3.588603128936535e-06  8.883776092559531e-07 
 2.560550427970491e+01  3.558983400997478e-06  8.810450895692896e-07 
 2.610157215682552e+01  3.529610666049810e-06  8.737737142987268e-07 
 2.660725059798825e+01  3.500482845289575e-06  8.665629688255821e-07 
 2.712272579332044e+01  3.471597877658643e-06  8.594123429239378e-07 
 2.764818754010124e+01  3.442953719690186e-06  8.523213307228311e-07 
 2.818382931264470e+01  3.414548345355898e-06  8.452894306683029e-07 
 2.872984833353682e+01  3.386379745916741e-06  8.383161454863898e-07 
 2.928644564625254e+01  3.358445929772822e-06  8.314009821460568e-07 
 2.985382618917978e+01  3.330744922314789e-06  8.245434518223770e-07 
 3.043219887107740e+01  3.303274765777134e-06  8.177430698601799e-07 
 3.102177664799520e+01  3.276033519093614e-06  8.109993557383425e-07 
 3.162277660168399e+01  3.249019257751713e-06  8.043118330335340e-07 
 3.223542001952483e+01  3.222230073650652e-06  7.976800293854378e-07 
 3.285993247600675e+01  3.195664074958481e-06  7.911034764610384e-07 
 3.349654391578298e+01  3.169319385972778e-06  7.845817099204164e-07 
 3.414548873833623e+01  3.143194146980533e-06  7.781142693816923e-07 
 3.480700588428433e+01  3.117286514120709e-06  7.717006983874906e-07 
 3.548133892335778e+01  3.091594659246941e-06  7.653405443704201e-07 
 3.616873614408183e+01  3.066116769791820e-06  7.590333586199810e-07 
 3.686945064519600e+01  3.040851048633703e-06  7.527786962491884e-07 
 3.758374042884466e+01  3.015795713961122e-06  7.465761161612067e-07 
 3.831186849557313e+01  2.990948999143158e-06  7.404251810172581e-07 
 3.905410294116406e+01  2.966309152596726e-06  7.343254572037620e-07 
 3.981071705534999e+01  2.941874437657496e-06  7.282765148003228e-07 
 4.058198942243826e+01  2.917643132451844e-06  7.222779275479621e-07 
 4.136820402388535e+01  2.893613529767865e-06  7.163292728175310e-07 
 4.216965034285851e+01  2.869783936930342e-06  7.104301315781903e-07 
 4.298662347082306e+01  2.846152675674604e-06  7.045800883667751e-07 
 4.381942421619467e+01  2.822718082022996e-06  6.987787312568528e-07 
 4.466835921509661e+01  2.799478506160981e-06  6.930256518281695e-07 
 4.553374104426280e+01  2.776432312316130e-06  6.873204451365873e-07 
 4.641588833612811e+01  2.753577878636193e-06  6.816627096840273e-07 
 4.731512589614837e+01  2.730913597069848e-06  6.760520473889850e-07 
 4.823178482239340e+01  2.708437873247393e-06  6.704880635568237e-07 
 4.916620262745678e+01  2.686149126363510e-06  6.649703668508025e-07 
 5.011872336272758e+01  2.664045789060029e-06  6.594985692632348e-07 
 5.108969774506964e+01  2.642126307310169e-06  6.540722860865459e-07 
 5.207948328595500e+01  2.620389140304084e-06  6.486911358851557e-07 
 5.308844442309921e+01  2.598832760335410e-06  6.433547404672617e-07 
 5.411695265464675e+01  2.577455652687418e-06  6.380627248569159e-07 
 5.516538667595619e+01  2.556256315522557e-06  6.328147172661547e-07 
 5.623413251903531e+01  2.535233259771084e-06  6.276103490679920e-07 
 5.732358369467754e+01  2.514385009020896e-06  6.224492547688189e-07 
 5.843414133735218e+01  2.493710099409601e-06  6.173310719818460e-07 
 5.956621435290148e+01  2.473207079515725e-06  6.122554413999464e-07 
 6.072021956909929e+01  2.452874510252509e-06  6.072220067696842e-07 
 6.189658188912651e+01  2.432710964761506e-06  6.022304148647118e-07 
 6.309573444801979e+01  2.412715028307484e-06  5.972803154599013e-07 
 6.431811877215135e+01  2.392885298174589e-06  5.923713613054619e-07 
 6.556418494179837e+01  2.373220383562485e-06  5.875032081015496e-07 
 6.683439175686196e+01  2.353718905484770e-06  5.826755144728382e-07 
 6.812920690579664e+01  2.334379496667023e-06  5.778879419432452e-07 
 6.944910713781265e+01  2.315200801446421e-06  5.731401549113450e-07 
 7.079457843841433e+01  2.296181475671948e-06  5.684318206254959e-07 
 7.216611620833937e+01  2.277320186605813e-06  5.637626091593852e-07 
 7.356422544596469e+01  2.258615612824994e-06  5.591321933878068e-07 
 7.498942093324617e+01  2.240066444124922e-06  5.545402489627670e-07 
 7.644222742526063e+01  2.221671381422516e-06  5.499864542893492e-07 
 7.792317984342003e+01  2.203429136661100e-06  5.454704905024110e-07 
 7.943282347242878e+01  2.185338432715720e-06  5.409920414428911e-07 
 8.097171416105684e+01  2.167398003299888e-06  5.365507936348541e-07 
 8.254041852680250e+01  2.149606592871801e-06  5.321464362624332e-07 
 8.413951416452018e+01  2.131962956542876e-06  5.277786611467964e-07 
 8.576958985909010e+01  2.114465859986013e-06  5.234471627238266e-07 
 8.743124580220807e+01  2.097114079345619e-06  5.191516380216462e-07 
 8.912509381337527e+01  2.079906401147383e-06  5.148917866382805e-07 
 9.085175756516942e+01  2.062841622209434e-06  5.106673107196820e-07 
 9.261187281288011e+01  2.045918549554519e-06  5.064779149381119e-07 
 9.440608762859311e+01  2.029136000322141e-06  5.023233064701826e-07 
 9.623506263980966e+01  2.012492801681980e-06  4.982031949755915e-07 
 9.809947127268855e+01  1.995987790748734e-06  4.941172925759631e-07 
 1.000000000000008e+02  1.979619814495608e-06  4.900653138334391e-07 
 1.019373485938881e+02  1.963387729671583e-06  4.860469757302530e-07 
 1.039122303835178e+02  1.947290402716335e-06  4.820619976475093e-07 
 1.059253725177298e+02  1.931326709677939e-06  4.781101013450083e-07 
 1.079775162327719e+02  1.915495536131089e-06  4.741910109409467e-07 
 1.100694171252219e+02  1.899795777094434e-06  4.703044528913493e-07 
 1.122018454301973e+02  1.884226336951192e-06  4.664501559705003e-07 
 1.143755863049548e+02  1.868786129367904e-06  4.626278512508528e-07 
 1.165914401179842e+02  1.853474077216165e-06  4.588372720835685e-07 
 1.188502227437029e+02  1.838289112492564e-06  4.550781540788358e-07 
 1.211527658628599e+02  1.823230176242066e-06  4.513502350867242e-07 
 1.234999172687595e+02  1.808296218479962e-06  4.476532551780113e-07 
 1.258925411794178e+02  1.793486198115202e-06  4.439869566251314e-07 
 1.283315185557662e+02  1.778799082874887e-06  4.403510838835005e-07 
 1.308177474260206e+02  1.764233849228212e-06  4.367453835726571e-07 
 1.333521432163336e+02  1.749789482312727e-06  4.331696044580741e-07 
 1.359356390878538e+02  1.735464975859471e-06  4.296234974325566e-07 
 1.385691862803140e+02  1.721259332120144e-06  4.261068154983330e-07 
 1.412537544622767e+02  1.707171561794177e-06  4.226193137487759e-07 
 1.439903320881646e+02  1.693200683956747e-06  4.191607493508082e-07 
 1.467799267622083e+02  1.679345725987164e-06  4.157308815270417e-07 
 1.496235656094447e+02  1.665605723498032e-06  4.123294715383652e-07 
 1.525222956539033e+02  1.651979720265274e-06  4.089562826664238e-07 
 1.554771842041188e+02  1.638466768158134e-06  4.056110801964512e-07 
 1.584893192461128e+02  1.625065927070580e-06  4.022936314003143e-07 
 1.615598098439889e+02  1.611776264852287e-06  3.990037055192669e-07 
 1.646897865482883e+02  1.598596857241633e-06  3.957410737474884e-07 
 1.678804018122576e+02  1.585526787797650e-06  3.925055092151896e-07 
 1.711328304161796e+02  1.572565147834100e-06  3.892967869722982e-07 
 1.744482698999270e+02  1.559711036352792e-06  3.861146839720394e-07 
 1.778279410038939e+02  1.546963559978304e-06  3.829589790545950e-07 
 1.812730881184716e+02  1.534321832893660e-06  3.798294529312873e-07 
 1.847849797422308e+02  1.521784976774704e-06  3.767258881684013e-07 
 1.883649089489818e+02  1.509352120727396e-06  3.736480691715322e-07 
 1.920141938638820e+02  1.497022401224267e-06  3.705957821698980e-07 
 1.957341781487679e+02  1.484794962041388e-06  3.675688152007984e-07 
 1.995262314968899e+02  1.472668954196531e-06  3.645669580942014e-07 
 2.033917501372311e+02  1.460643535887720e-06  3.615900024576047e-07 
 2.073321573485975e+02  1.448717872431611e-06  3.586377416607691e-07 
 2.113489039836667e+02  1.436891136203468e-06  3.557099708208717e-07 
 2.154434690031904e+02  1.425162506576631e-06  3.528064867874224e-07 
 2.196173600205457e+02  1.413531169863674e-06  3.499270881278867e-07 
