 time                v(xadc.tp)          v(xadc.tn)          v(q)                v(qb)               v(ev)               v(rp)               v(rn)              
 1.685600000000e-07  8.000244142830e-01  9.999755855362e-01  6.619688300444e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.705600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688313495e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.725600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688317167e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.745600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688301330e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.765600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688309986e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.785600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688310471e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.805600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688317506e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.825600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688308035e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.845600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688311924e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.865600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688318887e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.885600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688320411e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.905600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688321500e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.925600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688303821e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.945600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688311821e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.965600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688312088e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.985600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688337539e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.005600000000e-07  8.000244142830e-01  9.999755855362e-01  6.619688301593e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.025600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688305784e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.045600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688310827e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.065600000000e-07  8.000244142830e-01  9.999755855362e-01  6.619688305653e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.085600000000e-07  8.000244142830e-01  9.999755855362e-01  6.619688297385e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.105600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688301318e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.125600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688314104e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.145600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688317504e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.165600000000e-07  8.000244142831e-01  9.999755855361e-01  6.619688319615e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.185600000000e-07  8.000244142831e-01  9.999755855362e-01  6.619688321531e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.205600000000e-07  8.000244142831e-01  9.999755855362e-01  6.619688323221e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.225600000000e-07  8.000244142830e-01  9.999755855362e-01  6.619688323319e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.245600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688323986e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.265600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688341824e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.285600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688310742e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.305600000000e-07  8.000244142830e-01  9.999755855361e-01  6.619688315740e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.325600000000e-07  8.000244142831e-01  9.999755855362e-01  6.619688302631e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
