 time                v(src)              v(sample)           v(hold)             v(acq)              v(conv)             i(vdd)             
 4.865381513008e-11  9.000000000000e-01  9.000063896815e-01  9.001108643616e-01  1.800000000000e+00  0.000000000000e+00 -3.441278215207e-05 
 5.410886641950e-11  9.000000000000e-01  9.000015381505e-01  9.001109141729e-01  1.800000000000e+00  0.000000000000e+00 -2.031782207117e-05 
 6.002269357776e-11  9.000000000000e-01  9.000019468543e-01  9.001109453538e-01  1.800000000000e+00  0.000000000000e+00 -1.133651992576e-05 
 6.686515062744e-11  9.000000000000e-01  9.000028259045e-01  9.001109649948e-01  1.800000000000e+00  0.000000000000e+00 -5.634345818434e-06 
 7.473421134750e-11  9.000000000000e-01  9.000031973870e-01  9.001109757711e-01  1.800000000000e+00  0.000000000000e+00 -2.331363256329e-06 
 8.433070536829e-11  9.000000000000e-01  9.000032625056e-01  9.001109805653e-01  1.800000000000e+00  0.000000000000e+00 -6.171912338499e-07 
 9.619404789353e-11  9.000000000000e-01  9.000032419727e-01  9.001109810439e-01  1.800000000000e+00  0.000000000000e+00  6.067756809342e-08 
 1.118709108515e-10  9.000000000000e-01  9.000032259537e-01  9.001109785117e-01  1.800000000000e+00  0.000000000000e+00  2.117431389547e-07 
 1.340829024180e-10  9.000000000000e-01  9.000032229411e-01  9.001109732695e-01  1.800000000000e+00  0.000000000000e+00  1.479251951574e-07 
 1.687734555926e-10  9.000000000000e-01  9.000032234543e-01  9.001109649848e-01  1.800000000000e+00  0.000000000000e+00  2.943363393924e-08 
 2.380701172942e-10  9.000000000000e-01  9.000032233222e-01  9.001109490920e-01  1.800000000000e+00  0.000000000000e+00 -1.463198789334e-08 
 3.766634406972e-10  9.000000000000e-01  9.000032224018e-01  9.001109177063e-01  1.800000000000e+00  0.000000000000e+00 -6.704592398572e-09 
 6.177135085873e-10  9.000000000000e-01  9.000032208081e-01  9.001108631396e-01  1.800000000000e+00  0.000000000000e+00 -1.344902713169e-09 
 1.099813644368e-09  9.000000000000e-01  9.000032176394e-01  9.001107540456e-01  1.800000000000e+00  0.000000000000e+00 -1.130243344277e-09 
 2.000000000000e-09  9.000000000000e-01  9.000032117312e-01  9.001105506265e-01  1.800000000000e+00  0.000000000000e+00 -1.280329980452e-09 
 2.096420027156e-09  9.000000000000e-01  9.000032110991e-01  9.001105288623e-01  1.800000000000e+00  0.000000000000e+00 -1.286491752378e-09 
 2.289260081468e-09  9.000000000000e-01  9.000032098351e-01  9.001104853444e-01  1.800000000000e+00  0.000000000000e+00 -1.287588765414e-09 
 2.674940190092e-09  9.000000000000e-01  9.000032073087e-01  9.001103983580e-01  1.800000000000e+00  0.000000000000e+00 -1.287270752298e-09 
 3.446300407341e-09  9.000000000000e-01  9.000032022616e-01  9.001102245887e-01  1.800000000000e+00  0.000000000000e+00 -1.287208590911e-09 
 4.989020841838e-09  9.000000000000e-01  9.000031921913e-01  9.001098778683e-01  1.800000000000e+00  0.000000000000e+00 -1.287212214957e-09 
 6.989020841838e-09  9.000000000000e-01  9.000031791830e-01  9.001094299969e-01  1.800000000000e+00  0.000000000000e+00 -1.287212346796e-09 
 8.989020841838e-09  9.000000000000e-01  9.000031662277e-01  9.001089839499e-01  1.800000000000e+00  0.000000000000e+00 -1.287211678719e-09 
 1.098902084184e-08  9.000000000000e-01  9.000031533252e-01  9.001085397202e-01  1.800000000000e+00  0.000000000000e+00 -1.287210554618e-09 
 1.298902084184e-08  9.000000000000e-01  9.000031404752e-01  9.001080973007e-01  1.800000000000e+00  0.000000000000e+00 -1.287209860729e-09 
 1.498902084184e-08  9.000000000000e-01  9.000031276775e-01  9.001076566841e-01  1.800000000000e+00  0.000000000000e+00 -1.287209000306e-09 
 1.698902084184e-08  9.000000000000e-01  9.000031149320e-01  9.001072178630e-01  1.800000000000e+00  0.000000000000e+00 -1.287207862327e-09 
