 time                v(xadc.tn)          v(xadc.tp)          v(q)                v(qb)               v(ev)               v(rp)               v(rn)              
 2.829308727021e-06  8.998992944631e-01  8.995200819207e-01  8.688244962831e-01  1.856887686665e+00  1.800000000000e+00  1.099999360429e+00  6.999987355298e-01 
 2.829312451975e-06  8.999000429488e-01  8.995197892391e-01  9.311745407757e-01  1.861150641123e+00  1.800000000000e+00  1.099999360591e+00  6.999987361412e-01 
 2.829314856152e-06  8.999005126839e-01  8.995195992512e-01  9.709351562942e-01  1.864732811729e+00  1.800000000000e+00  1.099999360696e+00  6.999987365357e-01 
 2.829316990878e-06  8.999009100574e-01  8.995194303197e-01  1.006557111098e+00  1.869129836147e+00  1.800000000000e+00  1.099999360790e+00  6.999987368860e-01 
 2.829318953229e-06  8.999012685989e-01  8.995192743139e-01  1.039861717439e+00  1.871738354319e+00  1.800000000000e+00  1.099999360876e+00  6.999987372078e-01 
 2.829320382280e-06  8.999015409713e-01  8.995191597707e-01  1.064499092730e+00  1.870071609295e+00  1.800000000000e+00  1.099999360939e+00  6.999987374422e-01 
 2.829322380190e-06  8.999019565614e-01  8.995189988371e-01  1.099388873939e+00  1.859757098736e+00  1.800000000000e+00  1.099999361027e+00  6.999987377699e-01 
 2.829324212718e-06  8.999023742976e-01  8.995188520108e-01  1.131653140377e+00  1.842065989574e+00  1.800000000000e+00  1.099999361108e+00  6.999987380705e-01 
 2.829326415154e-06  8.999029114998e-01  8.995186783856e-01  1.170714935653e+00  1.811395388978e+00  1.800000000000e+00  1.099999361206e+00  6.999987384319e-01 
 2.829328638079e-06  8.999034777972e-01  8.995185066090e-01  1.209740969294e+00  1.773022518925e+00  1.800000000000e+00  1.099999361306e+00  6.999987387968e-01 
 2.829331050536e-06  8.999041032513e-01  8.995183231644e-01  1.251761337755e+00  1.722206966881e+00  1.800000000000e+00  1.099999361414e+00  6.999987391931e-01 
 2.829333297299e-06  8.999046858322e-01  8.995181537636e-01  1.289614638637e+00  1.667079062981e+00  1.800000000000e+00  1.099999361516e+00  6.999987395625e-01 
 2.829336119052e-06  8.999054099411e-01  8.995179409469e-01  1.334263925902e+00  1.589141456483e+00  1.800000000000e+00  1.099999361644e+00  6.999987400267e-01 
 2.829339406135e-06  8.999062402914e-01  8.995176910069e-01  1.381810164382e+00  1.487706942144e+00  1.800000000000e+00  1.099999361794e+00  6.999987405678e-01 
 2.829343031237e-06  8.999071416349e-01  8.995174115374e-01  1.428517281209e+00  1.364961609932e+00  1.800000000000e+00  1.099999361961e+00  6.999987411652e-01 
 2.829346585034e-06  8.999080140770e-01  8.995171332070e-01  1.468503241586e+00  1.236588635117e+00  1.800000000000e+00  1.099999362126e+00  6.999987417512e-01 
 2.829350533859e-06  8.999089743721e-01  8.995168189331e-01  1.506581871805e+00  1.088506429920e+00  1.800000000000e+00  1.099999362310e+00  6.999987424029e-01 
 2.829354206644e-06  8.999098607556e-01  8.995165222788e-01  1.537325239483e+00  9.480516806473e-01  1.800000000000e+00  1.099999362483e+00  6.999987430095e-01 
 2.829357623243e-06  8.999106791454e-01  8.995162429686e-01  1.563834247637e+00  8.160430503677e-01  1.800000000000e+00  1.099999362645e+00  6.999987435741e-01 
 2.829360490533e-06  8.999113587311e-01  8.995160062398e-01  1.584948033611e+00  7.056202338787e-01  1.800000000000e+00  1.099999362781e+00  6.999987440481e-01 
 2.829362960133e-06  8.999119348086e-01  8.995158009192e-01  1.601953108536e+00  6.137136577718e-01  1.800000000000e+00  1.099999362899e+00  6.999987444565e-01 
 2.829365249905e-06  8.999124603490e-01  8.995156106607e-01  1.616797744044e+00  5.341892200343e-01  1.800000000000e+00  1.099999363009e+00  6.999987448353e-01 
 2.829367991094e-06  8.999130855460e-01  8.995153815511e-01  1.633760361398e+00  4.484053282765e-01  1.800000000000e+00  1.099999363141e+00  6.999987452890e-01 
 2.829371173936e-06  8.999138205307e-01  8.995151139127e-01  1.652753330272e+00  3.621062704811e-01  1.800000000000e+00  1.099999363295e+00  6.999987458158e-01 
 2.829374662612e-06  8.999146497358e-01  8.995148196084e-01  1.672749048309e+00  2.831940927838e-01  1.800000000000e+00  1.099999363465e+00  6.999987463936e-01 
 2.829378884619e-06  8.999156901927e-01  8.995144632693e-01  1.695310168575e+00  2.075076596176e-01  1.800000000000e+00  1.099999363672e+00  6.999987470933e-01 
 2.829382926865e-06  8.999167172546e-01  8.995141220614e-01  1.714706544837e+00  1.525119493015e-01  1.800000000000e+00  1.099999363871e+00  6.999987477638e-01 
 2.829387004660e-06  8.999177717736e-01  8.995137772382e-01  1.731728328783e+00  1.110915858891e-01  1.800000000000e+00  1.099999364074e+00  6.999987484408e-01 
 2.829391408625e-06  8.999189170992e-01  8.995134031812e-01  1.747125436630e+00  7.857419000272e-02  1.800000000000e+00  1.099999364295e+00  6.999987491728e-01 
 2.829395694174e-06  8.999200277896e-01  8.995130368036e-01  1.759277339229e+00  5.605899472317e-02  1.800000000000e+00  1.099999364512e+00  6.999987498858e-01 
 2.829400480497e-06  8.999212570623e-01  8.995126244090e-01  1.769937431783e+00  3.846634570375e-02  1.800000000000e+00  1.099999364756e+00  6.999987506830e-01 
 2.829405473355e-06  8.999225258808e-01  8.995121907217e-01  1.778329933909e+00  2.601750294508e-02  1.800000000000e+00  1.099999365013e+00  6.999987515155e-01 
 2.829411256564e-06  8.999239837149e-01  8.995116846434e-01  1.785345388672e+00  1.655320352629e-02  1.800000000000e+00  1.099999365313e+00  6.999987524809e-01 
 2.829417656784e-06  8.999255934593e-01  8.995111212079e-01  1.790623195390e+00  1.002611230489e-02  1.800000000000e+00  1.099999365648e+00  6.999987535507e-01 
 2.829425306308e-06  8.999275294603e-01  8.995104451322e-01  1.794614380284e+00  5.454728289579e-03  1.800000000000e+00  1.099999366054e+00  6.999987548312e-01 
 2.829434218367e-06  8.999298193735e-01  8.995096561817e-01  1.797276041047e+00  2.609732854302e-03  1.800000000000e+00  1.099999366533e+00  6.999987563259e-01 
 2.829445289336e-06  8.999327286137e-01  8.995086768805e-01  1.798932033775e+00  9.436120539020e-04  1.800000000000e+00  1.099999367138e+00  6.999987581876e-01 
 2.829459000314e-06  8.999364270249e-01  8.995074683544e-01  1.799761157547e+00  1.553875427059e-04  1.800000000000e+00  1.099999367904e+00  6.999987605022e-01 
 2.829477073332e-06  8.999414295556e-01  8.995058880254e-01  1.800062902339e+00 -1.125645678706e-04  1.800000000000e+00  1.099999368941e+00  6.999987635708e-01 
 2.829500519333e-06  8.999480650824e-01  8.995038745192e-01  1.800071148163e+00 -1.098306848626e-04  1.800000000000e+00  1.099999370335e+00  6.999987675866e-01 
 2.829534942892e-06  8.999579823237e-01  8.995010480213e-01  1.799996470965e+00 -3.860922772925e-05  1.800000000000e+00  1.099999372483e+00  6.999987735683e-01 
 2.829566881251e-06  8.999671788854e-01  8.994986850330e-01  1.799954605676e+00 -2.823770128865e-06  1.800000000000e+00  1.099999374584e+00  6.999987792266e-01 
 2.829601023889e-06  8.999767852863e-01  8.994965432478e-01  1.799936273040e+00  8.295382461617e-06  1.800000000000e+00  1.099999376941e+00  6.999987854113e-01 
 2.829639375340e-06  8.999869783363e-01  8.994946598218e-01  1.799941925420e+00  1.128378013924e-05  1.800000000000e+00  1.099999379717e+00  6.999987925487e-01 
 2.829684053353e-06  8.999974500517e-01  8.994933428250e-01  1.799957855380e+00  1.200425405818e-05  1.800000000000e+00  1.099999383092e+00  6.999988011422e-01 
 2.829731512650e-06  9.000058819359e-01  8.994933932631e-01  1.799967629456e+00  1.160165876133e-05  1.800000000000e+00  1.099999386793e+00  6.999988106223e-01 
 2.829783165156e-06  9.000106189890e-01  8.994955007674e-01  1.799970923025e+00  1.108675613237e-05  1.800000000000e+00  1.099999390856e+00  6.999988213599e-01 
 2.829848354761e-06  9.000090661034e-01  8.995012182819e-01  1.799971875070e+00  1.073025273018e-05  1.800000000000e+00  1.099999395831e+00  6.999988354915e-01 
 2.829934236026e-06  8.999965787894e-01  8.995129782388e-01  1.799972773056e+00  1.030947591576e-05  1.800000000000e+00  1.099999401759e+00  6.999988549269e-01 
 2.830018835034e-06  8.999810108782e-01  8.995269027037e-01  1.799973968822e+00  9.564749423189e-06  1.800000000000e+00  1.099999406773e+00  6.999988748447e-01 
 2.830092093366e-06  8.999695704582e-01  8.995383498647e-01  1.799975021115e+00  8.602296573391e-06  1.800000000000e+00  1.099999410515e+00  6.999988925657e-01 
 2.830134317368e-06  8.999583316536e-01  8.995438834757e-01  1.799975577128e+00  8.018967822901e-06  1.800000000000e+00  1.099999412338e+00  6.999989027540e-01 
 2.830175620480e-06  8.999359509311e-01  8.995483817698e-01  1.799976027466e+00  7.762820177007e-06  1.800000000000e+00  1.099999413665e+00  6.999989123040e-01 
 2.830226933972e-06  8.998974798156e-01  8.995528348634e-01  1.799976503574e+00  7.618770250005e-06  1.800000000000e+00  1.099999414377e+00  6.999989230516e-01 
 2.830272386450e-06  8.998659438190e-01  8.995560262030e-01  1.799976913916e+00  7.489505599080e-06  1.800000000000e+00  1.099999414134e+00  6.999989314401e-01 
 2.830316979631e-06  8.998434211391e-01  8.995592610159e-01  1.799977318631e+00  7.367168676619e-06  1.800000000000e+00  1.099999413264e+00  6.999989388117e-01 
 2.830366262658e-06  8.998264145846e-01  8.995620143736e-01  1.799977749624e+00  7.244027928445e-06  1.800000000000e+00  1.099999411801e+00  6.999989461948e-01 
 2.830419212419e-06  8.998138468459e-01  8.995645657464e-01  1.799978187294e+00  7.119054706264e-06  1.800000000000e+00  1.099999409870e+00  6.999989534581e-01 
 2.830471873681e-06  8.998043456965e-01  8.995669013534e-01  1.799978602215e+00  6.996920083448e-06  1.800000000000e+00  1.099999407718e+00  6.999989601484e-01 
 2.830523125062e-06  8.997962541788e-01  8.995690069318e-01  1.799978990412e+00  6.879821479652e-06  1.800000000000e+00  1.099999405475e+00  6.999989662303e-01 
