 time                v(xadc.tp)          v(xadc.tn)          v(q)                v(qb)               v(ev)               v(rp)               v(rn)              
 2.022560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688332277e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.024560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688345496e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.026560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688344126e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.028560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688339164e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.030560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688338169e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.032560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688330629e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.034560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688340903e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.036560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688342646e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.038560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688350866e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.040560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688322475e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.042560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688327705e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.044560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688338267e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.046560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688341966e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.048560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688342984e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.050560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688332371e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.052560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688329942e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.054560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688315744e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.056560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688322797e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.058560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688335924e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.060560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688346395e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.062560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688325606e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.064560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688327222e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.066560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688345437e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.068560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688337603e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.070560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688343004e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.072560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688350147e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.074560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688328556e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.076560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688347609e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.078560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688339015e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.080560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688326339e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.082560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688346410e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.084560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688332116e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.086560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688322916e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.088560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688319120e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.090560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688341971e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.092560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688341639e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.094560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688318649e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.096560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688331259e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.098560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688326405e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.100560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688338686e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.102560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688340692e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.104560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688343045e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.106560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688332650e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.108560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688336196e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.110560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688336082e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.112560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688341721e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.114560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688344071e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.116560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688363579e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.118560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688344716e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.120560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688341443e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.122560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688334300e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.124560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688343437e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.126560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688338168e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.128560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688337247e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.130560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688330323e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.132560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688335045e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.134560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688322348e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
