 frequency       onoise_spectrum inoise_spectrum
 1.17489755e+02  9.26485297e-07  2.90066443e-08 
 1.20226443e+02  9.17390065e-07  2.87218885e-08 
 1.23026877e+02  9.08387918e-07  2.84400469e-08 
 1.25892541e+02  8.99477918e-07  2.81610903e-08 
 1.28824955e+02  8.90659140e-07  2.78849897e-08 
 1.31825674e+02  8.81930668e-07  2.76117165e-08 
 1.34896288e+02  8.73291594e-07  2.73412421e-08 
 1.38038426e+02  8.64741022e-07  2.70735386e-08 
 1.41253754e+02  8.56278063e-07  2.68085781e-08 
 1.44543977e+02  8.47901840e-07  2.65463331e-08 
 1.47910839e+02  8.39611481e-07  2.62867765e-08 
 1.51356125e+02  8.31406129e-07  2.60298812e-08 
 1.54881662e+02  8.23284930e-07  2.57756206e-08 
 1.58489319e+02  8.15247043e-07  2.55239683e-08 
 1.62181010e+02  8.07291634e-07  2.52748984e-08 
 1.65958691e+02  7.99417878e-07  2.50283848e-08 
 1.69824365e+02  7.91624959e-07  2.47844021e-08 
 1.73780083e+02  7.83912069e-07  2.45429250e-08 
 1.77827941e+02  7.76278410e-07  2.43039284e-08 
 1.81970086e+02  7.68723190e-07  2.40673876e-08 
 1.86208714e+02  7.61245627e-07  2.38332782e-08 
 1.90546072e+02  7.53844946e-07  2.36015758e-08 
 1.94984460e+02  7.46520382e-07  2.33722564e-08 
 1.99526231e+02  7.39271175e-07  2.31452964e-08 
 2.04173794e+02  7.32096576e-07  2.29206723e-08 
 2.08929613e+02  7.24995843e-07  2.26983607e-08 
 2.13796209e+02  7.17968240e-07  2.24783387e-08 
 2.18776162e+02  7.11013041e-07  2.22605836e-08 
 2.23872114e+02  7.04129526e-07  2.20450728e-08 
 2.29086765e+02  6.97316984e-07  2.18317840e-08 
 2.34422882e+02  6.90574709e-07  2.16206951e-08 
 2.39883292e+02  6.83902007e-07  2.14117845e-08 
 2.45470892e+02  6.77298185e-07  2.12050304e-08 
 2.51188643e+02  6.70762563e-07  2.10004115e-08 
 2.57039578e+02  6.64294465e-07  2.07979066e-08 
 2.63026799e+02  6.57893222e-07  2.05974949e-08 
 2.69153480e+02  6.51558173e-07  2.03991556e-08 
 2.75422870e+02  6.45288665e-07  2.02028683e-08 
 2.81838293e+02  6.39084049e-07  2.00086127e-08 
 2.88403150e+02  6.32943685e-07  1.98163686e-08 
 2.95120923e+02  6.26866939e-07  1.96261164e-08 
 3.01995172e+02  6.20853184e-07  1.94378362e-08 
 3.09029543e+02  6.14901799e-07  1.92515088e-08 
 3.16227766e+02  6.09012169e-07  1.90671148e-08 
 3.23593657e+02  6.03183687e-07  1.88846353e-08 
 3.31131121e+02  5.97415752e-07  1.87040514e-08 
 3.38844156e+02  5.91707768e-07  1.85253444e-08 
 3.46736850e+02  5.86059146e-07  1.83484960e-08 
 3.54813389e+02  5.80469304e-07  1.81734879e-08 
 3.63078055e+02  5.74937665e-07  1.80003020e-08 
 3.71535229e+02  5.69463658e-07  1.78289205e-08 
 3.80189396e+02  5.64046718e-07  1.76593257e-08 
 3.89045145e+02  5.58686288e-07  1.74915001e-08 
 3.98107171e+02  5.53381814e-07  1.73254263e-08 
 4.07380278e+02  5.48132749e-07  1.71610874e-08 
 4.16869383e+02  5.42938551e-07  1.69984662e-08 
 4.26579519e+02  5.37798686e-07  1.68375461e-08 
 4.36515832e+02  5.32712622e-07  1.66783105e-08 
 4.46683592e+02  5.27679836e-07  1.65207429e-08 
 4.57088190e+02  5.22699807e-07  1.63648270e-08 
 4.67735141e+02  5.17772024e-07  1.62105468e-08 
 4.78630092e+02  5.12895976e-07  1.60578865e-08 
 4.89778819e+02  5.08071162e-07  1.59068301e-08 
 5.01187234e+02  5.03297084e-07  1.57573622e-08 
 5.12861384e+02  4.98573248e-07  1.56094674e-08 
 5.24807460e+02  4.93899169e-07  1.54631303e-08 
 5.37031796e+02  4.89274362e-07  1.53183359e-08 
 5.49540874e+02  4.84698352e-07  1.51750692e-08 
 5.62341325e+02  4.80170666e-07  1.50333154e-08 
 5.75439937e+02  4.75690837e-07  1.48930600e-08 
 5.88843655e+02  4.71258401e-07  1.47542884e-08 
 6.02559586e+02  4.66872902e-07  1.46169863e-08 
 6.16595002e+02  4.62533887e-07  1.44811396e-08 
 6.30957344e+02  4.58240906e-07  1.43467341e-08 
 6.45654229e+02  4.53993518e-07  1.42137561e-08 
 6.60693448e+02  4.49791283e-07  1.40821917e-08 
 6.76082975e+02  4.45633766e-07  1.39520274e-08 
 6.91830971e+02  4.41520538e-07  1.38232498e-08 
 7.07945784e+02  4.37451173e-07  1.36958454e-08 
 7.24435960e+02  4.33425251e-07  1.35698011e-08 
 7.41310241e+02  4.29442355e-07  1.34451039e-08 
 7.58577575e+02  4.25502072e-07  1.33217409e-08 
 7.76247117e+02  4.21603995e-07  1.31996993e-08 
 7.94328235e+02  4.17747720e-07  1.30789665e-08 
 8.12830516e+02  4.13932847e-07  1.29595299e-08 
 8.31763771e+02  4.10158980e-07  1.28413771e-08 
 8.51138038e+02  4.06425729e-07  1.27244960e-08 
 8.70963590e+02  4.02732705e-07  1.26088743e-08 
 8.91250938e+02  3.99079526e-07  1.24945002e-08 
 9.12010839e+02  3.95465812e-07  1.23813616e-08 
 9.33254301e+02  3.91891188e-07  1.22694469e-08 
 9.54992586e+02  3.88355281e-07  1.21587443e-08 
 9.77237221e+02  3.84857724e-07  1.20492425e-08 
 1.00000000e+03  3.81398153e-07  1.19409300e-08 
 1.02329299e+03  3.77976207e-07  1.18337954e-08 
 1.04712855e+03  3.74591530e-07  1.17278277e-08 
 1.07151931e+03  3.71243768e-07  1.16230158e-08 
 1.09647820e+03  3.67932573e-07  1.15193488e-08 
 1.12201845e+03  3.64657597e-07  1.14168157e-08 
 1.14815362e+03  3.61418499e-07  1.13154060e-08 
 1.17489755e+03  3.58214940e-07  1.12151089e-08 
 1.20226443e+03  3.55046583e-07  1.11159140e-08 
 1.23026877e+03  3.51913098e-07  1.10178109e-08 
 1.25892541e+03  3.48814154e-07  1.09207892e-08 
 1.28824955e+03  3.45749428e-07  1.08248389e-08 
 1.31825674e+03  3.42718595e-07  1.07299498e-08 
 1.34896288e+03  3.39721338e-07  1.06361119e-08 
 1.38038426e+03  3.36757340e-07  1.05433153e-08 
 1.41253754e+03  3.33826290e-07  1.04515503e-08 
 1.44543977e+03  3.30927876e-07  1.03608071e-08 
 1.47910839e+03  3.28061793e-07  1.02710762e-08 
 1.51356125e+03  3.25227737e-07  1.01823480e-08 
 1.54881662e+03  3.22425407e-07  1.00946133e-08 
 1.58489319e+03  3.19654507e-07  1.00078625e-08 
 1.62181010e+03  3.16914741e-07  9.92208655e-09 
 1.65958691e+03  3.14205818e-07  9.83727629e-09 
 1.69824365e+03  3.11527449e-07  9.75342268e-09 
 1.73780083e+03  3.08879348e-07  9.67051675e-09 
 1.77827941e+03  3.06261230e-07  9.58854964e-09 
 1.81970086e+03  3.03672817e-07  9.50751256e-09 
 1.86208714e+03  3.01113830e-07  9.42739682e-09 
 1.90546072e+03  2.98583993e-07  9.34819381e-09 
 1.94984460e+03  2.96083034e-07  9.26989498e-09 
 1.99526231e+03  2.93610683e-07  9.19249190e-09 
 2.04173794e+03  2.91166673e-07  9.11597618e-09 
 2.08929613e+03  2.88750738e-07  9.04033954e-09 
 2.13796209e+03  2.86362617e-07  8.96557377e-09 
 2.18776162e+03  2.84002049e-07  8.89167072e-09 
 2.23872114e+03  2.81668776e-07  8.81862234e-09 
 2.29086765e+03  2.79362544e-07  8.74642064e-09 
 2.34422882e+03  2.77083100e-07  8.67505770e-09 
 2.39883292e+03  2.74830192e-07  8.60452570e-09 
 2.45470892e+03  2.72603574e-07  8.53481686e-09 
 2.51188643e+03  2.70402998e-07  8.46592348e-09 
 2.57039578e+03  2.68228222e-07  8.39783795e-09 
 2.63026799e+03  2.66079003e-07  8.33055269e-09 
 2.69153480e+03  2.63955102e-07  8.26406023e-09 
 2.75422870e+03  2.61856283e-07  8.19835314e-09 
 2.81838293e+03  2.59782309e-07  8.13342406e-09 
 2.88403150e+03  2.57732949e-07  8.06926570e-09 
 2.95120923e+03  2.55707970e-07  8.00587084e-09 
 3.01995172e+03  2.53707144e-07  7.94323230e-09 
 3.09029543e+03  2.51730243e-07  7.88134299e-09 
 3.16227766e+03  2.49777043e-07  7.82019586e-09 
 3.23593657e+03  2.47847321e-07  7.75978394e-09 
 3.31131121e+03  2.45940855e-07  7.70010030e-09 
 3.38844156e+03  2.44057425e-07  7.64113808e-09 
 3.46736850e+03  2.42196815e-07  7.58289047e-09 
 3.54813389e+03  2.40358808e-07  7.52535074e-09 
 3.63078055e+03  2.38543190e-07  7.46851218e-09 
 3.71535229e+03  2.36749750e-07  7.41236816e-09 
 3.80189396e+03  2.34978276e-07  7.35691210e-09 
 3.89045145e+03  2.33228560e-07  7.30213746e-09 
 3.98107171e+03  2.31500395e-07  7.24803779e-09 
 4.07380278e+03  2.29793575e-07  7.19460664e-09 
 4.16869383e+03  2.28107896e-07  7.14183765e-09 
 4.26579519e+03  2.26443156e-07  7.08972449e-09 
 4.36515832e+03  2.24799155e-07  7.03826090e-09 
 4.46683592e+03  2.23175693e-07  6.98744065e-09 
 4.57088190e+03  2.21572572e-07  6.93725757e-09 
 4.67735141e+03  2.19989597e-07  6.88770552e-09 
 4.78630092e+03  2.18426573e-07  6.83877843e-09 
 4.89778819e+03  2.16883306e-07  6.79047027e-09 
 5.01187234e+03  2.15359606e-07  6.74277504e-09 
 5.12861384e+03  2.13855280e-07  6.69568679e-09 
 5.24807460e+03  2.12370142e-07  6.64919964e-09 
 5.37031796e+03  2.10904002e-07  6.60330772e-09 
 5.49540874e+03  2.09456675e-07  6.55800522e-09 
 5.62341325e+03  2.08027976e-07  6.51328636e-09 
 5.75439937e+03  2.06617721e-07  6.46914543e-09 
 5.88843655e+03  2.05225728e-07  6.42557672e-09 
 6.02559586e+03  2.03851815e-07  6.38257459e-09 
 6.16595002e+03  2.02495804e-07  6.34013343e-09 
 6.30957344e+03  2.01157515e-07  6.29824767e-09 
 6.45654229e+03  1.99836771e-07  6.25691178e-09 
