 time            d8              h8              c8              p8             
 1.02071671e-05  1.21753304e-01  3.65541239e-04  9.91262379e-01  1.24454546e-03 
 1.02121671e-05  1.26646604e-01  3.48513248e-03  9.91238806e-01  1.24485878e-03 
 1.02171671e-05  1.31457704e-01  6.64928619e-03  9.91180637e-01  1.24519011e-03 
 1.02221671e-05  1.36186761e-01  9.85483337e-03  9.91090977e-01  1.24557825e-03 
 1.02271671e-05  1.40834610e-01  1.30987079e-02  9.90973588e-01  1.24596680e-03 
 1.02321671e-05  1.45401445e-01  1.63779403e-02  9.90832519e-01  1.24639398e-03 
 1.02371671e-05  1.49888102e-01  1.96896527e-02  9.90672233e-01  1.24680368e-03 
 1.02421671e-05  1.54294869e-01  2.30310531e-02  9.90497288e-01  1.24723432e-03 
 1.02471671e-05  1.58622641e-01  2.63994323e-02  9.90312412e-01  1.24763080e-03 
 1.02521671e-05  1.62871841e-01  2.97921593e-02  9.90122236e-01  1.24803243e-03 
 1.02571671e-05  1.67043464e-01  3.32066791e-02  9.89931329e-01  1.24838571e-03 
 1.02621671e-05  1.71138088e-01  3.66405106e-02  9.89743980e-01  1.24873140e-03 
 1.02671671e-05  1.75156822e-01  4.00912447e-02  9.89564226e-01  1.24901806e-03 
 1.02721671e-05  1.79100402e-01  4.35565438e-02  9.89395670e-01  1.24928821e-03 
 1.02771671e-05  1.82970055e-01  4.70341412e-02  9.89241515e-01  1.24949271e-03 
 1.02821671e-05  1.86766656e-01  5.05218415e-02  9.89104430e-01  1.24967598e-03 
 1.02871671e-05  1.90491533e-01  5.40175208e-02  9.88986589e-01  1.24979123e-03 
 1.02921671e-05  1.94145678e-01  5.75191280e-02  9.88889583e-01  1.24988470e-03 
 1.02971671e-05  1.97730493e-01  6.10246850e-02  9.88814475e-01  1.24991180e-03 
 1.03021671e-05  2.01247056e-01  6.45322884e-02  9.88761744e-01  1.24992038e-03 
 1.03071671e-05  2.04696810e-01  6.80401105e-02  9.88731369e-01  1.24986771e-03 
 1.03121671e-05  2.08080883e-01  7.15464000e-02  9.88722796e-01  1.24980286e-03 
 1.03171671e-05  2.11400727e-01  7.50494829e-02  9.88735034e-01  1.24968455e-03 
 1.03221671e-05  2.14657487e-01  7.85477630e-02  9.88766654e-01  1.24956261e-03 
 1.03271671e-05  2.17852594e-01  8.20397221e-02  9.88815893e-01  1.24939673e-03 
 1.03321671e-05  2.20987177e-01  8.55239197e-02  9.88880664e-01  1.24923698e-03 
 1.03371671e-05  2.24062616e-01  8.89989925e-02  9.88958672e-01  1.24904353e-03 
 1.03421671e-05  2.27080001e-01  9.24636531e-02  9.89047426e-01  1.24886622e-03 
 1.03471671e-05  2.30040643e-01  9.59166889e-02  9.89144353e-01  1.24866522e-03 
 1.03521671e-05  2.32945570e-01  9.93569595e-02  9.89246818e-01  1.24848971e-03 
 1.03571671e-05  2.35796009e-01  1.02783395e-01  9.89352226e-01  1.24829947e-03 
 1.03621671e-05  2.38592914e-01  1.06194993e-01  9.89458036e-01  1.24814270e-03 
 1.03671671e-05  2.41337419e-01  1.09590814e-01  9.89561858e-01  1.24797847e-03 
 1.03721671e-05  2.44030402e-01  1.12969982e-01  9.89661452e-01  1.24785376e-03 
 1.03771671e-05  2.46672902e-01  1.16331677e-01  9.89754813e-01  1.24772676e-03 
 1.03821671e-05  2.49265719e-01  1.19675130e-01  9.89840161e-01  1.24764308e-03 
 1.03871671e-05  2.51809803e-01  1.22999626e-01  9.89916009e-01  1.24755998e-03 
 1.03921671e-05  2.54305884e-01  1.26304492e-01  9.89981137e-01  1.24752169e-03 
 1.03971671e-05  2.56754832e-01  1.29589099e-01  9.90034651e-01  1.24748456e-03 
 1.04021671e-05  2.59157315e-01  1.32852854e-01  9.90075937e-01  1.24749152e-03 
 1.04071671e-05  2.61514140e-01  1.36095201e-01  9.90104708e-01  1.24749813e-03 
 1.04121671e-05  2.63825924e-01  1.39315612e-01  9.90120946e-01  1.24754621e-03 
 1.04171671e-05  2.66093422e-01  1.42513588e-01  9.90124935e-01  1.24759071e-03 
 1.04221671e-05  2.68317221e-01  1.45688656e-01  9.90117196e-01  1.24767254e-03 
 1.04271671e-05  2.70498036e-01  1.48840363e-01  9.90098503e-01  1.24774630e-03 
 1.04321671e-05  2.72636435e-01  1.51968278e-01  9.90069814e-01  1.24785227e-03 
 1.04371671e-05  2.74733110e-01  1.55071988e-01  9.90032283e-01  1.24794497e-03 
 1.04421671e-05  2.76788620e-01  1.58151096e-01  9.89987178e-01  1.24806429e-03 
 1.04471671e-05  2.78803647e-01  1.61205222e-01  9.89935894e-01  1.24816493e-03 
 1.04521671e-05  2.80778750e-01  1.64233999e-01  9.89879870e-01  1.24828669e-03 
 1.04571671e-05  2.82714609e-01  1.67237076e-01  9.89820599e-01  1.24838467e-03 
 1.04621671e-05  2.84611791e-01  1.70214116e-01  9.89759551e-01  1.24849878e-03 
 1.04671671e-05  2.86470976e-01  1.73164795e-01  9.89698177e-01  1.24858476e-03 
 1.04721671e-05  2.88292744e-01  1.76088804e-01  9.89637843e-01  1.24868280e-03 
 1.04771671e-05  2.90077780e-01  1.78985849e-01  9.89579843e-01  1.24874938e-03 
 1.04821671e-05  2.91826674e-01  1.81855651e-01  9.89525329e-01  1.24882513e-03 
 1.04871671e-05  2.93540116e-01  1.84697949e-01  9.89475339e-01  1.24886735e-03 
 1.04921671e-05  2.95218703e-01  1.87512495e-01  9.89430734e-01  1.24891711e-03 
 1.04971671e-05  2.96863127e-01  1.90299062e-01  9.89392232e-01  1.24893260e-03 
 1.05021671e-05  2.98473992e-01  1.93057440e-01  9.89360357e-01  1.24895531e-03 
 1.05071671e-05  3.00051985e-01  1.95787438e-01  9.89335479e-01  1.24894425e-03 
 1.05121671e-05  3.01597708e-01  1.98488885e-01  9.89317773e-01  1.24894129e-03 
 1.05171671e-05  3.03111840e-01  2.01161628e-01  9.89307264e-01  1.24890615e-03 
 1.05221671e-05  3.04594978e-01  2.03805538e-01  9.89303800e-01  1.24888097e-03 
 1.05271671e-05  3.06047785e-01  2.06420503e-01  9.89307095e-01  1.24882605e-03 
 1.05321671e-05  3.07470846e-01  2.09006436e-01  9.89316714e-01  1.24878367e-03 
 1.05371671e-05  3.08864805e-01  2.11563267e-01  9.89332121e-01  1.24871456e-03 
 1.05421671e-05  3.10230227e-01  2.14090948e-01  9.89352664e-01  1.24866099e-03 
 1.05471671e-05  3.11567732e-01  2.16589451e-01  9.89377629e-01  1.24858395e-03 
 1.05521671e-05  3.12877863e-01  2.19058769e-01  9.89406225e-01  1.24852553e-03 
 1.05571671e-05  3.14161212e-01  2.21498912e-01  9.89437641e-01  1.24844688e-03 
 1.05621671e-05  3.15418295e-01  2.23909910e-01  9.89471030e-01  1.24838976e-03 
 1.05671671e-05  3.16649673e-01  2.26291808e-01  9.89505563e-01  1.24831532e-03 
 1.05721671e-05  3.17855836e-01  2.28644671e-01  9.89540414e-01  1.24826492e-03 
 1.05771671e-05  3.19037313e-01  2.30968575e-01  9.89574810e-01  1.24819959e-03 
 1.05821671e-05  3.20194563e-01  2.33263613e-01  9.89608014e-01  1.24816019e-03 
 1.05871671e-05  3.21328084e-01  2.35529890e-01  9.89639371e-01  1.24810761e-03 
 1.05921671e-05  3.22438309e-01  2.37767524e-01  9.89668284e-01  1.24808215e-03 
 1.05971671e-05  3.23525706e-01  2.39976642e-01  9.89694260e-01  1.24804451e-03 
 1.06021671e-05  3.24590680e-01  2.42157383e-01  9.89716879e-01  1.24803444e-03 
 1.06071671e-05  3.25633672e-01  2.44309890e-01  9.89735836e-01  1.24801247e-03 
 1.06121671e-05  3.26655064e-01  2.46434319e-01  9.89750904e-01  1.24801781e-03 
 1.06171671e-05  3.27655271e-01  2.48530828e-01  9.89761973e-01  1.24801083e-03 
 1.06221671e-05  3.28634656e-01  2.50599584e-01  9.89769009e-01  1.24803027e-03 
 1.06271671e-05  3.29593612e-01  2.52640755e-01  9.89772085e-01  1.24803643e-03 
 1.06321671e-05  3.30532486e-01  2.54654515e-01  9.89771342e-01  1.24806764e-03 
 1.06371671e-05  3.31451654e-01  2.56641042e-01  9.89767015e-01  1.24808416e-03 
 1.06421671e-05  3.32351447e-01  2.58600516e-01  9.89759388e-01  1.24812403e-03 
 1.06471671e-05  3.33232228e-01  2.60533119e-01  9.89748821e-01  1.24814757e-03 
 1.06521671e-05  3.34094318e-01  2.62439036e-01  9.89735701e-01  1.24819258e-03 
 1.06571671e-05  3.34938069e-01  2.64318452e-01  9.89720469e-01  1.24821956e-03 
 1.06621671e-05  3.35763792e-01  2.66171556e-01  9.89703573e-01  1.24826615e-03 
 1.06671671e-05  3.36571832e-01  2.67998536e-01  9.89685491e-01  1.24829306e-03 
 1.06721671e-05  3.37362494e-01  2.69799584e-01  9.89666684e-01  1.24833788e-03 
 1.06771671e-05  3.38136114e-01  2.71574892e-01  9.89647621e-01  1.24836163e-03 
 1.06821671e-05  3.38892992e-01  2.73324654e-01  9.89628738e-01  1.24840185e-03 
 1.06871671e-05  3.39633460e-01  2.75049066e-01  9.89610455e-01  1.24841992e-03 
 1.06921671e-05  3.40357813e-01  2.76748326e-01  9.89593145e-01  1.24845340e-03 
 1.06971671e-05  3.41066376e-01  2.78422633e-01  9.89577152e-01  1.24846405e-03 
 1.07021671e-05  3.41759440e-01  2.80072190e-01  9.89562759e-01  1.24848946e-03 
 1.07071671e-05  3.42437324e-01  2.81697202e-01  9.89550211e-01  1.24849177e-03 
 1.07121671e-05  3.43100314e-01  2.83297876e-01  9.89539687e-01  1.24850862e-03 
 1.07171671e-05  3.43748723e-01  2.84874423e-01  9.89531322e-01  1.24850248e-03 
 1.07221671e-05  3.44382831e-01  2.86427056e-01  9.89525185e-01  1.24851105e-03 
 1.07271671e-05  3.45002943e-01  2.87955992e-01  9.89521303e-01  1.24849713e-03 
 1.07321671e-05  3.45609333e-01  2.89461451e-01  9.89519639e-01  1.24849840e-03 
 1.07371671e-05  3.46202298e-01  2.90943655e-01  9.89520121e-01  1.24847795e-03 
 1.07421671e-05  3.46782103e-01  2.92402832e-01  9.89522620e-01  1.24847341e-03 
 1.07471671e-05  3.47349036e-01  2.93839211e-01  9.89526982e-01  1.24844812e-03 
 1.07521671e-05  3.47903354e-01  2.95253024e-01  9.89533006e-01  1.24843961e-03 
 1.07571671e-05  3.48445335e-01  2.96644508e-01  9.89540478e-01  1.24841142e-03 
 1.07621671e-05  3.48975225e-01  2.98013901e-01  9.89549151e-01  1.24840094e-03 
 1.07671671e-05  3.49493291e-01  2.99361445e-01  9.89558774e-01  1.24837185e-03 
 1.07721671e-05  3.49999770e-01  3.00687382e-01  9.89569079e-01  1.24836134e-03 
 1.07771671e-05  3.50494918e-01  3.01991960e-01  9.89579808e-01  1.24833320e-03 
 1.07821671e-05  3.50978960e-01  3.03275424e-01  9.89590692e-01  1.24832440e-03 
 1.07871671e-05  3.51452141e-01  3.04538026e-01  9.89601490e-01  1.24829881e-03 
 1.07921671e-05  3.51914677e-01  3.05780015e-01  9.89611959e-01  1.24829315e-03 
 1.07971671e-05  3.52366799e-01  3.07001643e-01  9.89621889e-01  1.24827131e-03 
 1.08021671e-05  3.52808714e-01  3.08203161e-01  9.89631083e-01  1.24826976e-03 
 1.08071671e-05  3.53240643e-01  3.09384822e-01  9.89639379e-01  1.24825244e-03 
 1.08121671e-05  3.53662780e-01  3.10546877e-01  9.89646634e-01  1.24825554e-03 
 1.08171671e-05  3.54075339e-01  3.11689579e-01  9.89652747e-01  1.24824303e-03 
 1.08221671e-05  3.54478503e-01  3.12813178e-01  9.89657635e-01  1.24825085e-03 
 1.08271671e-05  3.54872476e-01  3.13917924e-01  9.89661257e-01  1.24824300e-03 
 1.08321671e-05  3.55257433e-01  3.15004066e-01  9.89663593e-01  1.24825517e-03 
 1.08371671e-05  3.55633569e-01  3.16071851e-01  9.89664662e-01  1.24825144e-03 
 1.08421671e-05  3.56001053e-01  3.17121525e-01  9.89664498e-01  1.24826728e-03 
 1.08471671e-05  3.56360069e-01  3.18153330e-01  9.89663174e-01  1.24826684e-03 
 1.08521671e-05  3.56710780e-01  3.19167510e-01  9.89660772e-01  1.24828539e-03 
 1.08571671e-05  3.57053364e-01  3.20164303e-01  9.89657403e-01  1.24828720e-03 
 1.08621671e-05  3.57387978e-01  3.21143946e-01  9.89653186e-01  1.24830737e-03 
 1.08671671e-05  3.57714792e-01  3.22106676e-01  9.89648260e-01  1.24831030e-03 
 1.08721671e-05  3.58033957e-01  3.23052724e-01  9.89642763e-01  1.24833097e-03 
 1.08771671e-05  3.58345640e-01  3.23982320e-01  9.89636849e-01  1.24833392e-03 
 1.08821671e-05  3.58649985e-01  3.24895693e-01  9.89630663e-01  1.24835402e-03 
 1.08871671e-05  3.58947154e-01  3.25793069e-01  9.89624356e-01  1.24835599e-03 
 1.08921671e-05  3.59237288e-01  3.26674671e-01  9.89618067e-01  1.24837460e-03 
 1.08971671e-05  3.59520542e-01  3.27540720e-01  9.89611934e-01  1.24837478e-03 
 1.09021671e-05  3.59797053e-01  3.28391436e-01  9.89606076e-01  1.24839121e-03 
 1.09071671e-05  3.60066973e-01  3.29227035e-01  9.89600609e-01  1.24838902e-03 
 1.09121671e-05  3.60330434e-01  3.30047733e-01  9.89595624e-01  1.24840281e-03 
 1.09171671e-05  3.60587584e-01  3.30853743e-01  9.89591207e-01  1.24839793e-03 
 1.09221671e-05  3.60838549e-01  3.31645276e-01  9.89587416e-01  1.24840891e-03 
 1.09271671e-05  3.61083474e-01  3.32422542e-01  9.89584301e-01  1.24840128e-03 
 1.09321671e-05  3.61322482e-01  3.33185748e-01  9.89581889e-01  1.24840952e-03 
 1.09371671e-05  3.61555713e-01  3.33935102e-01  9.89580192e-01  1.24839933e-03 
 1.09421671e-05  3.61783284e-01  3.34670807e-01  9.89579204e-01  1.24840510e-03 
 1.09471671e-05  3.62005331e-01  3.35393067e-01  9.89578907e-01  1.24839273e-03 
 1.09521671e-05  3.62221968e-01  3.36102085e-01  9.89579262e-01  1.24839651e-03 
 1.09571671e-05  3.62433326e-01  3.36798059e-01  9.89580225e-01  1.24838249e-03 
 1.09621671e-05  3.62639514e-01  3.37481189e-01  9.89581734e-01  1.24838485e-03 
 1.09671671e-05  3.62840658e-01  3.38151672e-01  9.89583726e-01  1.24836980e-03 
 1.09721671e-05  3.63036863e-01  3.38809704e-01  9.89586121e-01  1.24837138e-03 
 1.09771671e-05  3.63228251e-01  3.39455480e-01  9.89588844e-01  1.24835593e-03 
 1.09821671e-05  3.63414921e-01  3.40089192e-01  9.89591808e-01  1.24835736e-03 
 1.09871671e-05  3.63596989e-01  3.40711032e-01  9.89594932e-01  1.24834212e-03 
 1.09921671e-05  3.63774553e-01  3.41321189e-01  9.89598130e-01  1.24834397e-03 
 1.09971671e-05  3.63947722e-01  3.41919852e-01  9.89601326e-01  1.24832946e-03 
 1.10021671e-05  3.64116588e-01  3.42507206e-01  9.89604439e-01  1.24833220e-03 
 1.10071671e-05  3.64281258e-01  3.43083436e-01  9.89607403e-01  1.24831883e-03 
 1.10121671e-05  3.64441818e-01  3.43648725e-01  9.89610152e-01  1.24832280e-03 
 1.10171671e-05  3.64598371e-01  3.44203252e-01  9.89612633e-01  1.24831083e-03 
 1.10221671e-05  3.64750999e-01  3.44747198e-01  9.89614797e-01  1.24831623e-03 
 1.10271671e-05  3.64899799e-01  3.45280738e-01  9.89616611e-01  1.24830579e-03 
 1.10321671e-05  3.65044850e-01  3.45804046e-01  9.89618043e-01  1.24831265e-03 
 1.10371671e-05  3.65186246e-01  3.46317296e-01  9.89619082e-01  1.24830370e-03 
