 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 1.11000000e+00  3.94314809e-06  5.85367288e-05  6.70556023e-06  6.95307009e-01  8.18489454e-02  1.48451764e+01  8.72958065e+00 
 1.10000000e+00  4.56979050e-06  6.69331692e-05  7.66488983e-06  6.95307009e-01  8.58252427e-02  1.46468791e+01  8.73243721e+00 
 1.09000000e+00  5.28466453e-06  7.61850672e-05  8.72192089e-06  6.95307009e-01  9.00611533e-02  1.44162542e+01  8.73489547e+00 
 1.08000000e+00  6.09636180e-06  8.62974706e-05  9.87735219e-06  6.95307009e-01  9.45514457e-02  1.41555691e+01  8.73690327e+00 
 1.07000000e+00  7.01345296e-06  9.72611030e-05  1.11303023e-05  6.95307009e-01  9.92882984e-02  1.38677915e+01  8.73840627e+00 
 1.06000000e+00  8.04434471e-06  1.09052548e-04  1.24783396e-05  6.95307009e-01  1.04261531e-01  1.35564241e+01  8.73934770e+00 
 1.05000000e+00  9.19714253e-06  1.21635187e-04  1.39175978e-05  6.95307009e-01  1.09458911e-01  1.32253237e+01  8.73966821e+00 
 1.04000000e+00  1.04795261e-05  1.34960787e-04  1.54429640e-05  6.95307009e-01  1.14866515e-01  1.28785201e+01  8.73930594e+00 
 1.03000000e+00  1.18986431e-05  1.48971593e-04  1.70483220e-05  6.95307009e-01  1.20469122e-01  1.25200489e+01  8.73819682e+00 
 1.02000000e+00  1.34610261e-05  1.63602708e-04  1.87268269e-05  6.95307009e-01  1.26250615e-01  1.21538066e+01  8.73627491e+00 
 1.01000000e+00  1.51725334e-05  1.78784593e-04  2.04711908e-05  6.95307009e-01  1.32194372e-01  1.17834371e+01  8.73347304e+00 
 1.00000000e+00  1.70383147e-05  1.94445478e-04  2.22739563e-05  6.95307009e-01  1.38283619e-01  1.14122483e+01  8.72972342e+00 
 9.90000000e-01  1.90628000e-05  2.10513549e-04  2.41277426e-05  6.95307009e-01  1.44501752e-01  1.10431599e+01  8.72495832e+00 
