 v-sweep         iref_forced     iref_mos        iout_mos        error_vs_forced_pct error_vs_reference_mos_pct vdsat_abs       sat_margin     
 7.10000000e-01  1.00000000e-05  1.00000012e-05  1.00139212e-05  1.39211606e-01  1.39199756e-01  1.08670667e-01  6.01329333e-01 
 7.20000000e-01  1.00000000e-05  1.00000012e-05  1.00229473e-05  2.29473448e-01  2.29461587e-01  1.08670667e-01  6.11329333e-01 
 7.30000000e-01  1.00000000e-05  1.00000012e-05  1.00319222e-05  3.19222271e-01  3.19210400e-01  1.08670667e-01  6.21329333e-01 
 7.40000000e-01  1.00000000e-05  1.00000012e-05  1.00408476e-05  4.08475955e-01  4.08464073e-01  1.08670668e-01  6.31329332e-01 
 7.50000000e-01  1.00000000e-05  1.00000012e-05  1.00497251e-05  4.97251466e-01  4.97239573e-01  1.08670668e-01  6.41329332e-01 
 7.60000000e-01  1.00000000e-05  1.00000012e-05  1.00585565e-05  5.85564921e-01  5.85553018e-01  1.08670669e-01  6.51329331e-01 
 7.70000000e-01  1.00000000e-05  1.00000012e-05  1.00673432e-05  6.73431643e-01  6.73419729e-01  1.08670669e-01  6.61329331e-01 
 7.80000000e-01  1.00000000e-05  1.00000012e-05  1.00760866e-05  7.60866210e-01  7.60854287e-01  1.08670670e-01  6.71329330e-01 
 7.90000000e-01  1.00000000e-05  1.00000012e-05  1.00847883e-05  8.47882508e-01  8.47870574e-01  1.08670670e-01  6.81329330e-01 
 8.00000000e-01  1.00000000e-05  1.00000012e-05  1.00934494e-05  9.34493766e-01  9.34481822e-01  1.08670671e-01  6.91329329e-01 
 8.10000000e-01  1.00000000e-05  1.00000012e-05  1.01020713e-05  1.02071260e+00  1.02070065e+00  1.08670671e-01  7.01329329e-01 
 8.20000000e-01  1.00000000e-05  1.00000012e-05  1.01106551e-05  1.10655107e+00  1.10653910e+00  1.08670672e-01  7.11329328e-01 
 8.30000000e-01  1.00000000e-05  1.00000012e-05  1.01192021e-05  1.19202066e+00  1.19200868e+00  1.08670672e-01  7.21329328e-01 
 8.40000000e-01  1.00000000e-05  1.00000012e-05  1.01277132e-05  1.27713237e+00  1.27712039e+00  1.08670672e-01  7.31329328e-01 
 8.50000000e-01  1.00000000e-05  1.00000012e-05  1.01361897e-05  1.36189673e+00  1.36188474e+00  1.08670673e-01  7.41329327e-01 
 8.60000000e-01  1.00000000e-05  1.00000012e-05  1.01446324e-05  1.44632379e+00  1.44631179e+00  1.08670673e-01  7.51329327e-01 
 8.70000000e-01  1.00000000e-05  1.00000012e-05  1.01530423e-05  1.53042320e+00  1.53041119e+00  1.08670674e-01  7.61329326e-01 
 8.80000000e-01  1.00000000e-05  1.00000012e-05  1.01614204e-05  1.61420419e+00  1.61419217e+00  1.08670674e-01  7.71329326e-01 
 8.90000000e-01  1.00000000e-05  1.00000012e-05  1.01697676e-05  1.69767562e+00  1.69766359e+00  1.08670675e-01  7.81329325e-01 
 9.00000000e-01  1.00000000e-05  1.00000012e-05  1.01780846e-05  1.78084599e+00  1.78083395e+00  1.08670675e-01  7.91329325e-01 
