 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 1.21000000e+00  9.28825133e-04  2.41833752e-03  2.28614490e-04  7.07653677e-01  2.42706247e-01  2.60365211e+00  1.05782338e+01 
 1.22000000e+00  9.53034926e-04  2.42356004e-03  2.31701022e-04  7.07653677e-01  2.44787681e-01  2.54299184e+00  1.04598591e+01 
 1.23000000e+00  9.77295134e-04  2.42842266e-03  2.34750652e-04  7.07653677e-01  2.46840874e-01  2.48484063e+00  1.03446897e+01 
 1.24000000e+00  1.00160222e-03  2.43293716e-03  2.37765272e-04  7.07653677e-01  2.48867648e-01  2.42904530e+00  1.02325169e+01 
 1.25000000e+00  1.02595275e-03  2.43711429e-03  2.40746700e-04  7.07653677e-01  2.50869735e-01  2.37546445e+00  1.01231472e+01 
 1.26000000e+00  1.05034341e-03  2.44096394e-03  2.43696682e-04  7.07653677e-01  2.52848785e-01  2.32396749e+00  1.00164020e+01 
 1.27000000e+00  1.07477097e-03  2.44449533e-03  2.46616891e-04  7.07653677e-01  2.54806366e-01  2.27443371e+00  9.91211636e+00 
 1.28000000e+00  1.09923229e-03  2.44771706e-03  2.49508934e-04  7.07653677e-01  2.56743972e-01  2.22675142e+00  9.81013794e+00 
 1.29000000e+00  1.12372431e-03  2.45063730e-03  2.52374349e-04  7.07653677e-01  2.58663028e-01  2.18081720e+00  9.71032637e+00 
 1.30000000e+00  1.14824405e-03  2.45326379e-03  2.55214612e-04  7.07653677e-01  2.60564892e-01  2.13653516e+00  9.61255226e+00 
 1.31000000e+00  1.17278863e-03  2.45560398e-03  2.58031137e-04  7.07653677e-01  2.62450857e-01  2.09381633e+00  9.51669637e+00 
 1.32000000e+00  1.19735520e-03  2.45766504e-03  2.60825281e-04  7.07653677e-01  2.64322160e-01  2.05257807e+00  9.42264886e+00 
 1.33000000e+00  1.22194102e-03  2.45945390e-03  2.63598346e-04  7.07653677e-01  2.66179979e-01  2.01274354e+00  9.33030854e+00 
 1.34000000e+00  1.24654340e-03  2.46097732e-03  2.66351580e-04  7.07653677e-01  2.68025442e-01  1.97424119e+00  9.23958222e+00 
 1.35000000e+00  1.27115971e-03  2.46224190e-03  2.69086182e-04  7.07653677e-01  2.69859626e-01  1.93700436e+00  9.15038401e+00 
 1.36000000e+00  1.29578739e-03  2.46325407e-03  2.71803304e-04  7.07653677e-01  2.71683560e-01  1.90097086e+00  9.06263477e+00 
 1.37000000e+00  1.32042397e-03  2.46402018e-03  2.74504054e-04  7.07653677e-01  2.73498229e-01  1.86608259e+00  8.97626153e+00 
 1.38000000e+00  1.34506700e-03  2.46454642e-03  2.77189497e-04  7.07653677e-01  2.75304574e-01  1.83228525e+00  8.89119698e+00 
 1.39000000e+00  1.36971412e-03  2.46483890e-03  2.79860660e-04  7.07653677e-01  2.77103499e-01  1.79952800e+00  8.80737901e+00 
 1.40000000e+00  1.39436302e-03  2.46490362e-03  2.82518531e-04  7.07653677e-01  2.78895866e-01  1.76776319e+00  8.72475024e+00 
 1.41000000e+00  1.41901145e-03  2.46474649e-03  2.85164065e-04  7.07653677e-01  2.80682504e-01  1.73694616e+00  8.64325764e+00 
 1.42000000e+00  1.44365723e-03  2.46437331e-03  2.87798185e-04  7.07653677e-01  2.82464205e-01  1.70703493e+00  8.56285216e+00 
 1.43000000e+00  1.46829821e-03  2.46378980e-03  2.90421780e-04  7.07653677e-01  2.84241731e-01  1.67799005e+00  8.48348838e+00 
 1.44000000e+00  1.49293234e-03  2.46300157e-03  2.93035714e-04  7.07653677e-01  2.86015809e-01  1.64977441e+00  8.40512418e+00 
 1.45000000e+00  1.51755758e-03  2.46201414e-03  2.95640823e-04  7.07653677e-01  2.87787142e-01  1.62235303e+00  8.32772050e+00 
 1.46000000e+00  1.54217198e-03  2.46083295e-03  2.98237919e-04  7.07653677e-01  2.89556399e-01  1.59569295e+00  8.25124102e+00 
 1.47000000e+00  1.56677361e-03  2.45946330e-03  3.00827788e-04  7.07653677e-01  2.91324225e-01  1.56976303e+00  8.17565198e+00 
 1.48000000e+00  1.59136063e-03  2.45791042e-03  3.03411198e-04  7.07653677e-01  2.93091240e-01  1.54453389e+00  8.10092192e+00 
 1.49000000e+00  1.61593123e-03  2.45617943e-03  3.05988895e-04  7.07653677e-01  2.94858037e-01  1.51997770e+00  8.02702149e+00 
 1.50000000e+00  1.64048364e-03  2.45427535e-03  3.08561607e-04  7.07653677e-01  2.96625189e-01  1.49606816e+00  7.95392328e+00 
 1.51000000e+00  1.66501617e-03  2.45220307e-03  3.11130044e-04  7.07653677e-01  2.98393245e-01  1.47278033e+00  7.88160165e+00 
 1.52000000e+00  1.68952716e-03  2.44996739e-03  3.13694901e-04  7.07653677e-01  3.00162731e-01  1.45009056e+00  7.81003256e+00 
