 frequency       onoise_spectrum inoise_spectrum
 2.63026799e+01  5.60328572e-06  1.76483523e-07 
 2.69153480e+01  5.54151682e-06  1.74538023e-07 
 2.75422870e+01  5.48043664e-06  1.72614215e-07 
 2.81838293e+01  5.42003747e-06  1.70711857e-07 
 2.88403150e+01  5.36031166e-06  1.68830707e-07 
 2.95120923e+01  5.30125166e-06  1.66970527e-07 
 3.01995172e+01  5.24285001e-06  1.65131084e-07 
 3.09029543e+01  5.18509933e-06  1.63312143e-07 
 3.16227766e+01  5.12799233e-06  1.61513476e-07 
 3.23593657e+01  5.07152178e-06  1.59734855e-07 
 3.31131121e+01  5.01568056e-06  1.57976056e-07 
 3.38844156e+01  4.96046161e-06  1.56236856e-07 
 3.46736850e+01  4.90585796e-06  1.54517036e-07 
 3.54813389e+01  4.85186272e-06  1.52816378e-07 
 3.63078055e+01  4.79846907e-06  1.51134668e-07 
 3.71535229e+01  4.74567027e-06  1.49471694e-07 
 3.80189396e+01  4.69345966e-06  1.47827246e-07 
 3.89045145e+01  4.64183065e-06  1.46201117e-07 
 3.98107171e+01  4.59077674e-06  1.44593100e-07 
 4.07380278e+01  4.54029147e-06  1.43002994e-07 
 4.16869383e+01  4.49036848e-06  1.41430598e-07 
 4.26579519e+01  4.44100147e-06  1.39875714e-07 
 4.36515832e+01  4.39218424e-06  1.38338145e-07 
 4.46683592e+01  4.34391061e-06  1.36817697e-07 
 4.57088190e+01  4.29617450e-06  1.35314180e-07 
 4.67735141e+01  4.24896991e-06  1.33827404e-07 
 4.78630092e+01  4.20229088e-06  1.32357181e-07 
 4.89778819e+01  4.15613152e-06  1.30903326e-07 
 5.01187234e+01  4.11048604e-06  1.29465656e-07 
 5.12861384e+01  4.06534868e-06  1.28043990e-07 
 5.24807460e+01  4.02071375e-06  1.26638149e-07 
 5.37031796e+01  3.97657565e-06  1.25247956e-07 
 5.49540874e+01  3.93292880e-06  1.23873236e-07 
 5.62341325e+01  3.88976772e-06  1.22513816e-07 
 5.75439937e+01  3.84708698e-06  1.21169525e-07 
 5.88843655e+01  3.80488121e-06  1.19840193e-07 
 6.02559586e+01  3.76314509e-06  1.18525654e-07 
 6.16595002e+01  3.72187339e-06  1.17225743e-07 
 6.30957344e+01  3.68106090e-06  1.15940295e-07 
 6.45654229e+01  3.64070250e-06  1.14669150e-07 
 6.60693448e+01  3.60079312e-06  1.13412146e-07 
 6.76082975e+01  3.56132774e-06  1.12169127e-07 
 6.91830971e+01  3.52230140e-06  1.10939937e-07 
 7.07945784e+01  3.48370919e-06  1.09724420e-07 
 7.24435960e+01  3.44554628e-06  1.08522424e-07 
 7.41310241e+01  3.40780785e-06  1.07333798e-07 
 7.58577575e+01  3.37048919e-06  1.06158394e-07 
 7.76247117e+01  3.33358559e-06  1.04996062e-07 
 7.94328235e+01  3.29709243e-06  1.03846657e-07 
 8.12830516e+01  3.26100513e-06  1.02710036e-07 
 8.31763771e+01  3.22531915e-06  1.01586055e-07 
 8.51138038e+01  3.19003003e-06  1.00474574e-07 
 8.70963590e+01  3.15513333e-06  9.93754518e-08 
 8.91250938e+01  3.12062467e-06  9.82885522e-08 
 9.12010839e+01  3.08649973e-06  9.72137384e-08 
 9.33254301e+01  3.05275423e-06  9.61508755e-08 
 9.54992586e+01  3.01938394e-06  9.50998303e-08 
 9.77237221e+01  2.98638468e-06  9.40604712e-08 
 1.00000000e+02  2.95375230e-06  9.30326677e-08 
 1.02329299e+02  2.92148273e-06  9.20162912e-08 
 1.04712855e+02  2.88957191e-06  9.10112143e-08 
 1.07151931e+02  2.85801586e-06  9.00173111e-08 
 1.09647820e+02  2.82681061e-06  8.90344572e-08 
 1.12201845e+02  2.79595227e-06  8.80625294e-08 
 1.14815362e+02  2.76543696e-06  8.71014061e-08 
 1.17489755e+02  2.73526087e-06  8.61509669e-08 
 1.20226443e+02  2.70542023e-06  8.52110930e-08 
 1.23026877e+02  2.67591129e-06  8.42816668e-08 
 1.25892541e+02  2.64673037e-06  8.33625718e-08 
 1.28824955e+02  2.61787381e-06  8.24536933e-08 
 1.31825674e+02  2.58933802e-06  8.15549174e-08 
 1.34896288e+02  2.56111941e-06  8.06661319e-08 
 1.38038426e+02  2.53321446e-06  7.97872255e-08 
 1.41253754e+02  2.50561968e-06  7.89180886e-08 
 1.44543977e+02  2.47833163e-06  7.80586123e-08 
 1.47910839e+02  2.45134690e-06  7.72086894e-08 
 1.51356125e+02  2.42466210e-06  7.63682136e-08 
 1.54881662e+02  2.39827392e-06  7.55370800e-08 
 1.58489319e+02  2.37217905e-06  7.47151847e-08 
 1.62181010e+02  2.34637424e-06  7.39024252e-08 
 1.65958691e+02  2.32085626e-06  7.30987000e-08 
 1.69824365e+02  2.29562194e-06  7.23039087e-08 
 1.73780083e+02  2.27066811e-06  7.15179522e-08 
 1.77827941e+02  2.24599167e-06  7.07407323e-08 
 1.81970086e+02  2.22158953e-06  6.99721522e-08 
 1.86208714e+02  2.19745867e-06  6.92121160e-08 
 1.90546072e+02  2.17359605e-06  6.84605288e-08 
 1.94984460e+02  2.14999872e-06  6.77172971e-08 
