 frequency              gain                  
 3.981071705535015e+02  1.046673023431525e+00 
 4.058198942243842e+02  1.046673023405927e+00 
 4.136820402388552e+02  1.046673023379351e+00 
 4.216965034285868e+02  1.046673023351716e+00 
 4.298662347082324e+02  1.046673023323036e+00 
 4.381942421619485e+02  1.046673023293188e+00 
 4.466835921509680e+02  1.046673023262208e+00 
 4.553374104426299e+02  1.046673023229983e+00 
 4.641588833612830e+02  1.046673023196507e+00 
 4.731512589614857e+02  1.046673023161736e+00 
 4.823178482239360e+02  1.046673023125626e+00 
 4.916620262745698e+02  1.046673023088045e+00 
 5.011872336272779e+02  1.046673023049024e+00 
 5.108969774506985e+02  1.046673023008518e+00 
 5.207948328595522e+02  1.046673022966386e+00 
 5.308844442309944e+02  1.046673022922574e+00 
 5.411695265464699e+02  1.046673022877109e+00 
 5.516538667595644e+02  1.046673022829838e+00 
 5.623413251903556e+02  1.046673022780717e+00 
 5.732358369467780e+02  1.046673022729664e+00 
 5.843414133735243e+02  1.046673022676621e+00 
 5.956621435290174e+02  1.046673022621517e+00 
 6.072021956909956e+02  1.046673022564235e+00 
 6.189658188912678e+02  1.046673022504744e+00 
 6.309573444802006e+02  1.046673022442882e+00 
 6.431811877215163e+02  1.046673022378608e+00 
 6.556418494179866e+02  1.046673022311840e+00 
 6.683439175686225e+02  1.046673022242446e+00 
 6.812920690579693e+02  1.046673022170376e+00 
 6.944910713781295e+02  1.046673022095454e+00 
 7.079457843841464e+02  1.046673022017586e+00 
 7.216611620833969e+02  1.046673021936704e+00 
 7.356422544596502e+02  1.046673021852612e+00 
 7.498942093324649e+02  1.046673021765296e+00 
 7.644222742526096e+02  1.046673021674515e+00 
 7.792317984342036e+02  1.046673021580181e+00 
 7.943282347242912e+02  1.046673021482178e+00 
 8.097171416105718e+02  1.046673021380335e+00 
 8.254041852680285e+02  1.046673021274516e+00 
 8.413951416452054e+02  1.046673021164537e+00 
 8.576958985909047e+02  1.046673021050258e+00 
 8.743124580220845e+02  1.046673020931531e+00 
 8.912509381337566e+02  1.046673020808154e+00 
 9.085175756516981e+02  1.046673020679916e+00 
 9.261187281288051e+02  1.046673020546710e+00 
 9.440608762859353e+02  1.046673020408255e+00 
 9.623506263981008e+02  1.046673020264379e+00 
 9.809947127268898e+02  1.046673020114896e+00 
 1.000000000000013e+03  1.046673019959567e+00 
 1.019373485938886e+03  1.046673019798134e+00 
 1.039122303835182e+03  1.046673019630443e+00 
 1.059253725177302e+03  1.046673019456144e+00 
 1.079775162327723e+03  1.046673019275043e+00 
 1.100694171252224e+03  1.046673019086810e+00 
 1.122018454301978e+03  1.046673018891263e+00 
 1.143755863049553e+03  1.046673018688094e+00 
 1.165914401179847e+03  1.046673018476894e+00 
 1.188502227437034e+03  1.046673018257495e+00 
 1.211527658628604e+03  1.046673018029507e+00 
 1.234999172687601e+03  1.046673017792594e+00 
 1.258925411794184e+03  1.046673017546399e+00 
 1.283315185557668e+03  1.046673017290555e+00 
 1.308177474260211e+03  1.046673017024738e+00 
 1.333521432163342e+03  1.046673016748501e+00 
 1.359356390878544e+03  1.046673016461451e+00 
 1.385691862803146e+03  1.046673016163197e+00 
 1.412537544622773e+03  1.046673015853274e+00 
 1.439903320881652e+03  1.046673015531189e+00 
 1.467799267622089e+03  1.046673015196554e+00 
 1.496235656094454e+03  1.046673014848812e+00 
 1.525222956539040e+03  1.046673014487456e+00 
 1.554771842041195e+03  1.046673014111933e+00 
 1.584893192461135e+03  1.046673013721743e+00 
 1.615598098439896e+03  1.046673013316295e+00 
 1.646897865482891e+03  1.046673012895009e+00 
 1.678804018122584e+03  1.046673012457214e+00 
 1.711328304161804e+03  1.046673012002282e+00 
 1.744482698999278e+03  1.046673011529540e+00 
 1.778279410038948e+03  1.046673011038361e+00 
 1.812730881184724e+03  1.046673010527888e+00 
 1.847849797422317e+03  1.046673009997501e+00 
 1.883649089489827e+03  1.046673009446368e+00 
 1.920141938638829e+03  1.046673008873645e+00 
 1.957341781487688e+03  1.046673008278528e+00 
 1.995262314968908e+03  1.046673007660116e+00 
 2.033917501372321e+03  1.046673007017509e+00 
 2.073321573485985e+03  1.046673006349785e+00 
 2.113489039836677e+03  1.046673005655933e+00 
 2.154434690031915e+03  1.046673004934916e+00 
 2.196173600205468e+03  1.046673004185706e+00 
 2.238721138568372e+03  1.046673003407189e+00 
 2.282092971067484e+03  1.046673002598221e+00 
 2.326305067153660e+03  1.046673001757604e+00 
 2.371373705661690e+03  1.046673000884065e+00 
 2.417315480804139e+03  1.046672999976381e+00 
 2.464147308281318e+03  1.046672999033191e+00 
 2.511886431509617e+03  1.046672998053082e+00 
 2.560550427970514e+03  1.046672997034635e+00 
 2.610157215682575e+03  1.046672995976349e+00 
 2.660725059798849e+03  1.046672994876622e+00 
 2.712272579332068e+03  1.046672993733924e+00 
 2.764818754010148e+03  1.046672992546462e+00 
 2.818382931264496e+03  1.046672991312592e+00 
 2.872984833353707e+03  1.046672990030483e+00 
 2.928644564625281e+03  1.046672988698141e+00 
 2.985382618918004e+03  1.046672987313709e+00 
 3.043219887107768e+03  1.046672985875148e+00 
 3.102177664799548e+03  1.046672984380270e+00 
 3.162277660168427e+03  1.046672982826912e+00 
 3.223542001952512e+03  1.046672981212802e+00 
 3.285993247600705e+03  1.046672979535502e+00 
 3.349654391578328e+03  1.046672977792637e+00 
 3.414548873833654e+03  1.046672975981520e+00 
 3.480700588428464e+03  1.046672974099627e+00 
 3.548133892335809e+03  1.046672972144045e+00 
 3.616873614408215e+03  1.046672970111964e+00 
 3.686945064519632e+03  1.046672968000416e+00 
 3.758374042884499e+03  1.046672965806242e+00 
 3.831186849557347e+03  1.046672963526232e+00 
 3.905410294116440e+03  1.046672961157045e+00 
 3.981071705535034e+03  1.046672958695105e+00 
 4.058198942243861e+03  1.046672956136886e+00 
 4.136820402388571e+03  1.046672953478603e+00 
 4.216965034285888e+03  1.046672950716304e+00 
 4.298662347082343e+03  1.046672947845929e+00 
 4.381942421619505e+03  1.046672944863257e+00 
 4.466835921509701e+03  1.046672941763933e+00 
 4.553374104426321e+03  1.046672938543266e+00 
 4.641588833612851e+03  1.046672935196679e+00 
 4.731512589614878e+03  1.046672931719141e+00 
 4.823178482239382e+03  1.046672928105592e+00 
 4.916620262745721e+03  1.046672924350630e+00 
 5.011872336272801e+03  1.046672920448749e+00 
 5.108969774507008e+03  1.046672916394269e+00 
 5.207948328595546e+03  1.046672912181146e+00 
 5.308844442309967e+03  1.046672907803213e+00 
 5.411695265464722e+03  1.046672903253959e+00 
