 time            v(vdd)          cm              v(xpga.xamp.bn) v(xpga.xamp.bp) v(xpga.xamp.start) i(vdd)         
 1.51000000e-06  1.80000000e+00  8.47497307e-01  6.32497975e-01  6.82635400e-01  4.26183467e-03 -1.27578655e-04 
 1.53000000e-06  1.80000000e+00  8.60270768e-01  6.32576245e-01  6.82593776e-01  4.25607538e-03 -1.28530417e-04 
 1.55000000e-06  1.80000000e+00  8.72847693e-01  6.32702496e-01  6.82529004e-01  4.25108925e-03 -1.30329711e-04 
 1.57000000e-06  1.80000000e+00  8.85257877e-01  6.32898797e-01  6.82428076e-01  4.23929627e-03 -1.33417134e-04 
 1.59000000e-06  1.80000000e+00  8.97540118e-01  6.33165940e-01  6.82281901e-01  4.22605137e-03 -1.38043918e-04 
 1.61000000e-06  1.80000000e+00  9.09734320e-01  6.33469366e-01  6.82097267e-01  4.20747469e-03 -1.43916278e-04 
 1.63000000e-06  1.80000000e+00  9.21870491e-01  6.33752256e-01  6.81899968e-01  4.19181501e-03 -1.50264871e-04 
 1.65000000e-06  1.80000000e+00  9.33967767e-01  6.33985279e-01  6.81718973e-01  4.17679262e-03 -1.56391847e-04 
 1.67000000e-06  1.80000000e+00  9.46048219e-01  6.34146968e-01  6.81574111e-01  4.16745639e-03 -1.61993367e-04 
 1.69000000e-06  1.80000000e+00  9.58149330e-01  6.34164224e-01  6.81494362e-01  4.16294103e-03 -1.66980092e-04 
 1.71000000e-06  1.80000000e+00  9.70313310e-01  6.33944692e-01  6.81530049e-01  4.17260695e-03 -1.71236425e-04 
 1.73000000e-06  1.80000000e+00  9.82564090e-01  6.33564010e-01  6.81698073e-01  4.19271122e-03 -1.74710627e-04 
 1.75000000e-06  1.80000000e+00  9.94908196e-01  6.33154203e-01  6.81946488e-01  4.21692405e-03 -1.77533241e-04 
 1.77000000e-06  1.80000000e+00  1.00737095e+00  6.32851693e-01  6.82192581e-01  4.23652738e-03 -1.79934563e-04 
 1.79000000e-06  1.80000000e+00  1.02007158e+00  6.32683849e-01  6.82374455e-01  4.24779226e-03 -1.82070850e-04 
 1.81000000e-06  1.80000000e+00  1.03283798e+00  6.32592418e-01  6.82483941e-01  4.25369145e-03 -1.84081185e-04 
 1.83000000e-06  1.80000000e+00  1.04471797e+00  6.32544087e-01  6.82537757e-01  4.25709739e-03 -1.85832383e-04 
 1.85000000e-06  1.80000000e+00  1.05266725e+00  6.32532124e-01  6.82532899e-01  4.25819757e-03 -1.87363164e-04 
 1.87000000e-06  1.80000000e+00  1.05125092e+00  6.32566772e-01  6.82447890e-01  4.25701775e-03 -1.88691623e-04 
 1.89000000e-06  1.80000000e+00  1.03566320e+00  6.32652975e-01  6.82279748e-01  4.25255319e-03 -1.89794824e-04 
 1.91000000e-06  1.80000000e+00  1.00516679e+00  6.32775576e-01  6.82065074e-01  4.24584463e-03 -1.90490725e-04 
 1.93000000e-06  1.80000000e+00  9.62378673e-01  6.32904181e-01  6.81851853e-01  4.23813970e-03 -1.90471898e-04 
 1.95000000e-06  1.80000000e+00  9.11829895e-01  6.33012739e-01  6.81680973e-01  4.23155640e-03 -1.89171329e-04 
 1.97000000e-06  1.80000000e+00  8.59520933e-01  6.33081478e-01  6.81584723e-01  4.22682882e-03 -1.85586959e-04 
 1.99000000e-06  1.80000000e+00  8.12697970e-01  6.33098282e-01  6.81587841e-01  4.22521666e-03 -1.78623092e-04 
 2.01000000e-06  1.80000000e+00  7.78332865e-01  6.33056486e-01  6.81697512e-01  4.22671076e-03 -1.68515673e-04 
 2.03000000e-06  1.80000000e+00  7.59542933e-01  6.32965383e-01  6.81882916e-01  4.23155591e-03 -1.57722291e-04 
 2.05000000e-06  1.80000000e+00  7.54401829e-01  6.32846165e-01  6.82088896e-01  4.23812394e-03 -1.48856216e-04 
 2.07000000e-06  1.80000000e+00  7.58299117e-01  6.32727887e-01  6.82269280e-01  4.24532994e-03 -1.42710041e-04 
 2.09000000e-06  1.80000000e+00  7.67092194e-01  6.32630141e-01  6.82405246e-01  4.25123613e-03 -1.38725405e-04 
 2.11000000e-06  1.80000000e+00  7.78024806e-01  6.32560331e-01  6.82496662e-01  4.25582994e-03 -1.36183191e-04 
