 frequency              gain                  
 1.883649089489827e+03  1.595630504673573e+01 
 1.920141938638829e+03  1.595630319361329e+01 
 1.957341781487688e+03  1.595630126799232e+01 
 1.995262314968908e+03  1.595629926703615e+01 
 2.033917501372321e+03  1.595629718779762e+01 
 2.073321573485985e+03  1.595629502721519e+01 
 2.113489039836677e+03  1.595629278210611e+01 
 2.154434690031915e+03  1.595629044916180e+01 
 2.196173600205468e+03  1.595628802494783e+01 
 2.238721138568372e+03  1.595628550589340e+01 
 2.282092971067484e+03  1.595628288828735e+01 
 2.326305067153660e+03  1.595628016827459e+01 
 2.371373705661690e+03  1.595627734184747e+01 
 2.417315480804139e+03  1.595627440484508e+01 
 2.464147308281318e+03  1.595627135294015e+01 
 2.511886431509617e+03  1.595626818163733e+01 
 2.560550427970514e+03  1.595626488626466e+01 
 2.610157215682575e+03  1.595626146197041e+01 
 2.660725059798849e+03  1.595625790370851e+01 
 2.712272579332068e+03  1.595625420623935e+01 
 2.764818754010148e+03  1.595625036411561e+01 
 2.818382931264496e+03  1.595624637167961e+01 
 2.872984833353707e+03  1.595624222305198e+01 
 2.928644564625281e+03  1.595623791211765e+01 
 2.985382618918004e+03  1.595623343253058e+01 
 3.043219887107768e+03  1.595622877769197e+01 
 3.102177664799548e+03  1.595622394074347e+01 
 3.162277660168427e+03  1.595621891456297e+01 
 3.223542001952512e+03  1.595621369174533e+01 
 3.285993247600705e+03  1.595620826459832e+01 
 3.349654391578328e+03  1.595620262512985e+01 
 3.414548873833654e+03  1.595619676502921e+01 
 3.480700588428464e+03  1.595619067567035e+01 
 3.548133892335809e+03  1.595618434807818e+01 
 3.616873614408215e+03  1.595617777293687e+01 
 3.686945064519632e+03  1.595617094056005e+01 
 3.758374042884499e+03  1.595616384088361e+01 
 3.831186849557347e+03  1.595615646345127e+01 
 3.905410294116440e+03  1.595614879739535e+01 
 3.981071705535034e+03  1.595614083142342e+01 
 4.058198942243861e+03  1.595613255380366e+01 
 4.136820402388571e+03  1.595612395234433e+01 
 4.216965034285888e+03  1.595611501437298e+01 
 4.298662347082343e+03  1.595610572672691e+01 
 4.381942421619505e+03  1.595609607572539e+01 
 4.466835921509701e+03  1.595608604715224e+01 
 4.553374104426321e+03  1.595607562623500e+01 
 4.641588833612851e+03  1.595606479762717e+01 
 4.731512589614878e+03  1.595605354537593e+01 
 4.823178482239382e+03  1.595604185291028e+01 
 4.916620262745721e+03  1.595602970300387e+01 
 5.011872336272801e+03  1.595601707776201e+01 
 5.108969774507008e+03  1.595600395859049e+01 
 5.207948328595546e+03  1.595599032616233e+01 
 5.308844442309967e+03  1.595597616039959e+01 
 5.411695265464722e+03  1.595596144043409e+01 
 5.516538667595667e+03  1.595594614458681e+01 
 5.623413251903579e+03  1.595593025032553e+01 
 5.732358369467805e+03  1.595591373424083e+01 
 5.843414133735268e+03  1.595589657200227e+01 
 5.956621435290199e+03  1.595587873833052e+01 
 6.072021956909982e+03  1.595586020696063e+01 
 6.189658188912704e+03  1.595584095059403e+01 
 6.309573444802033e+03  1.595582094086611e+01 
 6.431811877215190e+03  1.595580014830343e+01 
 6.556418494179894e+03  1.595577854228138e+01 
 6.683439175686253e+03  1.595575609097156e+01 
 6.812920690579723e+03  1.595573276130614e+01 
 6.944910713781324e+03  1.595570851891928e+01 
 7.079457843841494e+03  1.595568332810356e+01 
 7.216611620834000e+03  1.595565715175250e+01 
 7.356422544596533e+03  1.595562995131005e+01 
 7.498942093324681e+03  1.595560168671010e+01 
 7.644222742526128e+03  1.595557231631767e+01 
 7.792317984342069e+03  1.595554179687239e+01 
 7.943282347242946e+03  1.595551008341645e+01 
