 frequency       onoise_spectrum inoise_spectrum
 1.51356125e+02  1.09955225e-06  3.46779623e-08 
 1.54881662e+02  1.08882864e-06  3.43397583e-08 
 1.58489319e+02  1.07821509e-06  3.40050257e-08 
 1.62181010e+02  1.06771052e-06  3.36737298e-08 
 1.65958691e+02  1.05731382e-06  3.33458362e-08 
 1.69824365e+02  1.04702393e-06  3.30213111e-08 
 1.73780083e+02  1.03683978e-06  3.27001209e-08 
 1.77827941e+02  1.02676032e-06  3.23822322e-08 
 1.81970086e+02  1.01678450e-06  3.20676123e-08 
 1.86208714e+02  1.00691129e-06  3.17562284e-08 
 1.90546072e+02  9.97139661e-07  3.14480485e-08 
 1.94984460e+02  9.87468614e-07  3.11430406e-08 
 1.99526231e+02  9.77897145e-07  3.08411732e-08 
 2.04173794e+02  9.68424262e-07  3.05424151e-08 
 2.08929613e+02  9.59048988e-07  3.02467354e-08 
 2.13796209e+02  9.49770353e-07  2.99541035e-08 
 2.18776162e+02  9.40587398e-07  2.96644892e-08 
 2.23872114e+02  9.31499174e-07  2.93778626e-08 
 2.29086765e+02  9.22504742e-07  2.90941940e-08 
 2.34422882e+02  9.13603174e-07  2.88134542e-08 
 2.39883292e+02  9.04793549e-07  2.85356140e-08 
 2.45470892e+02  8.96074957e-07  2.82606450e-08 
 2.51188643e+02  8.87446499e-07  2.79885186e-08 
 2.57039578e+02  8.78907284e-07  2.77192068e-08 
 2.63026799e+02  8.70456430e-07  2.74526817e-08 
 2.69153480e+02  8.62093065e-07  2.71889159e-08 
 2.75422870e+02  8.53816326e-07  2.69278821e-08 
 2.81838293e+02  8.45625358e-07  2.66695534e-08 
 2.88403150e+02  8.37519317e-07  2.64139031e-08 
 2.95120923e+02  8.29497366e-07  2.61609049e-08 
 3.01995172e+02  8.21558678e-07  2.59105327e-08 
 3.09029543e+02  8.13702434e-07  2.56627606e-08 
 3.16227766e+02  8.05927823e-07  2.54175631e-08 
 3.23593657e+02  7.98234043e-07  2.51749149e-08 
 3.31131121e+02  7.90620302e-07  2.49347909e-08 
 3.38844156e+02  7.83085813e-07  2.46971665e-08 
 3.46736850e+02  7.75629801e-07  2.44620171e-08 
 3.54813389e+02  7.68251496e-07  2.42293184e-08 
 3.63078055e+02  7.60950138e-07  2.39990465e-08 
 3.71535229e+02  7.53724974e-07  2.37711776e-08 
 3.80189396e+02  7.46575258e-07  2.35456883e-08 
 3.89045145e+02  7.39500254e-07  2.33225552e-08 
 3.98107171e+02  7.32499233e-07  2.31017555e-08 
 4.07380278e+02  7.25571472e-07  2.28832662e-08 
 4.16869383e+02  7.18716258e-07  2.26670650e-08 
 4.26579519e+02  7.11932883e-07  2.24531295e-08 
 4.36515832e+02  7.05220649e-07  2.22414376e-08 
 4.46683592e+02  6.98578863e-07  2.20319675e-08 
 4.57088190e+02  6.92006840e-07  2.18246977e-08 
 4.67735141e+02  6.85503903e-07  2.16196067e-08 
 4.78630092e+02  6.79069381e-07  2.14166734e-08 
