 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 7.07945784e+00  2.41957110e+03 -2.16011965e+00  1.00000000e+00 -1.09174810e-21 -2.41957110e+03  2.16011965e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.21661162e+00  2.41957103e+03 -2.20206156e+00  1.00000000e+00 -1.07104470e-21 -2.41957103e+03  2.20206156e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.35642254e+00  2.41957095e+03 -2.24481426e+00  1.00000000e+00 -1.05073225e-21 -2.41957095e+03  2.24481426e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.49894209e+00  2.41957087e+03 -2.28839349e+00  1.00000000e+00 -1.03080347e-21 -2.41957087e+03  2.28839349e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.64422274e+00  2.41957078e+03 -2.33281530e+00  1.00000000e+00 -1.01125120e-21 -2.41957078e+03  2.33281530e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.79231798e+00  2.41957069e+03 -2.37809604e+00  1.00000000e+00 -9.92068401e-22 -2.41957069e+03  2.37809604e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.41957060e+03 -2.42425239e+00  1.00000000e+00 -9.73248179e-22 -2.41957060e+03  2.42425239e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.09717142e+00  2.41957051e+03 -2.47130133e+00  1.00000000e+00 -9.54783752e-22 -2.41957051e+03  2.47130133e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.25404185e+00  2.41957041e+03 -2.51926020e+00  1.00000000e+00 -9.36668465e-22 -2.41957041e+03  2.51926020e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.41395142e+00  2.41957031e+03 -2.56814665e+00  1.00000000e+00 -9.18895784e-22 -2.41957031e+03  2.56814665e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.57695899e+00  2.41957020e+03 -2.61797868e+00  1.00000000e+00 -9.01459290e-22 -2.41957020e+03  2.61797868e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.74312458e+00  2.41957009e+03 -2.66877464e+00  1.00000000e+00 -8.84352686e-22 -2.41957009e+03  2.66877464e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.91250938e+00  2.41956997e+03 -2.72055322e+00  1.00000000e+00 -8.67569784e-22 -2.41956997e+03  2.72055322e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.08517576e+00  2.41956985e+03 -2.77333350e+00  1.00000000e+00 -8.51104513e-22 -2.41956985e+03  2.77333350e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.26118728e+00  2.41956973e+03 -2.82713491e+00  1.00000000e+00 -8.34950912e-22 -2.41956973e+03  2.82713491e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.44060876e+00  2.41956960e+03 -2.88197725e+00  1.00000000e+00 -8.19103128e-22 -2.41956960e+03  2.88197725e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.62350626e+00  2.41956946e+03 -2.93788072e+00  1.00000000e+00 -8.03555416e-22 -2.41956946e+03  2.93788072e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.80994713e+00  2.41956932e+03 -2.99486590e+00  1.00000000e+00 -7.88302137e-22 -2.41956932e+03  2.99486590e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.41956918e+03 -3.05295378e+00  1.00000000e+00 -7.73337754e-22 -2.41956918e+03  3.05295378e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+01  2.41956903e+03 -3.11216573e+00  1.00000000e+00 -7.58656834e-22 -2.41956903e+03  3.11216573e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+01  2.41956887e+03 -3.17252356e+00  1.00000000e+00 -7.44254042e-22 -2.41956887e+03  3.17252356e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
