 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 2.15443469e+00  2.60566880e+03 -6.93680394e-01  1.00000000e+00 -3.78558836e-21  2.60566880e+03 -6.93680394e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.19617360e+00  2.60566880e+03 -7.07433959e-01  1.00000000e+00 -3.71529429e-21  2.60566880e+03 -7.07433959e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.23872114e+00  2.60566879e+03 -7.21448001e-01  1.00000000e+00 -3.64624376e-21  2.60566879e+03 -7.21448001e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.28209297e+00  2.60566878e+03 -7.35727679e-01  1.00000000e+00 -3.57841832e-21  2.60566878e+03 -7.35727679e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.32630507e+00  2.60566877e+03 -7.50278251e-01  1.00000000e+00 -3.51179956e-21  2.60566877e+03 -7.50278251e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.37137371e+00  2.60566876e+03 -7.65105073e-01  1.00000000e+00 -3.44636915e-21  2.60566876e+03 -7.65105073e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.41731548e+00  2.60566876e+03 -7.80213607e-01  1.00000000e+00 -3.38210887e-21  2.60566876e+03 -7.80213607e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.46414731e+00  2.60566875e+03 -7.95609414e-01  1.00000000e+00 -3.31900058e-21  2.60566875e+03 -7.95609414e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.60566874e+03 -8.11298162e-01  1.00000000e+00 -3.25702625e-21  2.60566874e+03 -8.11298162e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.56055043e+00  2.60566873e+03 -8.27285630e-01  1.00000000e+00 -3.19616801e-21  2.60566873e+03 -8.27285630e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.61015722e+00  2.60566872e+03 -8.43577703e-01  1.00000000e+00 -3.13640809e-21  2.60566872e+03 -8.43577703e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.66072506e+00  2.60566870e+03 -8.60180379e-01  1.00000000e+00 -3.07772888e-21  2.60566870e+03 -8.60180379e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.71227258e+00  2.60566869e+03 -8.77099773e-01  1.00000000e+00 -3.02011292e-21  2.60566869e+03 -8.77099773e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.76481875e+00  2.60566868e+03 -8.94342113e-01  1.00000000e+00 -2.96354292e-21  2.60566868e+03 -8.94342113e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
