 frequency       av              ph             
 9.17275935e+01 -8.45988634e-03 -7.74230592e-04 
 9.44060876e+01 -8.45988639e-03 -7.96838534e-04 
 9.71627952e+01 -8.45988644e-03 -8.20106639e-04 
 1.00000000e+02 -8.45988649e-03 -8.44054185e-04 
 1.02920053e+02 -8.45988654e-03 -8.68701012e-04 
 1.05925373e+02 -8.45988660e-03 -8.94067540e-04 
 1.09018449e+02 -8.45988666e-03 -9.20174784e-04 
 1.12201845e+02 -8.45988673e-03 -9.47044372e-04 
 1.15478198e+02 -8.45988680e-03 -9.74698567e-04 
 1.18850223e+02 -8.45988687e-03 -1.00316028e-03 
 1.22320712e+02 -8.45988695e-03 -1.03245309e-03 
 1.25892541e+02 -8.45988704e-03 -1.06260126e-03 
 1.29568670e+02 -8.45988712e-03 -1.09362978e-03 
 1.33352143e+02 -8.45988722e-03 -1.12556435e-03 
 1.37246096e+02 -8.45988731e-03 -1.15843142e-03 
 1.41253754e+02 -8.45988742e-03 -1.19225823e-03 
 1.45378439e+02 -8.45988753e-03 -1.22707279e-03 
 1.49623566e+02 -8.45988765e-03 -1.26290397e-03 
 1.53992653e+02 -8.45988777e-03 -1.29978143e-03 
 1.58489319e+02 -8.45988790e-03 -1.33773573e-03 
 1.63117291e+02 -8.45988804e-03 -1.37679832e-03 
 1.67880402e+02 -8.45988819e-03 -1.41700156e-03 
 1.72782598e+02 -8.45988835e-03 -1.45837875e-03 
 1.77827941e+02 -8.45988851e-03 -1.50096418e-03 
 1.83020611e+02 -8.45988869e-03 -1.54479312e-03 
 1.88364909e+02 -8.45988887e-03 -1.58990190e-03 
 1.93865264e+02 -8.45988907e-03 -1.63632787e-03 
 1.99526231e+02 -8.45988928e-03 -1.68410951e-03 
 2.05352503e+02 -8.45988950e-03 -1.73328639e-03 
 2.11348904e+02 -8.45988973e-03 -1.78389927e-03 
 2.17520403e+02 -8.45988998e-03 -1.83599007e-03 
 2.23872114e+02 -8.45989024e-03 -1.88960195e-03 
 2.30409298e+02 -8.45989052e-03 -1.94477932e-03 
 2.37137371e+02 -8.45989081e-03 -2.00156790e-03 
 2.44061907e+02 -8.45989113e-03 -2.06001474e-03 
 2.51188643e+02 -8.45989146e-03 -2.12016825e-03 
 2.58523484e+02 -8.45989181e-03 -2.18207828e-03 
 2.66072506e+02 -8.45989218e-03 -2.24579612e-03 
 2.73841963e+02 -8.45989257e-03 -2.31137455e-03 
 2.81838293e+02 -8.45989299e-03 -2.37886791e-03 
 2.90068120e+02 -8.45989343e-03 -2.44833210e-03 
 2.98538262e+02 -8.45989389e-03 -2.51982469e-03 
 3.07255737e+02 -8.45989439e-03 -2.59340490e-03 
 3.16227766e+02 -8.45989491e-03 -2.66913369e-03 
 3.25461783e+02 -8.45989547e-03 -2.74707380e-03 
 3.34965439e+02 -8.45989605e-03 -2.82728980e-03 
 3.44746607e+02 -8.45989667e-03 -2.90984816e-03 
 3.54813389e+02 -8.45989733e-03 -2.99481726e-03 
 3.65174127e+02 -8.45989803e-03 -3.08226750e-03 
 3.75837404e+02 -8.45989877e-03 -3.17227133e-03 
 3.86812055e+02 -8.45989955e-03 -3.26490333e-03 
 3.98107171e+02 -8.45990038e-03 -3.36024023e-03 
 4.09732110e+02 -8.45990126e-03 -3.45836101e-03 
 4.21696503e+02 -8.45990219e-03 -3.55934698e-03 
 4.34010264e+02 -8.45990318e-03 -3.66328178e-03 
 4.46683592e+02 -8.45990422e-03 -3.77025154e-03 
 4.59726989e+02 -8.45990533e-03 -3.88034487e-03 
 4.73151259e+02 -8.45990650e-03 -3.99365299e-03 
 4.86967525e+02 -8.45990774e-03 -4.11026976e-03 
 5.01187234e+02 -8.45990906e-03 -4.23029180e-03 
 5.15822165e+02 -8.45991045e-03 -4.35381855e-03 
 5.30884444e+02 -8.45991193e-03 -4.48095235e-03 
 5.46386550e+02 -8.45991349e-03 -4.61179852e-03 
 5.62341325e+02 -8.45991514e-03 -4.74646546e-03 
 5.78761988e+02 -8.45991690e-03 -4.88506476e-03 
 5.95662144e+02 -8.45991876e-03 -5.02771122e-03 
 6.13055792e+02 -8.45992072e-03 -5.17452304e-03 
 6.30957344e+02 -8.45992281e-03 -5.32562184e-03 
 6.49381632e+02 -8.45992501e-03 -5.48113280e-03 
 6.68343918e+02 -8.45992735e-03 -5.64118476e-03 
 6.87859912e+02 -8.45992983e-03 -5.80591033e-03 
 7.07945784e+02 -8.45993245e-03 -5.97544597e-03 
 7.28618175e+02 -8.45993523e-03 -6.14993214e-03 
 7.49894209e+02 -8.45993818e-03 -6.32951340e-03 
 7.71791516e+02 -8.45994130e-03 -6.51433852e-03 
 7.94328235e+02 -8.45994460e-03 -6.70456063e-03 
 8.17523038e+02 -8.45994810e-03 -6.90033733e-03 
 8.41395142e+02 -8.45995180e-03 -7.10183082e-03 
 8.65964323e+02 -8.45995573e-03 -7.30920802e-03 
 8.91250938e+02 -8.45995989e-03 -7.52264074e-03 
 9.17275935e+02 -8.45996429e-03 -7.74230581e-03 
 9.44060876e+02 -8.45996896e-03 -7.96838521e-03 
 9.71627952e+02 -8.45997390e-03 -8.20106625e-03 
 1.00000000e+03 -8.45997913e-03 -8.44054170e-03 
 1.02920053e+03 -8.45998468e-03 -8.68700996e-03 
 1.05925373e+03 -8.45999055e-03 -8.94067522e-03 
 1.09018449e+03 -8.45999677e-03 -9.20174764e-03 
 1.12201845e+03 -8.46000336e-03 -9.47044351e-03 
 1.15478198e+03 -8.46001034e-03 -9.74698544e-03 
 1.18850223e+03 -8.46001774e-03 -1.00316025e-02 
 1.22320712e+03 -8.46002557e-03 -1.03245306e-02 
 1.25892541e+03 -8.46003387e-03 -1.06260123e-02 
 1.29568670e+03 -8.46004266e-03 -1.09362975e-02 
 1.33352143e+03 -8.46005197e-03 -1.12556431e-02 
 1.37246096e+03 -8.46006183e-03 -1.15843138e-02 
 1.41253754e+03 -8.46007227e-03 -1.19225818e-02 
 1.45378439e+03 -8.46008333e-03 -1.22707275e-02 
 1.49623566e+03 -8.46009505e-03 -1.26290392e-02 
 1.53992653e+03 -8.46010747e-03 -1.29978137e-02 
 1.58489319e+03 -8.46012062e-03 -1.33773567e-02 
 1.63117291e+03 -8.46013454e-03 -1.37679825e-02 
 1.67880402e+03 -8.46014930e-03 -1.41700148e-02 
 1.72782598e+03 -8.46016493e-03 -1.45837867e-02 
 1.77827941e+03 -8.46018148e-03 -1.50096409e-02 
 1.83020611e+03 -8.46019902e-03 -1.54479303e-02 
 1.88364909e+03 -8.46021759e-03 -1.58990179e-02 
 1.93865264e+03 -8.46023726e-03 -1.63632776e-02 
 1.99526231e+03 -8.46025810e-03 -1.68410939e-02 
 2.05352503e+03 -8.46028018e-03 -1.73328626e-02 
 2.11348904e+03 -8.46030356e-03 -1.78389912e-02 
 2.17520403e+03 -8.46032833e-03 -1.83598991e-02 
 2.23872114e+03 -8.46035457e-03 -1.88960177e-02 
 2.30409298e+03 -8.46038236e-03 -1.94477913e-02 
 2.37137371e+03 -8.46041180e-03 -2.00156770e-02 
 2.44061907e+03 -8.46044298e-03 -2.06001451e-02 
 2.51188643e+03 -8.46047601e-03 -2.12016801e-02 
 2.58523484e+03 -8.46051099e-03 -2.18207802e-02 
 2.66072506e+03 -8.46054805e-03 -2.24579583e-02 
 2.73841963e+03 -8.46058731e-03 -2.31137424e-02 
 2.81838293e+03 -8.46062889e-03 -2.37886756e-02 
 2.90068120e+03 -8.46067294e-03 -2.44833173e-02 
 2.98538262e+03 -8.46071959e-03 -2.51982428e-02 
 3.07255737e+03 -8.46076901e-03 -2.59340446e-02 
 3.16227766e+03 -8.46082136e-03 -2.66913321e-02 
 3.25461783e+03 -8.46087681e-03 -2.74707327e-02 
 3.34965439e+03 -8.46093555e-03 -2.82728923e-02 
 3.44746607e+03 -8.46099776e-03 -2.90984753e-02 
 3.54813389e+03 -8.46106366e-03 -2.99481657e-02 
 3.65174127e+03 -8.46113347e-03 -3.08226675e-02 
 3.75837404e+03 -8.46120742e-03 -3.17227052e-02 
 3.86812055e+03 -8.46128574e-03 -3.26490244e-02 
 3.98107171e+03 -8.46136871e-03 -3.36023926e-02 
 4.09732110e+03 -8.46145659e-03 -3.45835996e-02 
 4.21696503e+03 -8.46154968e-03 -3.55934583e-02 
 4.34010264e+03 -8.46164828e-03 -3.66328053e-02 
 4.46683592e+03 -8.46175273e-03 -3.77025018e-02 
 4.59726989e+03 -8.46186337e-03 -3.88034339e-02 
 4.73151259e+03 -8.46198056e-03 -3.99365137e-02 
 4.86967525e+03 -8.46210470e-03 -4.11026799e-02 
 5.01187234e+03 -8.46223619e-03 -4.23028988e-02 
 5.15822165e+03 -8.46237548e-03 -4.35381645e-02 
 5.30884444e+03 -8.46252301e-03 -4.48095006e-02 
 5.46386550e+03 -8.46267929e-03 -4.61179602e-02 
 5.62341325e+03 -8.46284483e-03 -4.74646274e-02 
 5.78761988e+03 -8.46302018e-03 -4.88506179e-02 
 5.95662144e+03 -8.46320592e-03 -5.02770799e-02 
 6.13055792e+03 -8.46340266e-03 -5.17451951e-02 
 6.30957344e+03 -8.46361106e-03 -5.32561799e-02 
 6.49381632e+03 -8.46383181e-03 -5.48112861e-02 
 6.68343918e+03 -8.46406564e-03 -5.64118020e-02 
 6.87859912e+03 -8.46431333e-03 -5.80590535e-02 
 7.07945784e+03 -8.46457569e-03 -5.97544054e-02 
 7.28618175e+03 -8.46485359e-03 -6.14992622e-02 
 7.49894209e+03 -8.46514797e-03 -6.32950694e-02 
 7.71791516e+03 -8.46545978e-03 -6.51433149e-02 
 7.94328235e+03 -8.46579008e-03 -6.70455297e-02 
 8.17523038e+03 -8.46613994e-03 -6.90032897e-02 
 8.41395142e+03 -8.46651053e-03 -7.10182170e-02 
 8.65964323e+03 -8.46690309e-03 -7.30919808e-02 
 8.91250938e+03 -8.46731890e-03 -7.52262991e-02 
 9.17275935e+03 -8.46775935e-03 -7.74229400e-02 
 9.44060876e+03 -8.46822590e-03 -7.96837234e-02 
 9.71627952e+03 -8.46872009e-03 -8.20105222e-02 
