voltage_V,current_A,reference_current_A,resistance_ohm,reference_resistance_ohm,absolute_current_error_A,relative_current_error
0.07500000000000005,6.107898842093947e-05,6.107898842093948e-05,1227.9181751197455,1227.9181751197452,1.3552527156068805e-20,2.220446049250313e-16
0.07600000000000005,6.190168978880985e-05,6.190168978880984e-05,1227.7532367741403,1227.7532367741405,1.3552527156068805e-20,2.220446049250313e-16
0.07700000000000005,6.272461939783464e-05,6.272461939783462e-05,1227.5881581938818,1227.588158193882,1.3552527156068805e-20,2.220446049250313e-16
0.07800000000000006,6.354777760757644e-05,6.354777760757644e-05,1227.4229396607657,1227.4229396607657,0.0,0.0
0.07900000000000006,6.437116477719192e-05,6.437116477719192e-05,1227.257581456588,1227.257581456588,0.0,0.0
0.08000000000000006,6.519478126543134e-05,6.519478126543132e-05,1227.0920838631448,1227.092083863145,1.3552527156068805e-20,2.220446049250313e-16
0.08100000000000006,6.601862743063822e-05,6.601862743063822e-05,1226.9264471622325,1226.9264471622325,0.0,0.0
0.08200000000000006,6.684270363074896e-05,6.684270363074896e-05,1226.7606716356465,1226.7606716356465,0.0,0.0
0.08300000000000006,6.766701022329233e-05,6.766701022329232e-05,1226.5947575651835,1226.594757565184,1.3552527156068805e-20,2.220446049250313e-16
0.08400000000000006,6.849154756538922e-05,6.849154756538921e-05,1226.4287052326397,1226.42870523264,1.3552527156068805e-20,2.220446049250313e-16
0.08500000000000006,6.931631601375214e-05,6.931631601375212e-05,1226.2625149198109,1226.262514919811,1.3552527156068805e-20,2.220446049250313e-16
0.08600000000000006,7.014131592468486e-05,7.014131592468486e-05,1226.096186908493,1226.096186908493,0.0,0.0
0.08700000000000006,7.096654765408194e-05,7.096654765408194e-05,1225.9297214804826,1225.9297214804826,0.0,0.0
0.08800000000000006,7.179201155742843e-05,7.179201155742841e-05,1225.763118917575,1225.7631189175752,1.3552527156068805e-20,2.220446049250313e-16
0.08900000000000007,7.261770798979931e-05,7.261770798979931e-05,1225.596379501567,1225.596379501567,0.0,0.0
0.09000000000000007,7.344363730585923e-05,7.344363730585923e-05,1225.4295035142545,1225.4295035142545,0.0,0.0
0.09100000000000007,7.426979985986195e-05,7.426979985986197e-05,1225.2624912374338,1225.2624912374336,1.3552527156068805e-20,2.220446049250313e-16
0.09200000000000007,7.509619600565007e-05,7.509619600565005e-05,1225.0953429529,1225.0953429529002,1.3552527156068805e-20,2.220446049250313e-16
0.09300000000000007,7.592282609665436e-05,7.592282609665436e-05,1224.9280589424507,1224.9280589424507,0.0,0.0
0.09400000000000007,7.674969048589369e-05,7.674969048589369e-05,1224.7606394878808,1224.7606394878808,0.0,0.0
0.09500000000000007,7.757678952597427e-05,7.757678952597425e-05,1224.5930848709866,1224.5930848709868,1.3552527156068805e-20,2.220446049250313e-16
0.09600000000000007,7.840412356908936e-05,7.840412356908936e-05,1224.425395373565,1224.425395373565,0.0,0.0
0.09700000000000007,7.92316929670189e-05,7.923169296701889e-05,1224.2575712774108,1224.257571277411,1.3552527156068805e-20,2.220446049250313e-16
0.09800000000000007,8.005949807112891e-05,8.005949807112891e-05,1224.0896128643215,1224.0896128643215,0.0,0.0
0.09900000000000007,8.088753923237123e-05,8.088753923237123e-05,1223.9215204160919,1223.9215204160919,0.0,0.0
0.1,8.171581680128285e-05,8.171581680128285e-05,1223.7532942145187,1223.7532942145187,0.0,0.0
