 frequency       onoise_spectrum inoise_spectrum
 9.33254301e+01  9.77178516e-07  3.05962574e-08 
 9.54992586e+01  9.67513934e-07  3.02936514e-08 
 9.77237221e+01  9.57948749e-07  2.99941577e-08 
 1.00000000e+02  9.48481951e-07  2.96977445e-08 
 1.02329299e+02  9.39112543e-07  2.94043807e-08 
 1.04712855e+02  9.29839537e-07  2.91140354e-08 
 1.07151931e+02  9.20661956e-07  2.88266778e-08 
 1.09647820e+02  9.11578834e-07  2.85422778e-08 
 1.12201845e+02  9.02589213e-07  2.82608055e-08 
 1.14815362e+02  8.93692148e-07  2.79822311e-08 
 1.17489755e+02  8.84886701e-07  2.77065254e-08 
 1.20226443e+02  8.76171947e-07  2.74336593e-08 
 1.23026877e+02  8.67546968e-07  2.71636042e-08 
 1.25892541e+02  8.59010856e-07  2.68963316e-08 
 1.28824955e+02  8.50562715e-07  2.66318134e-08 
 1.31825674e+02  8.42201657e-07  2.63700219e-08 
 1.34896288e+02  8.33926802e-07  2.61109294e-08 
 1.38038426e+02  8.25737280e-07  2.58545088e-08 
 1.41253754e+02  8.17632233e-07  2.56007332e-08 
 1.44543977e+02  8.09610807e-07  2.53495758e-08 
 1.47910839e+02  8.01672161e-07  2.51010103e-08 
 1.51356125e+02  7.93815462e-07  2.48550107e-08 
 1.54881662e+02  7.86039885e-07  2.46115510e-08 
 1.58489319e+02  7.78344613e-07  2.43706058e-08 
 1.62181010e+02  7.70728840e-07  2.41321498e-08 
 1.65958691e+02  7.63191767e-07  2.38961578e-08 
 1.69824365e+02  7.55732602e-07  2.36626053e-08 
 1.73780083e+02  7.48350565e-07  2.34314678e-08 
 1.77827941e+02  7.41044881e-07  2.32027208e-08 
 1.81970086e+02  7.33814785e-07  2.29763407e-08 
 1.86208714e+02  7.26659519e-07  2.27523035e-08 
 1.90546072e+02  7.19578334e-07  2.25305858e-08 
 1.94984460e+02  7.12570487e-07  2.23111644e-08 
 1.99526231e+02  7.05635245e-07  2.20940163e-08 
 2.04173794e+02  6.98771882e-07  2.18791188e-08 
 2.08929613e+02  6.91979679e-07  2.16664495e-08 
 2.13796209e+02  6.85257925e-07  2.14559859e-08 
 2.18776162e+02  6.78605918e-07  2.12477061e-08 
 2.23872114e+02  6.72022960e-07  2.10415884e-08 
 2.29086765e+02  6.65508364e-07  2.08376111e-08 
 2.34422882e+02  6.59061448e-07  2.06357529e-08 
 2.39883292e+02  6.52681538e-07  2.04359927e-08 
 2.45470892e+02  6.46367966e-07  2.02383097e-08 
 2.51188643e+02  6.40120073e-07  2.00426831e-08 
 2.57039578e+02  6.33937206e-07  1.98490925e-08 
 2.63026799e+02  6.27818719e-07  1.96575177e-08 
 2.69153480e+02  6.21763971e-07  1.94679387e-08 
 2.75422870e+02  6.15772331e-07  1.92803356e-08 
 2.81838293e+02  6.09843173e-07  1.90946888e-08 
 2.88403150e+02  6.03975876e-07  1.89109790e-08 
 2.95120923e+02  5.98169829e-07  1.87291870e-08 
 3.01995172e+02  5.92424425e-07  1.85492937e-08 
 3.09029543e+02  5.86739065e-07  1.83712805e-08 
 3.16227766e+02  5.81113153e-07  1.81951287e-08 
 3.23593657e+02  5.75546104e-07  1.80208199e-08 
 3.31131121e+02  5.70037335e-07  1.78483359e-08 
 3.38844156e+02  5.64586272e-07  1.76776587e-08 
 3.46736850e+02  5.59192347e-07  1.75087705e-08 
 3.54813389e+02  5.53854994e-07  1.73416537e-08 
 3.63078055e+02  5.48573659e-07  1.71762909e-08 
 3.71535229e+02  5.43347789e-07  1.70126647e-08 
 3.80189396e+02  5.38176840e-07  1.68507581e-08 
 3.89045145e+02  5.33060271e-07  1.66905542e-08 
 3.98107171e+02  5.27997548e-07  1.65320363e-08 
 4.07380278e+02  5.22988144e-07  1.63751879e-08 
 4.16869383e+02  5.18031536e-07  1.62199925e-08 
 4.26579519e+02  5.13127205e-07  1.60664340e-08 
 4.36515832e+02  5.08274641e-07  1.59144963e-08 
 4.46683592e+02  5.03473337e-07  1.57641637e-08 
 4.57088190e+02  4.98722792e-07  1.56154203e-08 
 4.67735141e+02  4.94022510e-07  1.54682507e-08 
 4.78630092e+02  4.89372000e-07  1.53226396e-08 
 4.89778819e+02  4.84770778e-07  1.51785716e-08 
 5.01187234e+02  4.80218361e-07  1.50360318e-08 
 5.12861384e+02  4.75714276e-07  1.48950054e-08 
 5.24807460e+02  4.71258052e-07  1.47554775e-08 
 5.37031796e+02  4.66849224e-07  1.46174336e-08 
 5.49540874e+02  4.62487330e-07  1.44808592e-08 
 5.62341325e+02  4.58171915e-07  1.43457402e-08 
 5.75439937e+02  4.53902529e-07  1.42120624e-08 
 5.88843655e+02  4.49678726e-07  1.40798117e-08 
 6.02559586e+02  4.45500063e-07  1.39489745e-08 
 6.16595002e+02  4.41366103e-07  1.38195370e-08 
 6.30957344e+02  4.37276415e-07  1.36914857e-08 
 6.45654229e+02  4.33230571e-07  1.35648072e-08 
 6.60693448e+02  4.29228147e-07  1.34394882e-08 
 6.76082975e+02  4.25268724e-07  1.33155156e-08 
 6.91830971e+02  4.21351888e-07  1.31928764e-08 
 7.07945784e+02  4.17477228e-07  1.30715578e-08 
 7.24435960e+02  4.13644339e-07  1.29515471e-08 
 7.41310241e+02  4.09852819e-07  1.28328317e-08 
 7.58577575e+02  4.06102270e-07  1.27153992e-08 
 7.76247117e+02  4.02392299e-07  1.25992372e-08 
 7.94328235e+02  3.98722516e-07  1.24843335e-08 
 8.12830516e+02  3.95092537e-07  1.23706761e-08 
 8.31763771e+02  3.91501979e-07  1.22582530e-08 
 8.51138038e+02  3.87950465e-07  1.21470525e-08 
 8.70963590e+02  3.84437622e-07  1.20370627e-08 
 8.91250938e+02  3.80963081e-07  1.19282723e-08 
 9.12010839e+02  3.77526475e-07  1.18206696e-08 
 9.33254301e+02  3.74127442e-07  1.17142434e-08 
 9.54992586e+02  3.70765624e-07  1.16089824e-08 
 9.77237221e+02  3.67440666e-07  1.15048756e-08 
 1.00000000e+03  3.64152217e-07  1.14019119e-08 
 1.02329299e+03  3.60899930e-07  1.13000804e-08 
 1.04712855e+03  3.57683461e-07  1.11993705e-08 
 1.07151931e+03  3.54502469e-07  1.10997714e-08 
 1.09647820e+03  3.51356617e-07  1.10012726e-08 
 1.12201845e+03  3.48245573e-07  1.09038636e-08 
 1.14815362e+03  3.45169005e-07  1.08075341e-08 
 1.17489755e+03  3.42126587e-07  1.07122740e-08 
 1.20226443e+03  3.39117995e-07  1.06180729e-08 
 1.23026877e+03  3.36142910e-07  1.05249210e-08 
 1.25892541e+03  3.33201013e-07  1.04328083e-08 
 1.28824955e+03  3.30291992e-07  1.03417249e-08 
 1.31825674e+03  3.27415535e-07  1.02516612e-08 
 1.34896288e+03  3.24571336e-07  1.01626075e-08 
 1.38038426e+03  3.21759088e-07  1.00745543e-08 
 1.41253754e+03  3.18978491e-07  9.98749207e-09 
 1.44543977e+03  3.16229247e-07  9.90141155e-09 
 1.47910839e+03  3.13511059e-07  9.81630346e-09 
 1.51356125e+03  3.10823635e-07  9.73215864e-09 
 1.54881662e+03  3.08166685e-07  9.64896801e-09 
 1.58489319e+03  3.05539922e-07  9.56672258e-09 
 1.62181010e+03  3.02943061e-07  9.48541346e-09 
 1.65958691e+03  3.00375823e-07  9.40503184e-09 
 1.69824365e+03  2.97837926e-07  9.32556898e-09 
 1.73780083e+03  2.95329097e-07  9.24701626e-09 
 1.77827941e+03  2.92849060e-07  9.16936510e-09 
 1.81970086e+03  2.90397546e-07  9.09260704e-09 
 1.86208714e+03  2.87974287e-07  9.01673367e-09 
 1.90546072e+03  2.85579016e-07  8.94173669e-09 
 1.94984460e+03  2.83211470e-07  8.86760784e-09 
 1.99526231e+03  2.80871389e-07  8.79433898e-09 
 2.04173794e+03  2.78558515e-07  8.72192202e-09 
 2.08929613e+03  2.76272591e-07  8.65034895e-09 
 2.13796209e+03  2.74013365e-07  8.57961183e-09 
