frequency_hz,real,imag,abs,unwrapped_phase_deg,min_singular_value
3.285993247600662137e+00,9.458675380379425362e+06,-6.897106069839649717e+04,9.458926839690100402e+06,-4.177837266459129562e-01,9.425490880722955378e-01
3.349654391578285040e+00,9.458656687135701999e+06,-7.030713891963263450e+04,9.458917983515873551e+06,-4.258774027041314358e-01,9.425490880704190388e-01
3.414548873833609832e+00,9.458637262659121305e+06,-7.166909383330974379e+04,9.458908780909907073e+06,-4.341278666045962353e-01,9.425490880663084381e-01
3.480700588428419007e+00,9.458617078308342025e+06,-7.305742629843056784e+04,9.458899218281352893e+06,-4.425381549911298618e-01,9.425490880640584601e-01
3.548133892335763040e+00,9.458596104391083121e+06,-7.447264685104398814e+04,9.458889281576942652e+06,-4.511113632888876235e-01,9.425490880599860510e-01
3.616873614408167903e+00,9.458574309826035053e+06,-7.591527588546504558e+04,9.458878955965859815e+06,-4.598506468260455948e-01,9.425490880574003416e-01
3.686945064519584037e+00,9.458551662910303101e+06,-7.738584385638532694e+04,9.458868226631166413e+06,-4.687592220293896883e-01,9.425490880526627979e-01
3.758374042884450983e+00,9.458528130113242194e+06,-7.888489145368631580e+04,9.458857077588345855e+06,-4.778403675501819436e-01,9.425490880511322445e-01
3.831186849557297158e+00,9.458503676756439731e+06,-8.041296981029564631e+04,9.458845492391172796e+06,-4.870974255002561426e-01,9.425490880467428667e-01
3.905410294116390180e+00,9.458478266875041649e+06,-8.197064070112338231e+04,9.458833454019816592e+06,-4.965338026734579246e-01,9.425490880434086449e-01
3.981071705534982019e+00,9.458451862991351634e+06,-8.355847674415145593e+04,9.458820944682290778e+06,-5.061529717859512001e-01,9.425490880387575876e-01
4.058198942243808283e+00,9.458424426328359172e+06,-8.517706161288435396e+04,9.458807946056943387e+06,-5.159584727630799339e-01,9.425490880358230461e-01
4.136820402388517337e+00,9.458395916393999010e+06,-8.682699024175392697e+04,9.458794438906742260e+06,-5.259539140175885086e-01,9.425490880301985452e-01
4.216965034285832914e+00,9.458366291120780632e+06,-8.850886904519551899e+04,9.458780403250172734e+06,-5.361429737821973296e-01,9.425490880257624271e-01
4.298662347082287560e+00,9.458335507017532364e+06,-9.022331614132264804e+04,9.458765818545468152e+06,-5.465294014688887314e-01,9.425490880211158107e-01
4.381942421619448247e+00,9.458303518954373896e+06,-9.197096157308845432e+04,9.458750663509286940e+06,-5.571170190339874706e-01,9.425490880172850972e-01
4.466835921509641594e+00,9.458270279648700729e+06,-9.375244752792616782e+04,9.458734915637681261e+06,-5.679097223538459582e-01,9.425490880116770276e-01
4.553374104426261226e+00,9.458235740177584812e+06,-9.556842858046949550e+04,9.458718551754986867e+06,-5.789114826815638937e-01,9.425490880064271160e-01
4.641588833612790843e+00,9.458199850571703166e+06,-9.741957194291274936e+04,9.458701548645677045e+06,-5.901263481418974610e-01,9.425490880008079442e-01
4.731512589614816910e+00,9.458162556271351874e+06,-9.930655763663159451e+04,9.458683879549155012e+06,-6.015584450085682544e-01,9.425490879944883327e-01
4.823178482239319109e+00,9.458123802849996835e+06,-1.012300788323559536e+05,9.458665518924858421e+06,-6.132119794930167567e-01,9.425490879898195118e-01
4.916620262745656333e+00,9.458083534010248259e+06,-1.031908420635683724e+05,9.458646440490391105e+06,-6.250912391758028930e-01,9.425490879834650393e-01
5.011872336272736206e+00,9.458041690024780110e+06,-1.051895674500947207e+05,9.458626615706274286e+06,-6.372005944850327452e-01,9.425490879777732589e-01
5.108969774506941341e+00,9.457998210299883038e+06,-1.072269890111964050e+05,9.458606016385722905e+06,-6.495445004465979499e-01,9.425490879707112413e-01
5.207948328595477960e+00,9.457953029056891799e+06,-1.093038548404452304e+05,9.458584610422926024e+06,-6.621274980596896231e-01,9.425490879639466524e-01
5.308844442309898604e+00,9.457906080310303718e+06,-1.114209274827546906e+05,9.458562366821490228e+06,-6.749542162687753866e-01,9.425490879570409541e-01
5.411695265464651960e+00,9.457857295624256134e+06,-1.135789841632391908e+05,9.458539253501912579e+06,-6.880293735239964015e-01,9.425490879495891372e-01
5.516538667595595413e+00,9.457806602921320125e+06,-1.157788170402866963e+05,9.458515236163515598e+06,-7.013577794291366851e-01,9.425490879434026414e-01
5.623413251903506271e+00,9.457753928340010345e+06,-1.180212335345907777e+05,9.458490280197782442e+06,-7.149443366303754877e-01,9.425490879343761952e-01
5.732358369467729808e+00,9.457699192747987807e+06,-1.203070565367534000e+05,9.458464347258409485e+06,-7.287940423663510359e-01,9.425490879258445753e-01
5.843414133735192806e+00,9.457642316050404683e+06,-1.226371248074856994e+05,9.458437399630466476e+06,-7.429119906043952781e-01,9.425490879173593628e-01
5.956621435290122335e+00,9.457583215261125937e+06,-1.250122932348901377e+05,9.458409398363383487e+06,-7.573033737732419723e-01,9.425490879085172136e-01
6.072021956909903651e+00,9.457521803900137544e+06,-1.274334331273103307e+05,9.458380302732868120e+06,-7.719734846211523394e-01,9.425490878991711341e-01
6.189658188912624759e+00,9.457457989549756050e+06,-1.299014324610910262e+05,9.458350067863523960e+06,-7.869277179609348583e-01,9.425490878893847402e-01
6.309573444801952036e+00,9.457391679871233180e+06,-1.324171963572316454e+05,9.458318650816788897e+06,-8.021715731089248402e-01,9.425490878797762040e-01
6.431811877215107387e+00,9.457322777754202485e+06,-1.349816472809021652e+05,9.458286005811577663e+06,-8.177106555280374556e-01,9.425490878693966179e-01
6.556418494179808931e+00,9.457251180185450241e+06,-1.375957253375992586e+05,9.458252083167919889e+06,-8.335506787769251247e-01,9.425490878591351596e-01
6.683439175686166855e+00,9.457176782249830663e+06,-1.402603887200020254e+05,9.458216833387209103e+06,-8.496974669245560552e-01,9.425490878474128698e-01
6.812920690579633565e+00,9.457099475276326761e+06,-1.429766140019363665e+05,9.458180205379003659e+06,-8.661569565357598588e-01,9.425490878366142855e-01
6.944910713781234257e+00,9.457019145809827372e+06,-1.457453964586946822e+05,9.458142145516874269e+06,-8.829351987597866547e-01,9.425490878242003268e-01
7.079457843841401754e+00,9.456935673934401944e+06,-1.485677503668168210e+05,9.458102596048647538e+06,-9.000383613689778572e-01,9.425490878120484917e-01
7.216611620833906393e+00,9.456848939198683947e+06,-1.514447095491919899e+05,9.458061501114999875e+06,-9.174727315667237093e-01,9.425490877979044724e-01
7.356422544596438406e+00,9.456758811537871137e+06,-1.543773274643797486e+05,9.458018797762785107e+06,-9.352447174545666098e-01,9.425490877847443327e-01
7.498942093324583169e+00,9.456665159921810031e+06,-1.573666778473168088e+05,9.457974424694521353e+06,-9.533608511567298605e-01,9.425490877702136228e-01
7.644222742526028291e+00,9.456567847194723785e+06,-1.604138549334481650e+05,9.457928317208353430e+06,-9.718277907438283014e-01,9.425490877555979807e-01
7.792317984341967652e+00,9.456466728086635470e+06,-1.635199737765650498e+05,9.457880405314575881e+06,-9.906523224538169581e-01,9.425490877407201040e-01
7.943282347242842434e+00,9.456361656399210915e+06,-1.666861708822984365e+05,9.457830621034646407e+06,-1.009841363872704401e+00,9.425490877248393629e-01
8.097171416105647168e+00,9.456252475100766867e+06,-1.699136042785161699e+05,9.457778888606365770e+06,-1.029401965479816106e+00,9.425490877092519426e-01
8.254041852680211733e+00,9.456139026186931878e+06,-1.732034542596231913e+05,9.457725134467748925e+06,-1.049341314207520082e+00,9.425490876919412342e-01
8.413951416451979526e+00,9.456021140351526439e+06,-1.765569234439858992e+05,9.457669277046591043e+06,-1.069666735002794855e+00,9.425490876740379997e-01
8.576958985908969879e+00,9.455898646699218079e+06,-1.799752375405522471e+05,9.457611236605990678e+06,-1.090385694509883319e+00,9.425490876553885844e-01
