 time            d4              h4              c4              p4             
 3.14818850e-05  3.53130500e-01  3.51276949e-01  8.99044992e-01  1.24192853e-03 
 3.14868850e-05  3.53129020e-01  3.51311022e-01  8.99045559e-01  1.24192443e-03 
 3.14918850e-05  3.53127559e-01  3.51344427e-01  8.99045925e-01  1.24192722e-03 
 3.14968850e-05  3.53126127e-01  3.51377180e-01  8.99046096e-01  1.24192374e-03 
 3.15018850e-05  3.53124716e-01  3.51409296e-01  8.99046068e-01  1.24192710e-03 
 3.15068850e-05  3.53123335e-01  3.51440789e-01  8.99045855e-01  1.24192413e-03 
 3.15118850e-05  3.53121976e-01  3.51471673e-01  8.99045464e-01  1.24192794e-03 
 3.15168850e-05  3.53120649e-01  3.51501962e-01  8.99044912e-01  1.24192535e-03 
 3.15218850e-05  3.53119344e-01  3.51531668e-01  8.99044212e-01  1.24192947e-03 
 3.15268850e-05  3.53118072e-01  3.51560804e-01  8.99043388e-01  1.24192711e-03 
 3.15318850e-05  3.53116824e-01  3.51589383e-01  8.99042457e-01  1.24193138e-03 
 3.15368850e-05  3.53115608e-01  3.51617416e-01  8.99041445e-01  1.24192911e-03 
 3.15418850e-05  3.53114416e-01  3.51644914e-01  8.99040369e-01  1.24193340e-03 
 3.15468850e-05  3.53113256e-01  3.51671889e-01  8.99039258e-01  1.24193107e-03 
 3.15518850e-05  3.53112120e-01  3.51698349e-01  8.99038130e-01  1.24193523e-03 
 3.15568850e-05  3.53111017e-01  3.51724306e-01  8.99037011e-01  1.24193272e-03 
 3.15618850e-05  3.53109936e-01  3.51749769e-01  8.99035916e-01  1.24193665e-03 
 3.15668850e-05  3.53108887e-01  3.51774747e-01  8.99034870e-01  1.24193386e-03 
 3.15718850e-05  3.53107860e-01  3.51799249e-01  8.99033885e-01  1.24193749e-03 
 3.15768850e-05  3.53106862e-01  3.51823283e-01  8.99032980e-01  1.24193437e-03 
 3.15818850e-05  3.53105885e-01  3.51846858e-01  8.99032164e-01  1.24193764e-03 
 3.15868850e-05  3.53104936e-01  3.51869982e-01  8.99031451e-01  1.24193417e-03 
 3.15918850e-05  3.53104006e-01  3.51892663e-01  8.99030844e-01  1.24193708e-03 
 3.15968850e-05  3.53103102e-01  3.51914908e-01  8.99030353e-01  1.24193325e-03 
 3.16018850e-05  3.53102215e-01  3.51936724e-01  8.99029975e-01  1.24193582e-03 
 3.16068850e-05  3.53101352e-01  3.51958120e-01  8.99029715e-01  1.24193168e-03 
 3.16118850e-05  3.53100504e-01  3.51979102e-01  8.99029566e-01  1.24193396e-03 
 3.16168850e-05  3.53099678e-01  3.51999677e-01  8.99029528e-01  1.24192956e-03 
 3.16218850e-05  3.53098865e-01  3.52019853e-01  8.99029589e-01  1.24193162e-03 
 3.16268850e-05  3.53098073e-01  3.52039637e-01  8.99029745e-01  1.24192704e-03 
 3.16318850e-05  3.53097291e-01  3.52059035e-01  8.99029983e-01  1.24192896e-03 
 3.16368850e-05  3.53096528e-01  3.52078055e-01  8.99030294e-01  1.24192427e-03 
 3.16418850e-05  3.53095775e-01  3.52096704e-01  8.99030664e-01  1.24192614e-03 
 3.16468850e-05  3.53095038e-01  3.52114987e-01  8.99031083e-01  1.24192144e-03 
 3.16518850e-05  3.53094310e-01  3.52132914e-01  8.99031535e-01  1.24192334e-03 
 3.16568850e-05  3.53093598e-01  3.52150489e-01  8.99032010e-01  1.24191871e-03 
 3.16618850e-05  3.53092893e-01  3.52167721e-01  8.99032491e-01  1.24192070e-03 
 3.16668850e-05  3.53092204e-01  3.52184615e-01  8.99032971e-01  1.24191620e-03 
 3.16718850e-05  3.53091521e-01  3.52201180e-01  8.99033434e-01  1.24191836e-03 
 3.16768850e-05  3.53090853e-01  3.52217421e-01  8.99033873e-01  1.24191404e-03 
 3.16818850e-05  3.53090191e-01  3.52233346e-01  8.99034275e-01  1.24191639e-03 
 3.16868850e-05  3.53089543e-01  3.52248961e-01  8.99034636e-01  1.24191229e-03 
 3.16918850e-05  3.53088901e-01  3.52264272e-01  8.99034944e-01  1.24191487e-03 
 3.16968850e-05  3.53088275e-01  3.52279287e-01  8.99035198e-01  1.24191099e-03 
 3.17018850e-05  3.53087654e-01  3.52294011e-01  8.99035390e-01  1.24191379e-03 
 3.17068850e-05  3.53087047e-01  3.52308451e-01  8.99035522e-01  1.24191013e-03 
 3.17118850e-05  3.53086447e-01  3.52322613e-01  8.99035588e-01  1.24191315e-03 
 3.17168850e-05  3.53085862e-01  3.52336503e-01  8.99035593e-01  1.24190969e-03 
 3.17218850e-05  3.53085284e-01  3.52350127e-01  8.99035534e-01  1.24191289e-03 
 3.17268850e-05  3.53084721e-01  3.52363491e-01  8.99035419e-01  1.24190959e-03 
 3.17318850e-05  3.53084164e-01  3.52376600e-01  8.99035247e-01  1.24191293e-03 
 3.17368850e-05  3.53083623e-01  3.52389459e-01  8.99035028e-01  1.24190975e-03 
 3.17418850e-05  3.53083089e-01  3.52402074e-01  8.99034762e-01  1.24191319e-03 
 3.17468850e-05  3.53082570e-01  3.52414450e-01  8.99034461e-01  1.24191008e-03 
