 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-7.30000000e-03  1.26279145e+00  6.47024860e-01  1.92764860e-01  2.52770575e-05  2.45818015e-05  4.98588584e-05 
-7.20000000e-03  1.25409022e+00  6.47050944e-01  1.92737028e-01  2.52697866e-05  2.45883426e-05  4.98581286e-05 
-7.10000000e-03  1.24536642e+00  6.47076738e-01  1.92709047e-01  2.52625976e-05  2.45947976e-05  4.98573946e-05 
-7.00000000e-03  1.23662176e+00  6.47102250e-01  1.92680920e-01  2.52554887e-05  2.46011684e-05  4.98566565e-05 
-6.90000000e-03  1.22785786e+00  6.47127485e-01  1.92652651e-01  2.52484581e-05  2.46074569e-05  4.98559144e-05 
-6.80000000e-03  1.21907630e+00  6.47152449e-01  1.92624242e-01  2.52415043e-05  2.46136647e-05  4.98551684e-05 
-6.70000000e-03  1.21027867e+00  6.47177150e-01  1.92595697e-01  2.52346251e-05  2.46197933e-05  4.98544185e-05 
-6.60000000e-03  1.20146638e+00  6.47201589e-01  1.92567018e-01  2.52278200e-05  2.46258448e-05  4.98536647e-05 
-6.50000000e-03  1.19264098e+00  6.47225773e-01  1.92538207e-01  2.52210870e-05  2.46318205e-05  4.98529073e-05 
-6.40000000e-03  1.18380387e+00  6.47249708e-01  1.92509267e-01  2.52144247e-05  2.46377218e-05  4.98521461e-05 
-6.30000000e-03  1.17495648e+00  6.47273397e-01  1.92480201e-01  2.52078317e-05  2.46435501e-05  4.98513813e-05 
-6.20000000e-03  1.16610017e+00  6.47296846e-01  1.92451011e-01  2.52013068e-05  2.46493067e-05  4.98506130e-05 
-6.10000000e-03  1.15723629e+00  6.47320058e-01  1.92421699e-01  2.51948488e-05  2.46549930e-05  4.98498412e-05 
-6.00000000e-03  1.14836616e+00  6.47343038e-01  1.92392267e-01  2.51884564e-05  2.46606100e-05  4.98490659e-05 
-5.90000000e-03  1.13949107e+00  6.47365790e-01  1.92362718e-01  2.51821287e-05  2.46661591e-05  4.98482872e-05 
-5.80000000e-03  1.13061232e+00  6.47388317e-01  1.92333053e-01  2.51758644e-05  2.46716414e-05  4.98475051e-05 
-5.70000000e-03  1.12173115e+00  6.47410623e-01  1.92303274e-01  2.51696625e-05  2.46770579e-05  4.98467197e-05 
-5.60000000e-03  1.11284881e+00  6.47432712e-01  1.92273382e-01  2.51635221e-05  2.46824097e-05  4.98459310e-05 
-5.50000000e-03  1.10396652e+00  6.47454587e-01  1.92243381e-01  2.51574421e-05  2.46876978e-05  4.98451392e-05 
-5.40000000e-03  1.09508549e+00  6.47476251e-01  1.92213271e-01  2.51514217e-05  2.46929231e-05  4.98443441e-05 
-5.30000000e-03  1.08620691e+00  6.47497707e-01  1.92183053e-01  2.51454599e-05  2.46980866e-05  4.98435459e-05 
-5.20000000e-03  1.07733197e+00  6.47518959e-01  1.92152730e-01  2.51395559e-05  2.47031893e-05  4.98427445e-05 
-5.10000000e-03  1.06846184e+00  6.47540008e-01  1.92122303e-01  2.51337089e-05  2.47082319e-05  4.98419401e-05 
-5.00000000e-03  1.05959767e+00  6.47560859e-01  1.92091774e-01  2.51279180e-05  2.47132153e-05  4.98411327e-05 
-4.90000000e-03  1.05074062e+00  6.47581513e-01  1.92061143e-01  2.51221826e-05  2.47181403e-05  4.98403222e-05 
-4.80000000e-03  1.04189182e+00  6.47601974e-01  1.92030412e-01  2.51165017e-05  2.47230077e-05  4.98395088e-05 
-4.70000000e-03  1.03305240e+00  6.47622243e-01  1.91999583e-01  2.51108748e-05  2.47278182e-05  4.98386924e-05 
-4.60000000e-03  1.02422350e+00  6.47642324e-01  1.91968656e-01  2.51053012e-05  2.47325725e-05  4.98378731e-05 
-4.50000000e-03  1.01540622e+00  6.47662217e-01  1.91937633e-01  2.50997801e-05  2.47372713e-05  4.98370509e-05 
-4.40000000e-03  1.00660167e+00  6.47681927e-01  1.91906515e-01  2.50943110e-05  2.47419153e-05  4.98362258e-05 
-4.30000000e-03  9.97810970e-01  6.47701454e-01  1.91875303e-01  2.50888933e-05  2.47465052e-05  4.98353979e-05 
-4.20000000e-03  9.89035212e-01  6.47720801e-01  1.91843998e-01  2.50835262e-05  2.47510415e-05  4.98345672e-05 
-4.10000000e-03  9.80275494e-01  6.47739970e-01  1.91812601e-01  2.50782094e-05  2.47555249e-05  4.98337337e-05 
-4.00000000e-03  9.71532909e-01  6.47758962e-01  1.91781113e-01  2.50729421e-05  2.47599558e-05  4.98328974e-05 
-3.90000000e-03  9.62808547e-01  6.47777780e-01  1.91749535e-01  2.50677240e-05  2.47643350e-05  4.98320584e-05 
-3.80000000e-03  9.54103496e-01  6.47796426e-01  1.91717868e-01  2.50625544e-05  2.47686628e-05  4.98312167e-05 
-3.70000000e-03  9.45418843e-01  6.47814900e-01  1.91686113e-01  2.50574329e-05  2.47729398e-05  4.98303722e-05 
-3.60000000e-03  9.36755669e-01  6.47833205e-01  1.91654270e-01  2.50523591e-05  2.47771665e-05  4.98295251e-05 
-3.50000000e-03  9.28115059e-01  6.47851343e-01  1.91622341e-01  2.50473324e-05  2.47813434e-05  4.98286753e-05 
-3.40000000e-03  9.19498095e-01  6.47869314e-01  1.91590327e-01  2.50423524e-05  2.47854710e-05  4.98278228e-05 
