 frequency              onoise_spectrum       
 4.731512589614809e+04  1.533807447075119e-07 
 5.011872336272727e+04  1.498866218765074e-07 
 5.308844442309887e+04  1.464798914740068e-07 
 5.623413251903495e+04  1.431585453092580e-07 
 5.956621435290109e+04  1.399206238822026e-07 
 6.309573444801938e+04  1.367642151515099e-07 
 6.683439175686151e+04  1.336874533239420e-07 
 7.079457843841385e+04  1.306885176647639e-07 
 7.498942093324565e+04  1.277656313275942e-07 
 7.943282347242822e+04  1.249170602028035e-07 
 8.413951416451958e+04  1.221411117832456e-07 
 8.912509381337464e+04  1.194361340461513e-07 
 9.440608762859243e+04  1.168005143501193e-07 
 1.000000000000001e+05  1.142326783457678e-07 
 1.059253725177290e+05  1.117310888989621e-07 
 1.122018454301965e+05  1.092942450253590e-07 
 1.188502227437020e+05  1.069206808347838e-07 
 1.258925411794169e+05  1.046089644842755e-07 
 1.333521432163326e+05  1.023576971380666e-07 
 1.412537544622756e+05  1.001655119334653e-07 
 1.496235656094435e+05  9.803107295053791e-08 
 1.584893192461116e+05  9.595307418441782e-08 
 1.678804018122563e+05  9.393023851823085e-08 
 1.778279410038925e+05  9.196131669489423e-08 
 1.883649089489803e+05  9.004508628583850e-08 
 1.995262314968882e+05  8.818035065469560e-08 
 2.113489039836650e+05  8.636593791331328e-08 
 2.238721138568343e+05  8.460069986835360e-08 
 2.371373705661659e+05  8.288351095533094e-08 
 2.511886431509584e+05  8.121326715756904e-08 
 2.660725059798813e+05  7.958888490707239e-08 
 2.818382931264458e+05  7.800929996389686e-08 
 2.985382618917964e+05  7.647346627065343e-08 
 3.162277660168384e+05  7.498035477803821e-08 
 3.349654391578281e+05  7.352895223733358e-08 
 3.548133892335760e+05  7.211825995512389e-08 
 3.758374042884447e+05  7.074729250538628e-08 
 3.981071705534979e+05  6.941507639311397e-08 
 4.216965034285829e+05  6.812064866392229e-08 
 4.466835921509638e+05  6.686305545272825e-08 
 4.731512589614813e+05  6.564135046486714e-08 
 5.011872336272731e+05  6.445459338177735e-08 
 5.308844442309892e+05  6.330184818336197e-08 
 5.623413251903499e+05  6.218218137832637e-08 
 5.956621435290114e+05  6.109466013341436e-08 
 6.309573444801943e+05  6.003835029223281e-08 
 6.683439175686156e+05  5.901231427374908e-08 
 7.079457843841390e+05  5.801560884098253e-08 
 7.498942093324569e+05  5.704728273013471e-08 
 7.943282347242826e+05  5.610637413137727e-08 
 8.413951416451962e+05  5.519190801324167e-08 
 8.912509381337467e+05  5.430289328439393e-08 
 9.440608762859247e+05  5.343831978893851e-08 
 1.000000000000001e+06  5.259715513478133e-08 
 1.059253725177290e+06  5.177834135931485e-08 
 1.122018454301965e+06  5.098079144268212e-08 
 1.188502227437020e+06  5.020338568702866e-08 
 1.258925411794169e+06  4.944496799011731e-08 
 1.333521432163326e+06  4.870434205456462e-08 
 1.412537544622756e+06  4.798026758968380e-08 
 1.496235656094436e+06  4.727145658182383e-08 
 1.584893192461116e+06  4.657656973229564e-08 
 1.678804018122563e+06  4.589421318878391e-08 
 1.778279410038925e+06  4.522293572718306e-08 
 1.883649089489803e+06  4.456122657639365e-08 
 1.995262314968882e+06  4.390751411722093e-08 
 2.113489039836650e+06  4.326016572830241e-08 
 2.238721138568343e+06  4.261748909457508e-08 
 2.371373705661659e+06  4.197773533519211e-08 
 2.511886431509584e+06  4.133910434378601e-08 
 2.660725059798813e+06  4.069975276101111e-08 
 2.818382931264458e+06  4.005780500986224e-08 
 2.985382618917964e+06  3.941136781261322e-08 
 3.162277660168384e+06  3.875854856492862e-08 
 3.349654391578281e+06  3.809747785982775e-08 
 3.548133892335759e+06  3.742633632312267e-08 
 3.758374042884447e+06  3.674338573597727e-08 
 3.981071705534978e+06  3.604700417658769e-08 
 4.216965034285828e+06  3.533572461355010e-08 
 4.466835921509637e+06  3.460827603776221e-08 
 4.731512589614811e+06  3.386362584704274e-08 
 5.011872336272730e+06  3.310102182636578e-08 
 5.308844442309891e+06  3.232003173515783e-08 
 5.623413251903499e+06  3.152057826711104e-08 
 5.956621435290113e+06  3.070296703449430e-08 
 6.309573444801942e+06  2.986790529099551e-08 
 6.683439175686155e+06  2.901650937454940e-08 
 7.079457843841389e+06  2.815029933345868e-08 
 7.498942093324569e+06  2.727117987696492e-08 
 7.943282347242827e+06  2.638140761819596e-08 
 8.413951416451963e+06  2.548354547891259e-08 
 8.912509381337468e+06  2.458040601027363e-08 
