polarity,physical_row,physical_col,core_row,core_col,net,electrical,instance,local_x_um,local_y_um
P,1,41,0,40,B11,1,XP_r01_c41_B11,246.000,4.540
P,1,42,0,41,B11,1,XP_r01_c42_B11,252.000,4.540
P,1,43,0,42,B11,1,XP_r01_c43_B11,258.000,4.540
P,1,44,0,43,B11,1,XP_r01_c44_B11,264.000,4.540
P,1,45,0,44,B11,1,XP_r01_c45_B11,270.000,4.540
P,1,46,0,45,B11,1,XP_r01_c46_B11,276.000,4.540
P,1,47,0,46,B11,1,XP_r01_c47_B11,282.000,4.540
P,1,48,0,47,B11,1,XP_r01_c48_B11,288.000,4.540
P,1,49,0,48,B11,1,XP_r01_c49_B11,294.000,4.540
P,1,50,0,49,B11,1,XP_r01_c50_B11,300.000,4.540
P,1,51,0,50,B11,1,XP_r01_c51_B11,306.000,4.540
P,1,52,0,51,B11,1,XP_r01_c52_B11,312.000,4.540
P,1,53,0,52,B11,1,XP_r01_c53_B11,318.000,4.540
P,1,54,0,53,B11,1,XP_r01_c54_B11,324.000,4.540
P,1,55,0,54,B11,1,XP_r01_c55_B11,330.000,4.540
P,1,56,0,55,B11,1,XP_r01_c56_B11,336.000,4.540
P,1,57,0,56,B11,1,XP_r01_c57_B11,342.000,4.540
P,1,58,0,57,B11,1,XP_r01_c58_B11,348.000,4.540
P,1,59,0,58,B11,1,XP_r01_c59_B11,354.000,4.540
P,1,60,0,59,B11,1,XP_r01_c60_B11,360.000,4.540
P,1,61,0,60,B11,1,XP_r01_c61_B11,366.000,4.540
P,1,62,0,61,B11,1,XP_r01_c62_B11,372.000,4.540
P,1,63,0,62,B11,1,XP_r01_c63_B11,378.000,4.540
P,1,64,0,63,B6,1,XP_r01_c64_B6,384.000,4.540
P,1,65,,,EDGE,0,XP_r01_c65_EDGE,390.000,4.540
P,2,0,,,EDGE,0,XP_r02_c00_EDGE,0.000,9.080
P,2,1,1,0,B11,1,XP_r02_c01_B11,6.000,9.080
P,2,2,1,1,B11,1,XP_r02_c02_B11,12.000,9.080
P,2,3,1,2,B11,1,XP_r02_c03_B11,18.000,9.080
P,2,4,1,3,B11,1,XP_r02_c04_B11,24.000,9.080
P,2,5,1,4,B11,1,XP_r02_c05_B11,30.000,9.080
P,2,6,1,5,B11,1,XP_r02_c06_B11,36.000,9.080
P,2,7,1,6,B11,1,XP_r02_c07_B11,42.000,9.080
P,2,8,1,7,B11,1,XP_r02_c08_B11,48.000,9.080
P,2,9,1,8,B11,1,XP_r02_c09_B11,54.000,9.080
