 frequency       gain_db         phase_deg      
 1.14815362e+02  4.14724848e+01  1.79999175e+02 
 1.17489755e+02  4.14724848e+01  1.79999156e+02 
 1.20226443e+02  4.14724848e+01  1.79999136e+02 
 1.23026877e+02  4.14724848e+01  1.79999116e+02 
 1.25892541e+02  4.14724848e+01  1.79999095e+02 
 1.28824955e+02  4.14724848e+01  1.79999074e+02 
 1.31825674e+02  4.14724848e+01  1.79999053e+02 
 1.34896288e+02  4.14724848e+01  1.79999030e+02 
 1.38038426e+02  4.14724848e+01  1.79999008e+02 
 1.41253754e+02  4.14724848e+01  1.79998985e+02 
 1.44543977e+02  4.14724848e+01  1.79998961e+02 
 1.47910839e+02  4.14724848e+01  1.79998937e+02 
 1.51356125e+02  4.14724848e+01  1.79998912e+02 
 1.54881662e+02  4.14724848e+01  1.79998887e+02 
 1.58489319e+02  4.14724848e+01  1.79998861e+02 
 1.62181010e+02  4.14724848e+01  1.79998834e+02 
 1.65958691e+02  4.14724848e+01  1.79998807e+02 
 1.69824365e+02  4.14724848e+01  1.79998779e+02 
 1.73780083e+02  4.14724848e+01  1.79998751e+02 
 1.77827941e+02  4.14724848e+01  1.79998722e+02 
 1.81970086e+02  4.14724848e+01  1.79998692e+02 
 1.86208714e+02  4.14724848e+01  1.79998662e+02 
 1.90546072e+02  4.14724848e+01  1.79998630e+02 
 1.94984460e+02  4.14724848e+01  1.79998599e+02 
 1.99526231e+02  4.14724848e+01  1.79998566e+02 
 2.04173794e+02  4.14724848e+01  1.79998533e+02 
 2.08929613e+02  4.14724848e+01  1.79998498e+02 
 2.13796209e+02  4.14724848e+01  1.79998463e+02 
 2.18776162e+02  4.14724848e+01  1.79998428e+02 
 2.23872114e+02  4.14724848e+01  1.79998391e+02 
 2.29086765e+02  4.14724848e+01  1.79998353e+02 
 2.34422882e+02  4.14724848e+01  1.79998315e+02 
 2.39883292e+02  4.14724848e+01  1.79998276e+02 
 2.45470892e+02  4.14724848e+01  1.79998236e+02 
 2.51188643e+02  4.14724848e+01  1.79998195e+02 
 2.57039578e+02  4.14724848e+01  1.79998153e+02 
 2.63026799e+02  4.14724848e+01  1.79998110e+02 
 2.69153480e+02  4.14724848e+01  1.79998065e+02 
 2.75422870e+02  4.14724848e+01  1.79998020e+02 
 2.81838293e+02  4.14724848e+01  1.79997974e+02 
 2.88403150e+02  4.14724848e+01  1.79997927e+02 
 2.95120923e+02  4.14724848e+01  1.79997879e+02 
 3.01995172e+02  4.14724848e+01  1.79997829e+02 
 3.09029543e+02  4.14724848e+01  1.79997779e+02 
 3.16227766e+02  4.14724848e+01  1.79997727e+02 
 3.23593657e+02  4.14724848e+01  1.79997674e+02 
 3.31131121e+02  4.14724848e+01  1.79997620e+02 
 3.38844156e+02  4.14724848e+01  1.79997565e+02 
 3.46736850e+02  4.14724848e+01  1.79997508e+02 
 3.54813389e+02  4.14724848e+01  1.79997450e+02 
 3.63078055e+02  4.14724848e+01  1.79997390e+02 
 3.71535229e+02  4.14724848e+01  1.79997330e+02 
 3.80189396e+02  4.14724848e+01  1.79997267e+02 
 3.89045145e+02  4.14724848e+01  1.79997204e+02 
 3.98107171e+02  4.14724848e+01  1.79997139e+02 
 4.07380278e+02  4.14724848e+01  1.79997072e+02 
