 frequency       mag             ph             
 4.46683592e+02  5.93070628e+01  9.09298561e+01 
 4.57088190e+02  5.91071140e+01  9.09088224e+01 
 4.67735141e+02  5.89071628e+01  9.08882703e+01 
 4.78630092e+02  5.87072095e+01  9.08681889e+01 
 4.89778819e+02  5.85072541e+01  9.08485675e+01 
 5.01187234e+02  5.83072966e+01  9.08293957e+01 
 5.12861384e+02  5.81073373e+01  9.08106635e+01 
 5.24807460e+02  5.79073761e+01  9.07923609e+01 
 5.37031796e+02  5.77074132e+01  9.07744781e+01 
 5.49540874e+02  5.75074486e+01  9.07570059e+01 
 5.62341325e+02  5.73074824e+01  9.07399348e+01 
 5.75439937e+02  5.71075146e+01  9.07232558e+01 
 5.88843655e+02  5.69075455e+01  9.07069602e+01 
 6.02559586e+02  5.67075749e+01  9.06910393e+01 
 6.16595002e+02  5.65076030e+01  9.06754846e+01 
 6.30957344e+02  5.63076299e+01  9.06602880e+01 
 6.45654229e+02  5.61076555e+01  9.06454413e+01 
 6.60693448e+02  5.59076800e+01  9.06309367e+01 
 6.76082975e+02  5.57077034e+01  9.06167666e+01 
 6.91830971e+02  5.55077257e+01  9.06029233e+01 
 7.07945784e+02  5.53077471e+01  9.05893997e+01 
 7.24435960e+02  5.51077674e+01  9.05761885e+01 
 7.41310241e+02  5.49077869e+01  9.05632827e+01 
 7.58577575e+02  5.47078055e+01  9.05506754e+01 
 7.76247117e+02  5.45078232e+01  9.05383601e+01 
 7.94328235e+02  5.43078401e+01  9.05263302e+01 
 8.12830516e+02  5.41078563e+01  9.05145793e+01 
 8.31763771e+02  5.39078718e+01  9.05031011e+01 
 8.51138038e+02  5.37078865e+01  9.04918897e+01 
 8.70963590e+02  5.35079006e+01  9.04809390e+01 
 8.91250938e+02  5.33079141e+01  9.04702433e+01 
 9.12010839e+02  5.31079269e+01  9.04597968e+01 
 9.33254301e+02  5.29079392e+01  9.04495941e+01 
 9.54992586e+02  5.27079509e+01  9.04396298e+01 
 9.77237221e+02  5.25079621e+01  9.04298985e+01 
 1.00000000e+03  5.23079728e+01  9.04203951e+01 
 1.02329299e+03  5.21079830e+01  9.04111146e+01 
 1.04712855e+03  5.19079927e+01  9.04020520e+01 
 1.07151931e+03  5.17080020e+01  9.03932026e+01 
 1.09647820e+03  5.15080109e+01  9.03845616e+01 
 1.12201845e+03  5.13080194e+01  9.03761245e+01 
 1.14815362e+03  5.11080274e+01  9.03678868e+01 
 1.17489755e+03  5.09080352e+01  9.03598442e+01 
 1.20226443e+03  5.07080426e+01  9.03519923e+01 
 1.23026877e+03  5.05080496e+01  9.03443271e+01 
