 time                   v(VOUT)               
 7.813999999999982e-08  8.000064964280583e-01 
 7.863999999999982e-08  8.000064964280587e-01 
 7.913999999999982e-08  8.000064964280590e-01 
 7.963999999999982e-08  8.000064964280591e-01 
 8.013999999999982e-08  8.000064964280590e-01 
 8.063999999999981e-08  8.000064964280588e-01 
 8.113999999999981e-08  8.000064964280587e-01 
 8.163999999999981e-08  8.000064964280585e-01 
 8.213999999999981e-08  8.000064964280584e-01 
 8.263999999999981e-08  8.000064964280583e-01 
 8.313999999999980e-08  8.000064964280580e-01 
 8.363999999999980e-08  8.000064964280579e-01 
 8.413999999999980e-08  8.000064964280579e-01 
 8.463999999999980e-08  8.000064964280579e-01 
 8.513999999999979e-08  8.000064964280580e-01 
 8.563999999999979e-08  8.000064964280580e-01 
 8.613999999999979e-08  8.000064964280580e-01 
 8.663999999999979e-08  8.000064964280580e-01 
 8.713999999999979e-08  8.000064964280579e-01 
 8.763999999999978e-08  8.000064964280580e-01 
 8.813999999999978e-08  8.000064964280581e-01 
 8.863999999999978e-08  8.000064964280580e-01 
 8.913999999999978e-08  8.000064964280582e-01 
 8.963999999999978e-08  8.000064964280584e-01 
 9.013999999999977e-08  8.000064964280587e-01 
 9.063999999999977e-08  8.000064964280590e-01 
 9.113999999999977e-08  8.000064964280592e-01 
 9.163999999999977e-08  8.000064964280593e-01 
 9.213999999999976e-08  8.000064964280594e-01 
 9.263999999999976e-08  8.000064964280594e-01 
 9.313999999999976e-08  8.000064964280595e-01 
 9.363999999999976e-08  8.000064964280599e-01 
 9.413999999999976e-08  8.000064964280600e-01 
 9.463999999999975e-08  8.000064964280601e-01 
 9.513999999999975e-08  8.000064964280601e-01 
 9.563999999999975e-08  8.000064964280601e-01 
 9.613999999999975e-08  8.000064964280603e-01 
 9.663999999999975e-08  8.000064964280602e-01 
 9.713999999999974e-08  8.000064964280601e-01 
 9.763999999999974e-08  8.000064964280603e-01 
 9.813999999999974e-08  8.000064964280603e-01 
 9.863999999999974e-08  8.000064964280602e-01 
 9.913999999999973e-08  8.000064964280603e-01 
 9.963999999999973e-08  8.000064964280604e-01 
 1.001399999999997e-07  8.000064964280603e-01 
 1.006399999999997e-07  8.000064964280602e-01 
 1.011399999999997e-07  8.000064964280603e-01 
 1.016399999999997e-07  8.000064964280602e-01 
 1.021399999999997e-07  8.000064964280602e-01 
 1.026399999999997e-07  8.000064964280603e-01 
 1.031399999999997e-07  8.000064964280602e-01 
 1.036399999999997e-07  8.000064964280602e-01 
 1.041399999999997e-07  8.000064964280602e-01 
 1.046399999999997e-07  8.000064964280602e-01 
 1.051399999999997e-07  8.000064964280601e-01 
 1.056399999999997e-07  8.000064964280598e-01 
 1.061399999999997e-07  8.000064964280595e-01 
 1.066399999999997e-07  8.000064964280594e-01 
 1.071399999999997e-07  8.000064964280593e-01 
 1.076399999999997e-07  8.000064964280592e-01 
 1.081399999999997e-07  8.000064964280592e-01 
 1.086399999999997e-07  8.000064964280593e-01 
 1.091399999999997e-07  8.000064964280594e-01 
 1.096399999999997e-07  8.000064964280595e-01 
 1.101399999999997e-07  8.000064964280598e-01 
 1.106399999999997e-07  8.000064964280601e-01 
 1.111399999999997e-07  8.000064964280602e-01 
 1.116399999999997e-07  8.000064964280601e-01 
 1.121399999999997e-07  8.000064964280600e-01 
 1.126399999999997e-07  8.000064964280598e-01 
 1.131399999999997e-07  8.000064964280595e-01 
 1.136399999999997e-07  8.000064964280594e-01 
 1.141399999999997e-07  8.000064964280594e-01 
 1.146399999999997e-07  8.000064964280594e-01 
 1.151399999999997e-07  8.000064964280593e-01 
 1.156399999999997e-07  8.000064964280592e-01 
 1.161399999999997e-07  8.000064964280592e-01 
 1.166399999999997e-07  8.000064964280593e-01 
 1.171399999999997e-07  8.000064964280593e-01 
 1.176399999999997e-07  8.000064964280593e-01 
 1.181399999999997e-07  8.000064964280594e-01 
 1.186399999999997e-07  8.000064964280595e-01 
 1.191399999999996e-07  8.000064964280598e-01 
 1.196399999999997e-07  8.000064964280601e-01 
 1.201399999999997e-07  8.000064964280601e-01 
 1.206399999999997e-07  8.000064964280599e-01 
 1.211399999999997e-07  8.000064964280597e-01 
 1.216399999999997e-07  8.000064964280593e-01 
 1.221399999999997e-07  8.000064964280590e-01 
 1.226399999999997e-07  8.000064964280590e-01 
 1.231399999999997e-07  8.000064964280591e-01 
 1.236399999999997e-07  8.000064964280592e-01 
 1.241399999999998e-07  8.000064964280594e-01 
 1.246399999999998e-07  8.000064964280597e-01 
 1.251399999999998e-07  8.000064964280600e-01 
 1.256399999999998e-07  8.000064964280603e-01 
 1.261399999999998e-07  8.000064964280603e-01 
 1.266399999999998e-07  8.000064964280601e-01 
 1.271399999999998e-07  8.000064964280600e-01 
 1.276399999999998e-07  8.000064964280601e-01 
 1.281399999999998e-07  8.000064964280603e-01 
 1.286399999999999e-07  8.000064964280602e-01 
 1.291399999999999e-07  8.000064964280599e-01 
 1.296399999999999e-07  8.000064964280595e-01 
 1.301399999999999e-07  8.000064964280594e-01 
 1.306399999999999e-07  8.000064964280593e-01 
 1.311399999999999e-07  8.000064964280593e-01 
 1.316399999999999e-07  8.000064964280591e-01 
 1.321399999999999e-07  8.000064964280588e-01 
 1.326399999999999e-07  8.000064964280589e-01 
 1.331400000000000e-07  8.000064964280590e-01 
 1.336400000000000e-07  8.000064964280589e-01 
 1.341400000000000e-07  8.000064964280590e-01 
 1.346400000000000e-07  8.000064964280593e-01 
 1.351400000000000e-07  8.000064964280595e-01 
 1.356400000000000e-07  8.000064964280600e-01 
 1.361400000000000e-07  8.000064964280600e-01 
 1.366400000000000e-07  8.000064964280597e-01 
 1.371400000000000e-07  8.000064964280594e-01 
 1.376400000000001e-07  8.000064964280593e-01 
 1.381400000000001e-07  8.000064964280594e-01 
 1.386400000000001e-07  8.000064964280592e-01 
 1.391400000000001e-07  8.000064964280588e-01 
 1.396400000000001e-07  8.000064964280585e-01 
 1.401400000000001e-07  8.000064964280587e-01 
 1.406400000000001e-07  8.000064964280588e-01 
 1.411400000000001e-07  8.000064964280589e-01 
 1.416400000000001e-07  8.000064964280591e-01 
 1.421400000000002e-07  8.000064964280592e-01 
 1.426400000000002e-07  8.000064964280592e-01 
 1.431400000000002e-07  8.000064964280593e-01 
 1.436400000000002e-07  8.000064964280593e-01 
 1.441400000000002e-07  8.000064964280592e-01 
 1.446400000000002e-07  8.000064964280593e-01 
 1.451400000000002e-07  8.000064964280594e-01 
 1.456400000000002e-07  8.000064964280594e-01 
