node_a,node_b,extracted_cap_fF,intrinsic_mim_cap_fF,total_cap_fF,extracted_element_count,intrinsic_mim_device_count
P_B5,P_EDGE_BIAS,1.69285,0,1.69285,1,0
P_B5,P_TOP,54.6765,635.04,689.7165,1,32
P_B5,VSUBS,116.82864,0,116.82864,29,0
P_B6,P_B7,37.2447,0,37.2447,1,0
P_B6,P_B8,1.85114,0,1.85114,1,0
P_B6,P_B9,3.26534,0,3.26534,1,0
P_B6,P_DUMMY,0.22787,0,0.22787,1,0
P_B6,P_EDGE_BIAS,20.0945,0,20.0945,1,0
P_B6,P_TOP,81.5502,1270.08,1351.6302,1,64
P_B6,VSUBS,155.36164,0,155.36164,63,0
P_B7,P_B8,43.2062,0,43.2062,1,0
P_B7,P_B9,3.17486,0,3.17486,1,0
P_B7,P_DUMMY,1.12173,0,1.12173,1,0
P_B7,P_EDGE_BIAS,3.1895,0,3.1895,1,0
P_B7,P_TOP,162.52,2540.16,2702.68,1,128
P_B7,VSUBS,184.0373,0,184.0373,127,0
P_B8,P_B9,44.716,0,44.716,1,0
P_B8,P_DUMMY,1.93432,0,1.93432,1,0
P_B8,P_EDGE_BIAS,3.49125,0,3.49125,1,0
P_B8,P_TOP,324.99,5080.32,5405.31,1,256
P_B8,VSUBS,266.02826,0,266.02826,255,0
P_B9,P_DUMMY,3.65477,0,3.65477,1,0
P_B9,P_EDGE_BIAS,6.28886,0,6.28886,1,0
P_B9,P_TOP,649.98,10160.64,10810.62,1,512
P_B9,VSUBS,422.15711,0,422.15711,511,0
P_DUMMY,P_EDGE_BIAS,0.8318,0,0.8318,1,0
P_DUMMY,P_TOP,7.94496,19.845,27.78996,1,1
P_DUMMY,VSUBS,24.7362,0,24.7362,1,0
P_EDGE_BIAS,P_TOP,28.0951,0,28.0951,1,0
P_EDGE_BIAS,VSUBS,337.10778,0,337.10778,522,0
P_TOP,VSUBS,11414.87697,0,11414.87697,4160,0
