code,p_top_delta_v,n_top_equivalent_delta_v,n_top_complement_delta_v,differential_output_v,p_inl_lsb,n_inl_lsb,differential_inl_lsb,p_dnl_to_next_lsb,n_dnl_to_next_lsb,differential_dnl_to_next_lsb
1536,0.132366321917048,0.132367314823383,0.220819052478145,-0.0884527305610969,-1.27394918645558,-1.27441491253468,-1.27418205040384,0.319809056408944,0.325792937946677,0.322801008853308
1537,0.13248015218033,0.132481662074067,0.220704705227462,-0.0882245530471319,-0.954140130046713,-0.948621974587992,-0.951381041550399,0.327576416466919,0.32102387306761,0.324300131982219
1538,0.132594652359185,0.132595598001502,0.220590769300027,-0.0879961169408417,-0.626563713579871,-0.627598101520369,-0.627080909568374,0.319809056408622,0.325792937946677,0.322801008853147
1539,0.132708482622467,0.132709945252185,0.220476422049344,-0.0877679394268767,-0.306754657171325,-0.301805163573679,-0.304279900715098,-0.318429061173434,-0.324176942343796,-0.321303012973638
1540,0.132767266428378,0.132768233772496,0.220418133529033,-0.0876508671006548,-0.625183718344514,-0.625982105917462,-0.625582913688929,0.319809056408944,0.325792937946356,0.322801008853147
1541,0.13288109669166,0.132882581023179,0.22030378627835,-0.0874226895866898,-0.305374661935647,-0.300189167971094,-0.302781904835653,0.327576416466919,0.321023873067932,0.324300131982379
1542,0.132995596870515,0.132996516950614,0.220189850350915,-0.0871942534803995,0.0222017545311951,0.0208347050968512,0.0215182271468549,0.319809056408622,0.325792937946356,0.322801008852986
1543,0.133109427133797,0.133110864201297,0.220075503100232,-0.0869660759664346,0.34201081093974,0.34662764304322,0.344319235999648,-0.960539974827159,-0.965625159572569,-0.963082577121862
1544,0.133112830463266,0.133113828969311,0.220072538332218,-0.0869597078689521,-0.618529163887174,-0.618997516529337,-0.618763341122085,0.319809056408622,0.325792937946356,0.322801008852986
1545,0.133226660726548,0.133228176219994,0.219958191081535,-0.0867315303549871,-0.298720107478628,-0.293204578582968,-0.295962332269292,0.327576416466919,0.321023873067932,0.324300131982379
1546,0.133341160905403,0.133342112147429,0.219844255154099,-0.0865030942486969,0.0288563089882139,0.0278192944849767,0.0283377997132163,0.319809056408944,0.325792937946356,0.322801008853147
1547,0.133454991168684,0.133456459398113,0.219729907903416,-0.0862749167347319,0.348665365397081,0.353612232431345,0.351138808566492,-0.318429061173434,-0.324176942343796,-0.321303012973638
1548,0.133513774974596,0.133514747918423,0.219671619383106,-0.0861578444085099,0.0302363042238922,0.0294352900875617,0.029835795592661,0.3198090564083,0.325792937946356,0.322801008852825
1549,0.133627605237878,0.133629095169106,0.219557272132423,-0.085929666894545,0.350045360632116,0.35522822803393,0.352636804445615,0.327576416467241,0.321023873067932,0.32430013198254
1550,0.133742105416733,0.133743031096542,0.219443336204987,-0.0857012307882547,0.67762177709928,0.676252101101875,0.676936936427962,0.319809056408944,0.325792937946677,0.322801008853308
1551,0.133855935680014,0.133857378347225,0.219328988954304,-0.0854730532742897,0.997430833508147,1.00204503904857,0.999737945281399,-1.62167888579752,-1.62676386991409,-1.62422138777741
1552,0.133802317415385,0.13380332109341,0.219383046208119,-0.085580728792734,-0.624248052289125,-0.624718830865512,-0.624483442495882,0.319809056408944,0.325792937946034,0.322801008852986
1553,0.133916147678667,0.133917668344093,0.219268698957436,-0.085352551278769,-0.304438995880258,-0.298925892919465,-0.301682433643089,0.327576416466919,0.321023873067932,0.324300131982379
1554,0.134030647857522,0.134031604271528,0.21915476303,-0.0851241151724788,0.0231374205865839,0.0220979801484797,0.0226176983394195,0.319809056408944,0.325792937946677,0.322801008853308
1555,0.134144478120803,0.134145951522212,0.219040415779317,-0.0848959376585137,0.342946476995451,0.347890918094848,0.345418707192534,-0.318429061173755,-0.324176942343796,-0.321303012973799
1556,0.134203261926715,0.134204240042522,0.218982127259007,-0.0847788653322918,0.0245174158219404,0.0237139757510647,0.0241156942188642,0.319809056408944,0.325792937946356,0.322801008853147
1557,0.134317092189997,0.134318587293205,0.218867780008323,-0.0845506878183268,0.344326472230807,0.349506913697433,0.34691670307214,0.327576416466919,0.321023873067932,0.324300131982379
1558,0.134431592368852,0.134432523220641,0.218753844080888,-0.0843222517120366,0.67190288869765,0.670530786765378,0.671216835054326,0.319809056408944,0.325792937946356,0.322801008853147
1559,0.134545422632133,0.134546870471324,0.218639496830205,-0.0840940741980716,0.991711945106517,0.996323724711746,0.994017843907602,-0.960539974827803,-0.965625159572891,-0.963082577122345
1560,0.134548825961602,0.134549835239338,0.218636532062191,-0.0840877061005892,0.0311719702786373,0.0306985651388684,0.0309352667850647,0.319809056408944,0.325792937946677,0.322801008853308
1561,0.134662656224884,0.134664182490021,0.218522184811508,-0.0838595285866242,0.350981026687826,0.356491503085558,0.353736275638501,0.327576416467241,0.321023873067932,0.32430013198254
1562,0.134777156403739,0.134778118417456,0.218408248884073,-0.0836310924803339,0.67855744315499,0.677515376153503,0.678036407621171,0.319809056408622,0.325792937946356,0.322801008852986
1563,0.134890986667021,0.134892465668139,0.21829390163339,-0.083402914966369,0.998366499563535,1.00330831409987,1.00083741647396,-0.318429061173755,-0.324176942343474,-0.321303012973638
1564,0.134949770472932,0.13495075418845,0.218235613113079,-0.083285842640147,0.679937438389703,0.67913137175641,0.679534403500454,0.319809056408944,0.325792937946034,0.322801008852986
1565,0.135063600736214,0.135065101439133,0.218121265862396,-0.083057665126182,0.999746494798892,1.00492430970246,1.00233541235325,0.327576416467241,0.321023873067932,0.32430013198254
