 frequency       onoise_spectrum inoise_spectrum	manifest_sha256
 5.37031796e+01  3.34968285e-03  1.38442493e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.49540874e+01  3.31708792e-03  1.37095492e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.62341325e+01  3.28481128e-03  1.35761650e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.75439937e+01  3.25284981e-03  1.34440838e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.88843655e+01  3.22120041e-03  1.33132928e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.02559586e+01  3.18986001e-03  1.31837794e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.16595002e+01  3.15882557e-03  1.30555310e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+01  3.12809409e-03  1.29285352e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.45654229e+01  3.09766259e-03  1.28027798e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.60693448e+01  3.06752811e-03  1.26782524e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.76082975e+01  3.03768774e-03  1.25549412e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.91830971e+01  3.00813858e-03  1.24328341e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.07945784e+01  2.97887777e-03  1.23119194e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.24435960e+01  2.94990247e-03  1.21921853e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.41310241e+01  2.92120988e-03  1.20736203e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.58577575e+01  2.89279722e-03  1.19562129e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
