 frequency       response        response        stimulus        stimulus        v(VOUT)         v(VOUT)	manifest_sha256
 4.13682040e+00  3.72600115e+01 -1.89323682e-02  1.00000000e+00  0.00000000e+00  3.72600115e+01 -1.89323682e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.21696503e+00  3.72600111e+01 -1.92991540e-02  1.00000000e+00  0.00000000e+00  3.72600111e+01 -1.92991540e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.29866235e+00  3.72600107e+01 -1.96730457e-02  1.00000000e+00  0.00000000e+00  3.72600107e+01 -1.96730457e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.38194242e+00  3.72600103e+01 -2.00541809e-02  1.00000000e+00  0.00000000e+00  3.72600103e+01 -2.00541809e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.46683592e+00  3.72600098e+01 -2.04427001e-02  1.00000000e+00  0.00000000e+00  3.72600098e+01 -2.04427001e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.55337410e+00  3.72600094e+01 -2.08387462e-02  1.00000000e+00  0.00000000e+00  3.72600094e+01 -2.08387462e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.64158883e+00  3.72600089e+01 -2.12424650e-02  1.00000000e+00  0.00000000e+00  3.72600089e+01 -2.12424650e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.73151259e+00  3.72600084e+01 -2.16540054e-02  1.00000000e+00  0.00000000e+00  3.72600084e+01 -2.16540054e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.82317848e+00  3.72600079e+01 -2.20735186e-02  1.00000000e+00  0.00000000e+00  3.72600079e+01 -2.20735186e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.91662026e+00  3.72600074e+01 -2.25011593e-02  1.00000000e+00  0.00000000e+00  3.72600074e+01 -2.25011593e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  3.72600068e+01 -2.29370848e-02  1.00000000e+00  0.00000000e+00  3.72600068e+01 -2.29370848e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.10896977e+00  3.72600063e+01 -2.33814558e-02  1.00000000e+00  0.00000000e+00  3.72600063e+01 -2.33814558e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.20794833e+00  3.72600057e+01 -2.38344357e-02  1.00000000e+00  0.00000000e+00  3.72600057e+01 -2.38344357e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.30884444e+00  3.72600051e+01 -2.42961914e-02  1.00000000e+00  0.00000000e+00  3.72600051e+01 -2.42961914e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.41169527e+00  3.72600044e+01 -2.47668929e-02  1.00000000e+00  0.00000000e+00  3.72600044e+01 -2.47668929e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.51653867e+00  3.72600038e+01 -2.52467135e-02  1.00000000e+00  0.00000000e+00  3.72600038e+01 -2.52467135e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.62341325e+00  3.72600031e+01 -2.57358298e-02  1.00000000e+00  0.00000000e+00  3.72600031e+01 -2.57358298e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.73235837e+00  3.72600024e+01 -2.62344220e-02  1.00000000e+00  0.00000000e+00  3.72600024e+01 -2.62344220e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.84341413e+00  3.72600016e+01 -2.67426737e-02  1.00000000e+00  0.00000000e+00  3.72600016e+01 -2.67426737e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.95662144e+00  3.72600009e+01 -2.72607719e-02  1.00000000e+00  0.00000000e+00  3.72600009e+01 -2.72607719e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.07202196e+00  3.72600001e+01 -2.77889075e-02  1.00000000e+00  0.00000000e+00  3.72600001e+01 -2.77889075e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.18965819e+00  3.72599992e+01 -2.83272749e-02  1.00000000e+00  0.00000000e+00  3.72599992e+01 -2.83272749e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  3.72599984e+01 -2.88760722e-02  1.00000000e+00  0.00000000e+00  3.72599984e+01 -2.88760722e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.43181188e+00  3.72599975e+01 -2.94355017e-02  1.00000000e+00  0.00000000e+00  3.72599975e+01 -2.94355017e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.55641849e+00  3.72599965e+01 -3.00057692e-02  1.00000000e+00  0.00000000e+00  3.72599965e+01 -3.00057692e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.68343918e+00  3.72599956e+01 -3.05870847e-02  1.00000000e+00  0.00000000e+00  3.72599956e+01 -3.05870847e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.81292069e+00  3.72599945e+01 -3.11796623e-02  1.00000000e+00  0.00000000e+00  3.72599945e+01 -3.11796623e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.94491071e+00  3.72599935e+01 -3.17837201e-02  1.00000000e+00  0.00000000e+00  3.72599935e+01 -3.17837201e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.07945784e+00  3.72599924e+01 -3.23994806e-02  1.00000000e+00  0.00000000e+00  3.72599924e+01 -3.23994806e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.21661162e+00  3.72599913e+01 -3.30271705e-02  1.00000000e+00  0.00000000e+00  3.72599913e+01 -3.30271705e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.35642254e+00  3.72599901e+01 -3.36670208e-02  1.00000000e+00  0.00000000e+00  3.72599901e+01 -3.36670208e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.49894209e+00  3.72599889e+01 -3.43192672e-02  1.00000000e+00  0.00000000e+00  3.72599889e+01 -3.43192672e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.64422274e+00  3.72599876e+01 -3.49841498e-02  1.00000000e+00  0.00000000e+00  3.72599876e+01 -3.49841498e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.79231798e+00  3.72599863e+01 -3.56619134e-02  1.00000000e+00  0.00000000e+00  3.72599863e+01 -3.56619134e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  3.72599849e+01 -3.63528076e-02  1.00000000e+00  0.00000000e+00  3.72599849e+01 -3.63528076e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.09717142e+00  3.72599835e+01 -3.70570868e-02  1.00000000e+00  0.00000000e+00  3.72599835e+01 -3.70570868e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.25404185e+00  3.72599820e+01 -3.77750102e-02  1.00000000e+00  0.00000000e+00  3.72599820e+01 -3.77750102e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.41395142e+00  3.72599805e+01 -3.85068422e-02  1.00000000e+00  0.00000000e+00  3.72599805e+01 -3.85068422e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.57695899e+00  3.72599789e+01 -3.92528522e-02  1.00000000e+00  0.00000000e+00  3.72599789e+01 -3.92528522e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.74312458e+00  3.72599772e+01 -4.00133150e-02  1.00000000e+00  0.00000000e+00  3.72599772e+01 -4.00133150e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.91250938e+00  3.72599755e+01 -4.07885104e-02  1.00000000e+00  0.00000000e+00  3.72599755e+01 -4.07885104e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.08517576e+00  3.72599737e+01 -4.15787240e-02  1.00000000e+00  0.00000000e+00  3.72599737e+01 -4.15787240e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.26118728e+00  3.72599718e+01 -4.23842466e-02  1.00000000e+00  0.00000000e+00  3.72599718e+01 -4.23842466e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.44060876e+00  3.72599699e+01 -4.32053749e-02  1.00000000e+00  0.00000000e+00  3.72599699e+01 -4.32053749e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.62350626e+00  3.72599679e+01 -4.40424112e-02  1.00000000e+00  0.00000000e+00  3.72599679e+01 -4.40424112e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.80994713e+00  3.72599658e+01 -4.48956637e-02  1.00000000e+00  0.00000000e+00  3.72599658e+01 -4.48956637e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  3.72599636e+01 -4.57654464e-02  1.00000000e+00  0.00000000e+00  3.72599636e+01 -4.57654464e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+01  3.72599613e+01 -4.66520798e-02  1.00000000e+00  0.00000000e+00  3.72599613e+01 -4.66520798e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+01  3.72599590e+01 -4.75558901e-02  1.00000000e+00  0.00000000e+00  3.72599590e+01 -4.75558901e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+01  3.72599566e+01 -4.84772102e-02  1.00000000e+00  0.00000000e+00  3.72599566e+01 -4.84772102e-02	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
