frequency_hz,dm_tian_real,dm_tian_imag,dm_old_real,dm_old_imag,input_cm_tian_real,input_cm_tian_imag,input_cm_old_real,input_cm_old_imag,stage1_cm_tian_real,stage1_cm_tian_imag,stage1_cm_old_real,stage1_cm_old_imag,output_cm_tian_real,output_cm_tian_imag,output_cm_old_real,output_cm_old_imag
2.238721138568342983e+00,1.676663173838349792e+02,-6.642949820207101619e-02,1.676663174067971056e+02,-6.639528253818853532e-02,-1.005752356672507883e-03,-1.455562188159063092e-10,-1.005752356672871307e-03,1.965134130529985836e-08,7.379777170966791573e+02,-2.395434811378725770e-01,7.379777225752253571e+02,-2.307846265394659646e-01,1.249112187991659653e+02,-4.471236281459672370e-03,1.249112187996750976e+02,-4.461380459160075446e-03
2.282092971067454013e+00,1.676663163544779138e+02,-6.771646873581078918e-02,1.676663163783567541e+02,-6.768159019577164870e-02,-1.005752356672507883e-03,-1.483761501744082627e-10,-1.005752356672899497e-03,2.003205628975811772e-08,7.379777140540716118e+02,-2.441842723944840365e-01,7.379777197469517205e+02,-2.352557283535218757e-01,1.249112187929542159e+02,-4.557859714463166623e-03,1.249112187934730542e+02,-4.547812950529025317e-03
2.326305067153628947e+00,1.676663152848742300e+02,-6.902837235048354947e-02,1.676663153096779411e+02,-6.899281809207427618e-02,-1.005752356673172716e-03,-1.512507134333642001e-10,-1.005752356672882366e-03,2.042014705061454054e-08,7.379777108921932722e+02,-2.489149718954246915e-01,7.379777168078179557e+02,-2.398134509420532801e-01,1.249112187864818111e+02,-4.646161345313305942e-03,1.249112187870291137e+02,-4.635919940540922553e-03
2.371373705661659059e+00,1.676663141734131557e+02,-7.036569208529407093e-02,1.676663141991829491e+02,-7.032944901753022948e-02,-1.005752356673172716e-03,-1.541809670032269610e-10,-1.005752356672917711e-03,2.081575648236941226e-08,7.379777076064551693e+02,-2.537373214733066873e-01,7.379777137538122815e+02,-2.444594724484502879e-01,1.249112187797727387e+02,-4.736173686554160517e-03,1.249112187803354885e+02,-4.725733870071017161e-03
2.417315480804107963e+00,1.676663130184604142e+02,-7.172892033754510455e-02,1.676663130452408268e+02,-7.169197511582792171e-02,-1.005752356672951105e-03,-1.571679897994038432e-10,-1.005752356672952623e-03,2.121903024788767867e-08,7.379777041926321317e+02,-2.586530967062883879e-01,7.379777105803279937e+02,-2.491955035271277985e-01,1.249112187727907042e+02,-4.827929880606621378e-03,1.249112187733841353e+02,-4.817287808487392443e-03
2.464147308281285031e+00,1.676663118183275287e+02,-7.311855904390821004e-02,1.676663118461680710e+02,-7.308089806511280928e-02,-1.005752356672729494e-03,-1.602128816397868878e-10,-1.005752356672980161e-03,2.163011683203175855e-08,7.379777006453400645e+02,-2.636641075707746307e-01,7.379777072829485860e+02,-2.540232879738869576e-01,1.249112187655465362e+02,-4.921463711979335784e-03,1.249112187661543061e+02,-4.910615465826023707e-03
2.511886431509584128e+00,1.676663105712662798e+02,-7.453511986522808053e-02,1.676663106001801680e+02,-7.449672926265847595e-02,-1.005752356672951105e-03,-1.633167636493685597e-10,-1.005752356672984498e-03,2.204916759633338455e-08,7.379776970750401688e+02,-2.687721991930009380e-01,7.379777039725087207e+02,-2.589446034487440929e-01,1.249112187580155364e+02,-5.016809619701919666e-03,1.249112187586423346e+02,-5.005751205205133392e-03
2.560550427970480047e+00,1.676663092754026252e+02,-7.597912437485068726e-02,1.676663093054478111e+02,-7.593999001320506093e-02,-1.005752356673394327e-03,-1.664807786734499744e-10,-1.005752356672996641e-03,2.247633683472485390e-08,7.379776932448338584e+02,-2.739792521926106561e-01,7.379777004118935793e+02,-2.639612618069008820e-01,1.249112187501777811e+02,-5.114002710008315467e-03,1.249112187508390264e+02,-5.102730055475858048e-03
2.610157215682541221e+00,1.676663079288449580e+02,-7.745110425075465987e-02,1.676663079600685649e+02,-7.741121172087248037e-02,-1.005752356673172716e-03,-1.697060916980141886e-10,-1.005752356673002279e-03,2.291178183034987562e-08,7.379776892643418478e+02,-2.792871838756876834e-01,7.379776967118555149e+02,-2.690751102495396174e-01,1.249112187420446531e+02,-5.213078769265161450e-03,1.249112187427240599e+02,-5.201587724119369205e-03
2.660725059798814129e+00,1.676663065295798845e+02,-7.895160147121632610e-02,1.676663065620422230e+02,-7.891093608479488042e-02,-1.005752356673172716e-03,-1.729938902791762211e-10,-1.005752356673027866e-03,2.335566291347480286e-08,7.379776851281958443e+02,-2.846979486093615952e-01,7.379776928672033591e+02,-2.742880316831045051e-01,1.249112187335795312e+02,-5.314074277141763759e-03,1.249112187342961136e+02,-5.302360610396759932e-03
2.712272579332033029e+00,1.676663050755927600e+02,-8.048116851446970865e-02,1.676663051093167383e+02,-8.043971529860810543e-02,-1.005752356673172716e-03,-1.763453849799123926e-10,-1.005752356673070150e-03,2.380814352052217721e-08,7.379776808303133748e+02,-2.902135386230126346e-01,7.379776888719287626e+02,-2.796019454917903491e-01,1.249112187248016568e+02,-5.417026420050484112e-03,1.249112187255427955e+02,-5.405085818748764544e-03
2.764818754010113011e+00,1.676663035647318623e+02,-8.204036856199593830e-02,1.676663035997725046e+02,-8.199811225374772916e-02,-1.005752356673172716e-03,-1.797618098160740702e-10,-1.005752356673066464e-03,2.426939025424777754e-08,7.379776763641921207e+02,-2.958359847419891886e-01,7.379776847205279182e+02,-2.850188082452184690e-01,1.249112187156769807e+02,-5.521973104829560296e-03,1.249112187164406862e+02,-5.509801172457495268e-03
