tag,vcm_v,device,role,drain_current_ua,vdsat_abs_v,saturation_margin_v,saturation_status,manifest_sha256
first_stage_l2,0.8,M1,"NMOS input, VINN side",18.5384207,0.0761399971,0.5177511269,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.8,M2,"NMOS input, VINP side",18.514252399999997,0.0760049464,0.5590420826,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.8,M3,"PMOS diode mirror load, two units",18.5384194,0.0843355489,0.9620389951000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.8,M4,"PMOS mirror output load, two units",18.5142512,0.0843336025,0.9208850365000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.8,M5,NMOS tail current source,37.0526726,0.0985644859,0.06116984610000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.8,M6,NMOS second-stage gain device,84.6288432,0.160056557,0.640222657,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.8,M7,PMOS second-stage current source,92.6316351,0.164472183,0.835248603,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.8,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.8,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.8,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,M1,"NMOS input, VINN side",19.184983900000002,0.0777082171,0.43342571090000004,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,M2,"NMOS input, VINP side",19.160424799999998,0.0775633483,0.4741600357,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,M3,"PMOS diode mirror load, two units",19.1849828,0.0853081109,0.9632157110999999,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,M4,"PMOS mirror output load, two units",19.1604182,0.0853061627,0.9226282033000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,M5,NMOS tail current source,38.3454022,0.098564541,0.141777709,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,M6,NMOS second-stage gain device,83.26260860000001,0.158427668,0.741864311,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,M7,PMOS second-stage current source,92.2655284,0.164441186,0.735266835,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,M1,"NMOS input, VINN side",20.2298832,0.0823823405,0.09521244150000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,M2,"NMOS input, VINP side",20.208926100000003,0.0820628751,0.12864941390000006,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,M3,"PMOS diode mirror load, two units",20.229881799999998,0.0868497877,0.9650179213000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,M4,"PMOS mirror output load, two units",20.208924800000002,0.0868481619,0.9319020401000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,M5,NMOS tail current source,40.4388076,0.0985647668,0.4719727422,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,M6,NMOS second-stage gain device,77.3499877,0.151924802,1.148676448,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,M7,PMOS second-stage current source,90.3561984,0.164317137,0.3350816130000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.8,M1,"NMOS input, VINN side",18.6270984,0.0768091946,0.49526039739999994,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.8,M2,"NMOS input, VINP side",18.6070761,0.076655197,0.550816993,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.8,M3,"PMOS diode mirror load, two units",18.627072599999998,0.083173172,0.9774489070000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
