 frequency       lr              li             
 3.54813389e+00 -6.66713227e+02 -2.44309098e-01 
 3.63078055e+00 -6.66713222e+02 -2.49999786e-01 
 3.71535229e+00 -6.66713218e+02 -2.55823028e-01 
 3.80189396e+00 -6.66713213e+02 -2.61781910e-01 
 3.89045145e+00 -6.66713208e+02 -2.67879592e-01 
 3.98107171e+00 -6.66713203e+02 -2.74119307e-01 
 4.07380278e+00 -6.66713198e+02 -2.80504363e-01 
 4.16869383e+00 -6.66713192e+02 -2.87038147e-01 
 4.26579519e+00 -6.66713187e+02 -2.93724122e-01 
 4.36515832e+00 -6.66713181e+02 -3.00565833e-01 
 4.46683592e+00 -6.66713174e+02 -3.07566907e-01 
 4.57088190e+00 -6.66713167e+02 -3.14731058e-01 
 4.67735141e+00 -6.66713160e+02 -3.22062082e-01 
 4.78630092e+00 -6.66713153e+02 -3.29563868e-01 
 4.89778819e+00 -6.66713145e+02 -3.37240393e-01 
 5.01187234e+00 -6.66713137e+02 -3.45095727e-01 
 5.12861384e+00 -6.66713129e+02 -3.53134034e-01 
 5.24807460e+00 -6.66713120e+02 -3.61359578e-01 
 5.37031796e+00 -6.66713110e+02 -3.69776718e-01 
 5.49540874e+00 -6.66713101e+02 -3.78389919e-01 
 5.62341325e+00 -6.66713090e+02 -3.87203746e-01 
 5.75439937e+00 -6.66713080e+02 -3.96222874e-01 
 5.88843655e+00 -6.66713068e+02 -4.05452083e-01 
 6.02559586e+00 -6.66713057e+02 -4.14896268e-01 
 6.16595002e+00 -6.66713044e+02 -4.24560436e-01 
 6.30957344e+00 -6.66713032e+02 -4.34449710e-01 
 6.45654229e+00 -6.66713018e+02 -4.44569335e-01 
 6.60693448e+00 -6.66713004e+02 -4.54924676e-01 
 6.76082975e+00 -6.66712989e+02 -4.65521222e-01 
 6.91830971e+00 -6.66712974e+02 -4.76364593e-01 
 7.07945784e+00 -6.66712958e+02 -4.87460538e-01 
 7.24435960e+00 -6.66712941e+02 -4.98814940e-01 
 7.41310241e+00 -6.66712923e+02 -5.10433819e-01 
 7.58577575e+00 -6.66712904e+02 -5.22323335e-01 
 7.76247117e+00 -6.66712885e+02 -5.34489793e-01 
 7.94328235e+00 -6.66712865e+02 -5.46939642e-01 
 8.12830516e+00 -6.66712843e+02 -5.59679485e-01 
 8.31763771e+00 -6.66712821e+02 -5.72716076e-01 
 8.51138038e+00 -6.66712798e+02 -5.86056327e-01 
 8.70963590e+00 -6.66712773e+02 -5.99707310e-01 
 8.91250938e+00 -6.66712748e+02 -6.13676264e-01 
 9.12010839e+00 -6.66712721e+02 -6.27970595e-01 
 9.33254301e+00 -6.66712693e+02 -6.42597882e-01 
 9.54992586e+00 -6.66712663e+02 -6.57565880e-01 
 9.77237221e+00 -6.66712632e+02 -6.72882525e-01 
 1.00000000e+01 -6.66712600e+02 -6.88555939e-01 
 1.02329299e+01 -6.66712566e+02 -7.04594431e-01 
 1.04712855e+01 -6.66712531e+02 -7.21006505e-01 
 1.07151931e+01 -6.66712494e+02 -7.37800863e-01 
 1.09647820e+01 -6.66712455e+02 -7.54986409e-01 
 1.12201845e+01 -6.66712415e+02 -7.72572254e-01 
 1.14815362e+01 -6.66712372e+02 -7.90567723e-01 
 1.17489755e+01 -6.66712327e+02 -8.08982356e-01 
 1.20226443e+01 -6.66712281e+02 -8.27825917e-01 
 1.23026877e+01 -6.66712232e+02 -8.47108397e-01 
 1.25892541e+01 -6.66712181e+02 -8.66840020e-01 
 1.28824955e+01 -6.66712127e+02 -8.87031246e-01 
 1.31825674e+01 -6.66712071e+02 -9.07692781e-01 
 1.34896288e+01 -6.66712012e+02 -9.28835579e-01 
 1.38038426e+01 -6.66711951e+02 -9.50470851e-01 
 1.41253754e+01 -6.66711886e+02 -9.72610066e-01 
 1.44543977e+01 -6.66711819e+02 -9.95264963e-01 
 1.47910839e+01 -6.66711749e+02 -1.01844755e+00 
 1.51356125e+01 -6.66711675e+02 -1.04217013e+00 
 1.54881662e+01 -6.66711597e+02 -1.06644526e+00 
 1.58489319e+01 -6.66711516e+02 -1.09128583e+00 
 1.62181010e+01 -6.66711431e+02 -1.11670500e+00 
 1.65958691e+01 -6.66711342e+02 -1.14271625e+00 
 1.69824365e+01 -6.66711249e+02 -1.16933336e+00 
 1.73780083e+01 -6.66711152e+02 -1.19657046e+00 
 1.77827941e+01 -6.66711050e+02 -1.22444198e+00 
 1.81970086e+01 -6.66710943e+02 -1.25296269e+00 
 1.86208714e+01 -6.66710831e+02 -1.28214773e+00 
 1.90546072e+01 -6.66710714e+02 -1.31201255e+00 
 1.94984460e+01 -6.66710591e+02 -1.34257300e+00 
 1.99526231e+01 -6.66710463e+02 -1.37384528e+00 
 2.04173794e+01 -6.66710328e+02 -1.40584596e+00 
 2.08929613e+01 -6.66710187e+02 -1.43859201e+00 
 2.13796209e+01 -6.66710040e+02 -1.47210080e+00 
 2.18776162e+01 -6.66709886e+02 -1.50639008e+00 
 2.23872114e+01 -6.66709724e+02 -1.54147803e+00 
 2.29086765e+01 -6.66709555e+02 -1.57738326e+00 
 2.34422882e+01 -6.66709377e+02 -1.61412481e+00 
 2.39883292e+01 -6.66709191e+02 -1.65172214e+00 
 2.45470892e+01 -6.66708997e+02 -1.69019520e+00 
 2.51188643e+01 -6.66708793e+02 -1.72956437e+00 
 2.57039578e+01 -6.66708580e+02 -1.76985053e+00 
 2.63026799e+01 -6.66708357e+02 -1.81107503e+00 
 2.69153480e+01 -6.66708123e+02 -1.85325973e+00 
 2.75422870e+01 -6.66707879e+02 -1.89642699e+00 
 2.81838293e+01 -6.66707622e+02 -1.94059970e+00 
 2.88403150e+01 -6.66707354e+02 -1.98580127e+00 
 2.95120923e+01 -6.66707073e+02 -2.03205566e+00 
 3.01995172e+01 -6.66706778e+02 -2.07938739e+00 
 3.09029543e+01 -6.66706470e+02 -2.12782155e+00 
 3.16227766e+01 -6.66706148e+02 -2.17738382e+00 
 3.23593657e+01 -6.66705810e+02 -2.22810047e+00 
 3.31131121e+01 -6.66705456e+02 -2.27999837e+00 
 3.38844156e+01 -6.66705085e+02 -2.33310505e+00 
 3.46736850e+01 -6.66704698e+02 -2.38744865e+00 
 3.54813389e+01 -6.66704291e+02 -2.44305797e+00 
 3.63078055e+01 -6.66703866e+02 -2.49996249e+00 
 3.71535229e+01 -6.66703420e+02 -2.55819238e+00 
 3.80189396e+01 -6.66702954e+02 -2.61777849e+00 
 3.89045145e+01 -6.66702466e+02 -2.67875240e+00 
 3.98107171e+01 -6.66701954e+02 -2.74114644e+00 
 4.07380278e+01 -6.66701419e+02 -2.80499367e+00 
 4.16869383e+01 -6.66700858e+02 -2.87032794e+00 
 4.26579519e+01 -6.66700271e+02 -2.93718386e+00 
 4.36515832e+01 -6.66699656e+02 -3.00559686e+00 
 4.46683592e+01 -6.66699012e+02 -3.07560321e+00 
 4.57088190e+01 -6.66698338e+02 -3.14724001e+00 
 4.67735141e+01 -6.66697632e+02 -3.22054520e+00 
 4.78630092e+01 -6.66696893e+02 -3.29555766e+00 
 4.89778819e+01 -6.66696119e+02 -3.37231711e+00 
 5.01187234e+01 -6.66695309e+02 -3.45086424e+00 
 5.12861384e+01 -6.66694460e+02 -3.53124066e+00 
 5.24807460e+01 -6.66693571e+02 -3.61348896e+00 
 5.37031796e+01 -6.66692641e+02 -3.69765273e+00 
 5.49540874e+01 -6.66691666e+02 -3.78377655e+00 
 5.62341325e+01 -6.66690646e+02 -3.87190606e+00 
 5.75439937e+01 -6.66689577e+02 -3.96208793e+00 
 5.88843655e+01 -6.66688459e+02 -4.05436996e+00 
 6.02559586e+01 -6.66687287e+02 -4.14880102e+00 
 6.16595002e+01 -6.66686060e+02 -4.24543113e+00 
 6.30957344e+01 -6.66684776e+02 -4.34431149e+00 
 6.45654229e+01 -6.66683431e+02 -4.44549446e+00 
 6.60693448e+01 -6.66682023e+02 -4.54903364e+00 
 6.76082975e+01 -6.66680548e+02 -4.65498386e+00 
 6.91830971e+01 -6.66679003e+02 -4.76340124e+00 
 7.07945784e+01 -6.66677386e+02 -4.87434319e+00 
 7.24435960e+01 -6.66675693e+02 -4.98786846e+00 
 7.41310241e+01 -6.66673920e+02 -5.10403716e+00 
 7.58577575e+01 -6.66672063e+02 -5.22291079e+00 
 7.76247117e+01 -6.66670119e+02 -5.34455230e+00 
 7.94328235e+01 -6.66668084e+02 -5.46902608e+00 
 8.12830516e+01 -6.66665952e+02 -5.59639802e+00 
 8.31763771e+01 -6.66663720e+02 -5.72673555e+00 
 8.51138038e+01 -6.66661383e+02 -5.86010764e+00 
 8.70963590e+01 -6.66658935e+02 -5.99658489e+00 
 8.91250938e+01 -6.66656373e+02 -6.13623952e+00 
 9.12010839e+01 -6.66653689e+02 -6.27914542e+00 
 9.33254301e+01 -6.66650879e+02 -6.42537820e+00 
 9.54992586e+01 -6.66647937e+02 -6.57501523e+00 
 9.77237221e+01 -6.66644856e+02 -6.72813566e+00 
 1.00000000e+02 -6.66641630e+02 -6.88482049e+00 
 1.02329299e+02 -6.66638252e+02 -7.04515257e+00 
 1.04712855e+02 -6.66634714e+02 -7.20921669e+00 
 1.07151931e+02 -6.66631010e+02 -7.37709959e+00 
 1.09647820e+02 -6.66627132e+02 -7.54889004e+00 
 1.12201845e+02 -6.66623071e+02 -7.72467884e+00 
 1.14815362e+02 -6.66618818e+02 -7.90455889e+00 
 1.17489755e+02 -6.66614365e+02 -8.08862525e+00 
 1.20226443e+02 -6.66609703e+02 -8.27697517e+00 
 1.23026877e+02 -6.66604820e+02 -8.46970814e+00 
 1.25892541e+02 -6.66599708e+02 -8.66692598e+00 
 1.28824955e+02 -6.66594354e+02 -8.86873282e+00 
 1.31825674e+02 -6.66588749e+02 -9.07523521e+00 
 1.34896288e+02 -6.66582879e+02 -9.28654216e+00 
 1.38038426e+02 -6.66576733e+02 -9.50276518e+00 
 1.41253754e+02 -6.66570298e+02 -9.72401837e+00 
 1.44543977e+02 -6.66563559e+02 -9.95041844e+00 
 1.47910839e+02 -6.66556503e+02 -1.01820848e+01 
 1.51356125e+02 -6.66549114e+02 -1.04191396e+01 
 1.54881662e+02 -6.66541377e+02 -1.06617078e+01 
 1.58489319e+02 -6.66533276e+02 -1.09099172e+01 
 1.62181010e+02 -6.66524794e+02 -1.11638986e+01 
 1.65958691e+02 -6.66515912e+02 -1.14237857e+01 
 1.69824365e+02 -6.66506611e+02 -1.16897154e+01 
 1.73780083e+02 -6.66496873e+02 -1.19618276e+01 
 1.77827941e+02 -6.66486675e+02 -1.22402656e+01 
 1.81970086e+02 -6.66475998e+02 -1.25251757e+01 
 1.86208714e+02 -6.66464818e+02 -1.28167078e+01 
 1.90546072e+02 -6.66453111e+02 -1.31150150e+01 
 1.94984460e+02 -6.66440853e+02 -1.34202541e+01 
 1.99526231e+02 -6.66428017e+02 -1.37325854e+01 
 2.04173794e+02 -6.66414578e+02 -1.40521727e+01 
 2.08929613e+02 -6.66400505e+02 -1.43791837e+01 
 2.13796209e+02 -6.66385770e+02 -1.47137899e+01 
 2.18776162e+02 -6.66370341e+02 -1.50561667e+01 
 2.23872114e+02 -6.66354186e+02 -1.54064933e+01 
 2.29086765e+02 -6.66337270e+02 -1.57649532e+01 
 2.34422882e+02 -6.66319558e+02 -1.61317338e+01 
 2.39883292e+02 -6.66301013e+02 -1.65070270e+01 
 2.45470892e+02 -6.66281594e+02 -1.68910287e+01 
 2.51188643e+02 -6.66261261e+02 -1.72839396e+01 
 2.57039578e+02 -6.66239972e+02 -1.76859645e+01 
 2.63026799e+02 -6.66217681e+02 -1.80973131e+01 
 2.69153480e+02 -6.66194340e+02 -1.85181996e+01 
 2.75422870e+02 -6.66169902e+02 -1.89488431e+01 
 2.81838293e+02 -6.66144313e+02 -1.93894675e+01 
 2.88403150e+02 -6.66117521e+02 -1.98403018e+01 
 2.95120923e+02 -6.66089469e+02 -2.03015798e+01 
 3.01995172e+02 -6.66060097e+02 -2.07735408e+01 
 3.09029543e+02 -6.66029343e+02 -2.12564293e+01 
 3.16227766e+02 -6.65997143e+02 -2.17504950e+01 
 3.23593657e+02 -6.65963429e+02 -2.22559932e+01 
 3.31131121e+02 -6.65928130e+02 -2.27731849e+01 
 3.38844156e+02 -6.65891171e+02 -2.33023367e+01 
 3.46736850e+02 -6.65852476e+02 -2.38437209e+01 
 3.54813389e+02 -6.65811961e+02 -2.43976158e+01 
 3.63078055e+02 -6.65769542e+02 -2.49643058e+01 
 3.71535229e+02 -6.65725129e+02 -2.55440812e+01 
 3.80189396e+02 -6.65678630e+02 -2.61372387e+01 
 3.89045145e+02 -6.65629947e+02 -2.67440813e+01 
 3.98107171e+02 -6.65578977e+02 -2.73649183e+01 
 4.07380278e+02 -6.65525613e+02 -2.80000657e+01 
 4.16869383e+02 -6.65469743e+02 -2.86498462e+01 
 4.26579519e+02 -6.65411251e+02 -2.93145890e+01 
 4.36515832e+02 -6.65350013e+02 -2.99946304e+01 
 4.46683592e+02 -6.65285901e+02 -3.06903135e+01 
 4.57088190e+02 -6.65218781e+02 -3.14019885e+01 
 4.67735141e+02 -6.65148512e+02 -3.21300128e+01 
 4.78630092e+02 -6.65074948e+02 -3.28747510e+01 
 4.89778819e+02 -6.64997934e+02 -3.36365752e+01 
 5.01187234e+02 -6.64917310e+02 -3.44158647e+01 
 5.12861384e+02 -6.64832908e+02 -3.52130063e+01 
 5.24807460e+02 -6.64744551e+02 -3.60283948e+01 
 5.37031796e+02 -6.64652055e+02 -3.68624322e+01 
 5.49540874e+02 -6.64555227e+02 -3.77155285e+01 
 5.62341325e+02 -6.64453867e+02 -3.85881016e+01 
 5.75439937e+02 -6.64347763e+02 -3.94805771e+01 
 5.88843655e+02 -6.64236696e+02 -4.03933886e+01 
 6.02559586e+02 -6.64120434e+02 -4.13269777e+01 
 6.16595002e+02 -6.63998736e+02 -4.22817941e+01 
 6.30957344e+02 -6.63871352e+02 -4.32582955e+01 
 6.45654229e+02 -6.63738017e+02 -4.42569476e+01 
 6.60693448e+02 -6.63598456e+02 -4.52782242e+01 
 6.76082975e+02 -6.63452380e+02 -4.63226073e+01 
 6.91830971e+02 -6.63299491e+02 -4.73905868e+01 
 7.07945784e+02 -6.63139471e+02 -4.84826607e+01 
 7.24435960e+02 -6.62971994e+02 -4.95993350e+01 
 7.41310241e+02 -6.62796715e+02 -5.07411237e+01 
 7.58577575e+02 -6.62613275e+02 -5.19085484e+01 
 7.76247117e+02 -6.62421300e+02 -5.31021386e+01 
 7.94328235e+02 -6.62220398e+02 -5.43224315e+01 
 8.12830516e+02 -6.62010159e+02 -5.55699714e+01 
 8.31763771e+02 -6.61790156e+02 -5.68453103e+01 
 8.51138038e+02 -6.61559942e+02 -5.81490070e+01 
 8.70963590e+02 -6.61319051e+02 -5.94816274e+01 
 8.91250938e+02 -6.61066998e+02 -6.08437439e+01 
 9.12010839e+02 -6.60803273e+02 -6.22359350e+01 
 9.33254301e+02 -6.60527346e+02 -6.36587856e+01 
 9.54992586e+02 -6.60238664e+02 -6.51128859e+01 
 9.77237221e+02 -6.59936650e+02 -6.65988315e+01 
 1.00000000e+03 -6.59620700e+02 -6.81172225e+01 
 1.02329299e+03 -6.59290187e+02 -6.96686636e+01 
 1.04712855e+03 -6.58944455e+02 -7.12537630e+01 
 1.07151931e+03 -6.58582821e+02 -7.28731321e+01 
 1.09647820e+03 -6.58204572e+02 -7.45273847e+01 
 1.12201845e+03 -6.57808965e+02 -7.62171362e+01 
 1.14815362e+03 -6.57395228e+02 -7.79430034e+01 
 1.17489755e+03 -6.56962555e+02 -7.97056027e+01 
 1.20226443e+03 -6.56510105e+02 -8.15055500e+01 
 1.23026877e+03 -6.56037004e+02 -8.33434591e+01 
 1.25892541e+03 -6.55542343e+02 -8.52199411e+01 
 1.28824955e+03 -6.55025175e+02 -8.71356030e+01 
 1.31825674e+03 -6.54484515e+02 -8.90910463e+01 
 1.34896288e+03 -6.53919337e+02 -9.10868659e+01 
 1.38038426e+03 -6.53328578e+02 -9.31236486e+01 
 1.41253754e+03 -6.52711129e+02 -9.52019713e+01 
 1.44543977e+03 -6.52065841e+02 -9.73223996e+01 
 1.47910839e+03 -6.51391518e+02 -9.94854858e+01 
 1.51356125e+03 -6.50686921e+02 -1.01691767e+02 
 1.54881662e+03 -6.49950762e+02 -1.03941764e+02 
 1.58489319e+03 -6.49181708e+02 -1.06235976e+02 
 1.62181010e+03 -6.48378373e+02 -1.08574883e+02 
 1.65958691e+03 -6.47539324e+02 -1.10958940e+02 
 1.69824365e+03 -6.46663076e+02 -1.13388575e+02 
 1.73780083e+03 -6.45748090e+02 -1.15864185e+02 
 1.77827941e+03 -6.44792776e+02 -1.18386136e+02 
 1.81970086e+03 -6.43795489e+02 -1.20954760e+02 
 1.86208714e+03 -6.42754531e+02 -1.23570347e+02 
 1.90546072e+03 -6.41668145e+02 -1.26233146e+02 
 1.94984460e+03 -6.40534522e+02 -1.28943360e+02 
 1.99526231e+03 -6.39351793e+02 -1.31701141e+02 
 2.04173794e+03 -6.38118035e+02 -1.34506588e+02 
 2.08929613e+03 -6.36831268e+02 -1.37359743e+02 
 2.13796209e+03 -6.35489455e+02 -1.40260584e+02 
 2.18776162e+03 -6.34090501e+02 -1.43209021e+02 
 2.23872114e+03 -6.32632259e+02 -1.46204895e+02 
 2.29086765e+03 -6.31112524e+02 -1.49247968e+02 
 2.34422882e+03 -6.29529037e+02 -1.52337920e+02 
 2.39883292e+03 -6.27879490e+02 -1.55474345e+02 
 2.45470892e+03 -6.26161521e+02 -1.58656744e+02 
 2.51188643e+03 -6.24372719e+02 -1.61884519e+02 
 2.57039578e+03 -6.22510628e+02 -1.65156969e+02 
 2.63026799e+03 -6.20572748e+02 -1.68473281e+02 
 2.69153480e+03 -6.18556539e+02 -1.71832529e+02 
 2.75422870e+03 -6.16459424e+02 -1.75233662e+02 
 2.81838293e+03 -6.14278793e+02 -1.78675505e+02 
 2.88403150e+03 -6.12012008e+02 -1.82156744e+02 
 2.95120923e+03 -6.09656410e+02 -1.85675929e+02 
 3.01995172e+03 -6.07209323e+02 -1.89231460e+02 
 3.09029543e+03 -6.04668058e+02 -1.92821587e+02 
 3.16227766e+03 -6.02029926e+02 -1.96444401e+02 
 3.23593657e+03 -5.99292240e+02 -2.00097828e+02 
 3.31131121e+03 -5.96452326e+02 -2.03779628e+02 
 3.38844156e+03 -5.93507532e+02 -2.07487381e+02 
 3.46736850e+03 -5.90455238e+02 -2.11218492e+02 
 3.54813389e+03 -5.87292862e+02 -2.14970180e+02 
 3.63078055e+03 -5.84017879e+02 -2.18739477e+02 
 3.71535229e+03 -5.80627824e+02 -2.22523223e+02 
 3.80189396e+03 -5.77120311e+02 -2.26318066e+02 
 3.89045145e+03 -5.73493043e+02 -2.30120454e+02 
 3.98107171e+03 -5.69743825e+02 -2.33926642e+02 
 4.07380278e+03 -5.65870580e+02 -2.37732684e+02 
 4.16869383e+03 -5.61871364e+02 -2.41534440e+02 
 4.26579519e+03 -5.57744377e+02 -2.45327573e+02 
 4.36515832e+03 -5.53487987e+02 -2.49107554e+02 
 4.46683592e+03 -5.49100735e+02 -2.52869665e+02 
 4.57088190e+03 -5.44581360e+02 -2.56609004e+02 
 4.67735141e+03 -5.39928814e+02 -2.60320494e+02 
 4.78630092e+03 -5.35142274e+02 -2.63998889e+02 
 4.89778819e+03 -5.30221162e+02 -2.67638782e+02 
 5.01187234e+03 -5.25165162e+02 -2.71234621e+02 
 5.12861384e+03 -5.19974231e+02 -2.74780717e+02 
 5.24807460e+03 -5.14648620e+02 -2.78271260e+02 
 5.37031796e+03 -5.09188886e+02 -2.81700335e+02 
 5.49540874e+03 -5.03595903e+02 -2.85061939e+02 
 5.62341325e+03 -4.97870881e+02 -2.88349999e+02 
 5.75439937e+03 -4.92015372e+02 -2.91558397e+02 
 5.88843655e+03 -4.86031283e+02 -2.94680985e+02 
 6.02559586e+03 -4.79920886e+02 -2.97711611e+02 
 6.16595002e+03 -4.73686818e+02 -3.00644149e+02 
 6.30957344e+03 -4.67332098e+02 -3.03472515e+02 
 6.45654229e+03 -4.60860118e+02 -3.06190700e+02 
 6.60693448e+03 -4.54274653e+02 -3.08792798e+02 
 6.76082975e+03 -4.47579854e+02 -3.11273030e+02 
 6.91830971e+03 -4.40780247e+02 -3.13625773e+02 
 7.07945784e+03 -4.33880727e+02 -3.15845593e+02 
 7.24435960e+03 -4.26886547e+02 -3.17927268e+02 
 7.41310241e+03 -4.19803312e+02 -3.19865819e+02 
 7.58577575e+03 -4.12636957e+02 -3.21656538e+02 
 7.76247117e+03 -4.05393738e+02 -3.23295012e+02 
 7.94328235e+03 -3.98080211e+02 -3.24777152e+02 
 8.12830516e+03 -3.90703208e+02 -3.26099214e+02 
 8.31763771e+03 -3.83269818e+02 -3.27257822e+02 
 8.51138038e+03 -3.75787357e+02 -3.28249993e+02 
 8.70963590e+03 -3.68263345e+02 -3.29073149e+02 
 8.91250938e+03 -3.60705471e+02 -3.29725137e+02 
 9.12010839e+03 -3.53121568e+02 -3.30204241e+02 
 9.33254301e+03 -3.45519578e+02 -3.30509194e+02 
 9.54992586e+03 -3.37907518e+02 -3.30639186e+02 
 9.77237221e+03 -3.30293449e+02 -3.30593870e+02 
 1.00000000e+04 -3.22685441e+02 -3.30373361e+02 
 1.02329299e+04 -3.15091535e+02 -3.29978238e+02 
 1.04712855e+04 -3.07519716e+02 -3.29409542e+02 
 1.07151931e+04 -2.99977874e+02 -3.28668763e+02 
 1.09647820e+04 -2.92473776e+02 -3.27757837e+02 
 1.12201845e+04 -2.85015027e+02 -3.26679133e+02 
 1.14815362e+04 -2.77609050e+02 -3.25435431e+02 
 1.17489755e+04 -2.70263049e+02 -3.24029916e+02 
 1.20226443e+04 -2.62983988e+02 -3.22466147e+02 
 1.23026877e+04 -2.55778563e+02 -3.20748044e+02 
 1.25892541e+04 -2.48653179e+02 -3.18879861e+02 
 1.28824955e+04 -2.41613936e+02 -3.16866160e+02 
 1.31825674e+04 -2.34666604e+02 -3.14711789e+02 
 1.34896288e+04 -2.27816612e+02 -3.12421849e+02 
 1.38038426e+04 -2.21069035e+02 -3.10001673e+02 
 1.41253754e+04 -2.14428582e+02 -3.07456791e+02 
 1.44543977e+04 -2.07899592e+02 -3.04792907e+02 
 1.47910839e+04 -2.01486028e+02 -3.02015865e+02 
 1.51356125e+04 -1.95191471e+02 -2.99131626e+02 
 1.54881662e+04 -1.89019126e+02 -2.96146237e+02 
 1.58489319e+04 -1.82971819e+02 -2.93065806e+02 
 1.62181010e+04 -1.77052003e+02 -2.89896475e+02 
 1.65958691e+04 -1.71261764e+02 -2.86644394e+02 
 1.69824365e+04 -1.65602831e+02 -2.83315696e+02 
 1.73780083e+04 -1.60076582e+02 -2.79916480e+02 
 1.77827941e+04 -1.54684055e+02 -2.76452783e+02 
 1.81970086e+04 -1.49425966e+02 -2.72930565e+02 
 1.86208714e+04 -1.44302713e+02 -2.69355690e+02 
 1.90546072e+04 -1.39314398e+02 -2.65733905e+02 
 1.94984460e+04 -1.34460840e+02 -2.62070832e+02 
 1.99526231e+04 -1.29741587e+02 -2.58371950e+02 
 2.04173794e+04 -1.25155938e+02 -2.54642584e+02 
 2.08929613e+04 -1.20702952e+02 -2.50887895e+02 
 2.13796209e+04 -1.16381472e+02 -2.47112871e+02 
 2.18776162e+04 -1.12190137e+02 -2.43322320e+02 
 2.23872114e+04 -1.08127397e+02 -2.39520864e+02 
 2.29086765e+04 -1.04191534e+02 -2.35712934e+02 
 2.34422882e+04 -1.00380672e+02 -2.31902768e+02 
 2.39883292e+04 -9.66927998e+01 -2.28094406e+02 
 2.45470892e+04 -9.31257776e+01 -2.24291691e+02 
 2.51188643e+04 -8.96773575e+01 -2.20498269e+02 
 2.57039578e+04 -8.63451949e+01 -2.16717589e+02 
 2.63026799e+04 -8.31268628e+01 -2.12952904e+02 
 2.69153480e+04 -8.00198635e+01 -2.09207276e+02 
 2.75422870e+04 -7.70216416e+01 -2.05483577e+02 
 2.81838293e+04 -7.41295944e+01 -2.01784491e+02 
 2.88403150e+04 -7.13410834e+01 -1.98112523e+02 
 2.95120923e+04 -6.86534435e+01 -1.94469998e+02 
 3.01995172e+04 -6.60639933e+01 -1.90859073e+02 
 3.09029543e+04 -6.35700424e+01 -1.87281734e+02 
