 frequency       lr              li             
 3.89045145e+01 -2.89790513e+04 -3.22321447e+03 
 3.98107171e+01 -2.89623655e+04 -3.29639295e+03 
 4.07380278e+01 -2.89449137e+04 -3.37114244e+03 
 4.16869383e+01 -2.89266621e+04 -3.44749039e+03 
 4.26579519e+01 -2.89075750e+04 -3.52546409e+03 
 4.36515832e+01 -2.88876151e+04 -3.60509078e+03 
 4.46683592e+01 -2.88667446e+04 -3.68639789e+03 
 4.57088190e+01 -2.88449224e+04 -3.76941235e+03 
 4.67735141e+01 -2.88221072e+04 -3.85416116e+03 
 4.78630092e+01 -2.87982553e+04 -3.94067103e+03 
 4.89778819e+01 -2.87733216e+04 -4.02896837e+03 
 5.01187234e+01 -2.87472593e+04 -4.11907932e+03 
 5.12861384e+01 -2.87200190e+04 -4.21102938e+03 
 5.24807460e+01 -2.86915506e+04 -4.30484391e+03 
 5.37031796e+01 -2.86618005e+04 -4.40054718e+03 
 5.49540874e+01 -2.86307146e+04 -4.49816332e+03 
 5.62341325e+01 -2.85982359e+04 -4.59771541e+03 
 5.75439937e+01 -2.85643054e+04 -4.69922576e+03 
 5.88843655e+01 -2.85288620e+04 -4.80271572e+03 
 6.02559586e+01 -2.84918428e+04 -4.90820575e+03 
 6.16595002e+01 -2.84531813e+04 -5.01571464e+03 
 6.30957344e+01 -2.84128103e+04 -5.12526047e+03 
 6.45654229e+01 -2.83706592e+04 -5.23685956e+03 
 6.60693448e+01 -2.83266557e+04 -5.35052681e+03 
 6.76082975e+01 -2.82807242e+04 -5.46627519e+03 
 6.91830971e+01 -2.82327875e+04 -5.58411603e+03 
 7.07945784e+01 -2.81827657e+04 -5.70405867e+03 
 7.24435960e+01 -2.81305762e+04 -5.82611014e+03 
 7.41310241e+01 -2.80761338e+04 -5.95027495e+03 
 7.58577575e+01 -2.80193510e+04 -6.07655530e+03 
 7.76247117e+01 -2.79601382e+04 -6.20495076e+03 
 7.94328235e+01 -2.78984023e+04 -6.33545745e+03 
 8.12830516e+01 -2.78340484e+04 -6.46806873e+03 
 8.31763771e+01 -2.77669794e+04 -6.60277458e+03 
 8.51138038e+01 -2.76970951e+04 -6.73956118e+03 
 8.70963590e+01 -2.76242936e+04 -6.87841105e+03 
 8.91250938e+01 -2.75484700e+04 -7.01930233e+03 
 9.12010839e+01 -2.74695183e+04 -7.16220938e+03 
 9.33254301e+01 -2.73873292e+04 -7.30710128e+03 
 9.54992586e+01 -2.73017927e+04 -7.45394298e+03 
 9.77237221e+01 -2.72127956e+04 -7.60269349e+03 
 1.00000000e+02 -2.71202246e+04 -7.75330750e+03 
 1.02329299e+02 -2.70239634e+04 -7.90573289e+03 
 1.04712855e+02 -2.69238958e+04 -8.05991268e+03 
 1.07151931e+02 -2.68199037e+04 -8.21578308e+03 
 1.09647820e+02 -2.67118683e+04 -8.37327375e+03 
 1.12201845e+02 -2.65996709e+04 -8.53230823e+03 
 1.14815362e+02 -2.64831919e+04 -8.69280243e+03 
 1.17489755e+02 -2.63623123e+04 -8.85466541e+03 
 1.20226443e+02 -2.62369131e+04 -9.01779835e+03 
 1.23026877e+02 -2.61068772e+04 -9.18209538e+03 
 1.25892541e+02 -2.59720878e+04 -9.34744216e+03 
 1.28824955e+02 -2.58324302e+04 -9.51371621e+03 
 1.31825674e+02 -2.56877923e+04 -9.68078700e+03 
 1.34896288e+02 -2.55380644e+04 -9.84851545e+03 
 1.38038426e+02 -2.53831403e+04 -1.00167538e+04 
 1.41253754e+02 -2.52229175e+04 -1.01853456e+04 
