frequency_hz,ad_magnitude_V_per_V,acm_magnitude_V_per_V,aps_plus_magnitude_V_per_V,aps_minus_magnitude_V_per_V,cmrr_dB,psrr_plus_dB,psrr_minus_dB,common_mode_stimulus_magnitude_V,psrr_plus_stimulus_magnitude_V,psrr_minus_stimulus_magnitude_V,manifest_sha256
3.34965439,2419.901054,0.6571812085,36.9171993,37.26001805,71.32224944,36.33137725,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.41454887,2419.901043,0.6571812068,36.91719923,37.26001788,71.32224942,36.33137723,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.48070059,2419.901041,0.6571812041,36.91719906,37.26001781,71.32224945,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.54813389,2419.901031,0.6571812016,36.9171989,37.26001764,71.32224945,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.61687361,2419.90102,0.6571811992,36.91719875,37.26001748,71.32224944,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.68694506,2419.90101,0.6571811968,36.9171986,37.26001732,71.32224944,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.75837404,2419.901,0.6571811936,36.91719845,37.26001717,71.32224944,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.83118685,2419.900991,0.6571811905,36.91719832,37.26001703,71.32224945,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.90541029,2419.900972,0.6571811875,36.91719818,37.26001679,71.32224942,36.33137722,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
3.98107171,2419.900963,0.6571811846,36.91719796,37.26001665,71.32224943,36.33137724,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
