vcm_V,gain_dB,vout_V,actual_diff_input_at_1Hz_V,vx_V,vbn_V,vbp_V,tail_V,nmir_V,tracking_error_mV,minimum_saturation_margin_V,m1_id_uA,m1_vdsat_V,m1_saturation_margin_V,m2_id_uA,m2_vdsat_V,m2_saturation_margin_V,m3_id_uA,m3_vdsat_V,m3_saturation_margin_V,m4_id_uA,m4_vdsat_V,m4_saturation_margin_V,m5_id_uA,m5_vdsat_V,m5_saturation_margin_V,m6_id_uA,m6_vdsat_V,m6_saturation_margin_V,m7_id_uA,m7_vdsat_V,m7_saturation_margin_V,m8_id_uA,m8_vdsat_V,m8_saturation_margin_V,m9_id_uA,m9_vdsat_V,m9_saturation_margin_V,m10_id_uA,m10_vdsat_V,m10_saturation_margin_V,point_status,gain_delta_vs_0p9_dB,valid,manifest_sha256
0.6,67.13471278,0.599021621,1,0.800554492,0.657987201,0.632753936,0.0178170579,0.869017434,0.978379,-0.0807473309,5.21884188,0.0528101875,0.7983901886,5.25893999,0.0530021385,0.7297352956,5.21884093,0.0608663707,0.8701161953,5.25893875,0.0609195571,0.9385259509,10.4777818,0.0985643888,-0.0807473309,87.3036556,0.16352248,0.435499141,93.293871,0.164534566,1.036443813,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.5412400894,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.61,67.22810258,0.609135329,1,0.800248089,0.657987201,0.632753936,0.0208612433,0.860889965,0.864671,-0.0777031476,6.00678392,0.0542977634,0.7857309583,6.04741195,0.0544832176,0.7249036281,6.00678293,0.0628318737,0.8762781613,6.0474107,0.0628833267,0.9368685843,12.0541958,0.0985643909,-0.0777031476,87.1712122,0.163338274,0.445797055,93.2625648,0.164531431,1.02633324,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.4478502892,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.62,67.31466263,0.619240343,1,0.799944272,0.657987201,0.632753936,0.0242337953,0.853320945,0.759657,-0.0743305979,6.84424659,0.0558161508,0.7732709989,6.88473955,0.0559926054,0.7197178713,6.84424556,0.0648222455,0.8818568095,6.88473829,0.0648712651,0.9351844629,13.7289861,0.0985643932,-0.0743305979,87.0386958,0.163155663,0.45608468,93.2310985,0.164528298,1.016231359,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.3612902421,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.63,67.39381229,0.629336865,1,0.799642901,0.657987201,0.632753936,0.0279363413,0.846303405,0.663135,-0.0706280545,7.72096427,0.0573445797,0.761022484,7.7606473,0.0575099587,0.714196601,7.7209632,0.0668113958,0.8868851992,7.76064604,0.0668573891,0.9334997099,15.4816115,0.0985643958,-0.0706280545,86.9061008,0.162974559,0.466362306,93.1994688,0.164525169,1.006137966,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.2821405792,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.64,67.4652705,0.639425179,1,0.799343844,0.657987201,0.632753936,0.0319675725,0.839826606,0.574821,-0.066596826,8.62511563,0.0588629057,0.7489961278,8.66333777,0.0590155979,0.7083606736,8.62511453,0.0687743443,0.8913990497,8.6633365,0.0688168415,0.9318393145,17.2884533,0.0985643985,-0.066596826,86.7734208,0.162794879,0.4766303,93.167672,0.164522042,0.996052779,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.2106823694,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.65,67.52902293,0.649505618,1,0.799046974,0.657987201,0.632753936,0.0363239677,0.833877382,0.494382,-0.0622404338,9.54376567,0.0603522046,0.7372012097,9.57993141,0.0604910728,0.7022319335,9.54376453,0.0706878326,0.8954347854,9.57993014,0.0707264948,0.9302265312,19.1236969,0.0985644015,-0.0622404338,86.6406484,0.162616546,0.486889072,93.1357041,0.164518917,0.985975465,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.1469299393,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.66,67.58527172,0.659578524,1,0.798752173,0.657987201,0.632753936,0.0410004674,0.828441244,0.421476,-0.0575639373,10.4633114,0.0617951549,0.7256456217,10.4969082,0.0619195229,0.6958321827,10.4633102,0.0725306999,0.8990280561,10.4969069,0.0725653192,0.9286825078,20.9602194,0.0985644047,-0.0575639373,86.5077763,0.162439484,0.49713904,93.1035611,0.164515795,0.975905681,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.09068114882,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.67,67.63438059,0.66964423,1,0.798459329,0.657987201,0.632753936,0.0459910095,0.823503172,0.35577,-0.0525733986,11.3699164,0.0631762592,0.7143359033,11.4005364,0.0632858847,0.6891824348,11.3699152,0.0742840886,0.9022127394,11.4005352,0.0743145834,0.9272260876,22.7704527,0.0985644081,-0.0525733986,86.374797,0.162263626,0.507380604,93.0712388,0.164512674,0.965843096,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,-0.04157227898,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.68,67.67682214,0.679703048,1,0.798168338,0.657987201,0.632753936,0.0512888579,0.819048027,0.296952,-0.0472755538,12.2499396,0.0644819729,0.7032771962,12.2772955,0.0645770102,0.6823024699,12.2499384,0.075931568,0.905020405,12.2772943,0.0759579732,0.9258736888,24.527235,0.0985644117,-0.0472755538,86.241703,0.162088905,0.517614143,93.0387331,0.164509556,0.955787396,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,0.0008692685541,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
0.69,67.71313192,0.689755265,1,0.797879101,0.657987201,0.632753936,0.0568866688,0.815060544,0.244735,-0.0416777468,13.0903802,0.0657008169,0.6924730583,13.1143137,0.065781774,0.6752106582,13.0903789,0.0774592628,0.9074801932,13.1143124,0.0774817179,0.9246391811,26.2046937,0.0985644156,-0.0416777468,86.1084875,0.161915261,0.527840004,93.0060397,0.164506441,0.945738294,9.99999882,0.169702732,0.997543332,9.99144222,0.169694826,0.972317973,9.9914427,0.0923723431,0.5656148579,SATURATION,0.03717905383,False,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
