point_id,process,VDD_V,temp_C,device,role,drain_current_uA,gm_uS,gds_uS,vdsat_abs_V,saturation_margin_V,saturation_status,vout_V,vx_V,tail_V,nmir_V,vbn_V,vbp_V,ivdd_signed_uA,manifest_sha256
P04,FS,1.8,27,M7,PMOS second-stage current source,91.7784722,994.544691,3.90534308,0.157900045,0.7419861,PASS,0.900113855,0.831348934,0.187218795,0.823944432,0.690699718,0.67617956,-150.119219,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P04,FS,1.8,27,M8,PMOS diode IREF reference,9.99999886,105.684738,0.358499027,0.162773766,0.961046674,PASS,0.900113855,0.831348934,0.187218795,0.823944432,0.690699718,0.67617956,-150.119219,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P04,FS,1.8,27,M9,PMOS VBN-bias current source,9.99476968,105.632877,0.36178029,0.162768706,0.946531576,PASS,0.900113855,0.831348934,0.187218795,0.823944432,0.690699718,0.67617956,-150.119219,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P04,FS,1.8,27,M10,NMOS diode VBN reference,9.9947701,167.672597,0.981185563,0.0947558955,0.5959438225,PASS,0.900113855,0.831348934,0.187218795,0.823944432,0.690699718,0.67617956,-150.119219,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P05,SF,1.8,27,M1,"NMOS input, VINN side",18.7675693,388.224736,4.30244931,0.0728127003,0.4398577297,PASS,0.899980048,0.754062257,0.242684256,0.755354686,0.625628943,0.587219827,-150.372813,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P05,SF,1.8,27,M2,"NMOS input, VINP side",18.7697509,388.259667,4.30870464,0.072820377,0.438557624,PASS,0.899980048,0.754062257,0.242684256,0.755354686,0.625628943,0.587219827,-150.372813,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P05,SF,1.8,27,M3,"PMOS diode mirror load, two units",18.7675678,296.33024,1.68826669,0.0899967863,0.9546485277,PASS,0.899980048,0.754062257,0.242684256,0.755354686,0.625628943,0.587219827,-150.372813,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P05,SF,1.8,27,M4,"PMOS mirror output load, two units",18.7697493,296.361508,1.68760572,0.0899985197,0.9559392233,PASS,0.899980048,0.754062257,0.242684256,0.755354686,0.625628943,0.587219827,-150.372813,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P05,SF,1.8,27,M5,NMOS tail current source,37.5373194,658.223701,10.3768925,0.0954656789,0.1472185771,PASS,0.899980048,0.754062257,0.242684256,0.755354686,0.625628943,0.587219827,-150.372813,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P05,SF,1.8,27,M6,NMOS second-stage gain device,83.8478993,874.003884,9.19462229,0.152712622,0.747267426,PASS,0.899980048,0.754062257,0.242684256,0.755354686,0.625628943,0.587219827,-150.372813,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P05,SF,1.8,27,M7,PMOS second-stage current source,92.8476998,932.13673,3.69907266,0.171071853,0.728948099,PASS,0.899980048,0.754062257,0.242684256,0.755354686,0.625628943,0.587219827,-150.372813,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P05,SF,1.8,27,M8,PMOS diode IREF reference,9.99999876,97.6077601,0.314174396,0.176693493,1.03608668,PASS,0.899980048,0.754062257,0.242684256,0.755354686,0.625628943,0.587219827,-150.372813,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P05,SF,1.8,27,M9,PMOS VBN-bias current source,9.98778978,97.4950032,0.321638525,0.17668275,0.997688307,PASS,0.899980048,0.754062257,0.242684256,0.755354686,0.625628943,0.587219827,-150.372813,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P05,SF,1.8,27,M10,NMOS diode VBN reference,9.98779034,177.380923,1.08458564,0.0902560142,0.5353729288,PASS,0.899980048,0.754062257,0.242684256,0.755354686,0.625628943,0.587219827,-150.372813,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P06,TT,1.62,-20,M1,"NMOS input, VINN side",18.961419,426.058271,5.73660761,0.0642426906,0.2710871884,PASS,0.904489239,0.805083806,0.190910524,0.526240403,0.683439538,0.38742858,-147.750839,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P06,TT,1.62,-20,M2,"NMOS input, VINP side",18.3673294,416.198814,3.98314558,0.0624932417,0.5516800403,PASS,0.904489239,0.805083806,0.190910524,0.526240403,0.683439538,0.38742858,-147.750839,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P06,TT,1.62,-20,M3,"PMOS diode mirror load, two units",18.9614187,344.983709,2.05759985,0.0783937982,1.015365799,PASS,0.904489239,0.805083806,0.190910524,0.526240403,0.683439538,0.38742858,-147.750839,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P06,TT,1.62,-20,M4,"PMOS mirror output load, two units",18.3673277,335.199265,2.22065697,0.077931125,0.736985069,PASS,0.904489239,0.805083806,0.190910524,0.526240403,0.683439538,0.38742858,-147.750839,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P06,TT,1.62,-20,M5,NMOS tail current source,37.3287452,706.542695,14.7598485,0.0840009242,0.1069095998,PASS,0.904489239,0.805083806,0.190910524,0.526240403,0.683439538,0.38742858,-147.750839,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P06,TT,1.62,-20,M6,NMOS second-stage gain device,81.4846678,917.870753,8.92476032,0.133260732,0.771228507,PASS,0.904489239,0.805083806,0.190910524,0.526240403,0.683439538,0.38742858,-147.750839,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P06,TT,1.62,-20,M7,PMOS second-stage current source,90.5295604,1060.01679,4.56487568,0.148292961,0.5672178,PASS,0.904489239,0.805083806,0.190910524,0.526240403,0.683439538,0.38742858,-147.750839,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P06,TT,1.62,-20,M8,PMOS diode IREF reference,9.9999987,113.433863,0.330838553,0.153734782,1.078836638,PASS,0.904489239,0.805083806,0.190910524,0.526240403,0.683439538,0.38742858,-147.750839,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P06,TT,1.62,-20,M9,PMOS VBN-bias current source,9.89252992,112.293329,0.401743584,0.153640114,0.782920348,PASS,0.904489239,0.805083806,0.190910524,0.526240403,0.683439538,0.38742858,-147.750839,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P06,TT,1.62,-20,M10,NMOS diode VBN reference,9.89253017,189.363308,1.0982727,0.0788218154,0.6046177226,PASS,0.904489239,0.805083806,0.190910524,0.526240403,0.683439538,0.38742858,-147.750839,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P07,TT,1.62,27,M1,"NMOS input, VINN side",19.0846082,382.33195,4.86879497,0.0754445669,0.3211291931,PASS,0.902972848,0.791095652,0.21533876,0.61191252,0.657610551,0.452753936,-149.240487,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P07,TT,1.62,27,M2,"NMOS input, VINP side",18.722777,376.943415,3.84471956,0.0742314184,0.5015254736,PASS,0.902972848,0.791095652,0.21533876,0.61191252,0.657610551,0.452753936,-149.240487,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P07,TT,1.62,27,M3,"PMOS diode mirror load, two units",19.0846067,302.295066,1.9632863,0.0873264134,0.9207610666,PASS,0.902972848,0.791095652,0.21533876,0.61191252,0.657610551,0.452753936,-149.240487,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P07,TT,1.62,27,M4,"PMOS mirror output load, two units",18.7227761,297.008674,2.08342258,0.087048653,0.741855695,PASS,0.902972848,0.791095652,0.21533876,0.61191252,0.657610551,0.452753936,-149.240487,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P07,TT,1.62,27,M5,NMOS tail current source,37.8073845,639.00324,12.9691816,0.0983362371,0.1170025229,PASS,0.902972848,0.791095652,0.21533876,0.61191252,0.657610551,0.452753936,-149.240487,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P07,TT,1.62,27,M6,NMOS second-stage gain device,82.4772126,831.503352,8.57703719,0.157814197,0.745158651,PASS,0.902972848,0.791095652,0.21533876,0.61191252,0.657610551,0.452753936,-149.240487,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P07,TT,1.62,27,M7,PMOS second-stage current source,91.5069413,958.733675,4.55346695,0.164384572,0.55264258,PASS,0.902972848,0.791095652,0.21533876,0.61191252,0.657610551,0.452753936,-149.240487,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P07,TT,1.62,27,M8,PMOS diode IREF reference,9.99999882,102.006282,0.336458495,0.169702732,0.997543332,PASS,0.902972848,0.791095652,0.21533876,0.61191252,0.657610551,0.452753936,-149.240487,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P07,TT,1.62,27,M9,PMOS VBN-bias current source,9.92615705,101.287594,0.387772799,0.16963855,0.792750899,PASS,0.902972848,0.791095652,0.21533876,0.61191252,0.657610551,0.452753936,-149.240487,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P07,TT,1.62,27,M10,NMOS diode VBN reference,9.92615735,171.864869,1.03093132,0.092158839,0.565451712,PASS,0.902972848,0.791095652,0.21533876,0.61191252,0.657610551,0.452753936,-149.240487,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P08,TT,1.62,85,M1,"NMOS input, VINN side",19.3024196,337.635273,4.11696195,0.0890131002,0.3852307508,PASS,0.901043168,0.776895317,0.243231576,0.717475427,0.628600968,0.534887128,-150.919169,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P08,TT,1.62,85,M2,"NMOS input, VINP side",19.1857338,336.103356,3.79925256,0.0885740783,0.4450896627,PASS,0.901043168,0.776895317,0.243231576,0.717475427,0.628600968,0.534887128,-150.919169,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P08,TT,1.62,85,M3,"PMOS diode mirror load, two units",19.3024185,268.249902,1.94044535,0.0978491218,0.8046754512,PASS,0.901043168,0.776895317,0.243231576,0.717475427,0.628600968,0.534887128,-150.919169,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P08,TT,1.62,85,M4,"PMOS mirror output load, two units",19.1857329,266.735015,1.98813427,0.0977624155,0.7453422675,PASS,0.901043168,0.776895317,0.243231576,0.717475427,0.628600968,0.534887128,-150.919169,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P08,TT,1.62,85,M5,NMOS tail current source,38.4881527,569.459138,11.7166734,0.115380299,0.127851277,PASS,0.901043168,0.776895317,0.243231576,0.717475427,0.628600968,0.534887128,-150.919169,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P08,TT,1.62,85,M6,NMOS second-stage gain device,83.4547677,750.102751,8.30940361,0.18783948,0.713203688,PASS,0.901043168,0.776895317,0.243231576,0.717475427,0.628600968,0.534887128,-150.919169,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P08,TT,1.62,85,M7,PMOS second-stage current source,92.4651996,863.899436,4.62339229,0.182683534,0.536273298,PASS,0.901043168,0.776895317,0.243231576,0.717475427,0.628600968,0.534887128,-150.919169,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P08,TT,1.62,85,M8,PMOS diode IREF reference,9.9999989,91.3472511,0.35233542,0.187860366,0.897252506,PASS,0.901043168,0.776895317,0.243231576,0.717475427,0.628600968,0.534887128,-150.919169,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P08,TT,1.62,85,M9,PMOS VBN-bias current source,9.9658124,91.042637,0.378056247,0.187831701,0.803567331,PASS,0.901043168,0.776895317,0.243231576,0.717475427,0.628600968,0.534887128,-150.919169,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P08,TT,1.62,85,M10,NMOS diode VBN reference,9.96581277,153.416786,0.981501354,0.108242636,0.520358332,PASS,0.901043168,0.776895317,0.243231576,0.717475427,0.628600968,0.534887128,-150.919169,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P09,TT,1.8,-20,M1,"NMOS input, VINN side",18.8884128,425.817957,4.4171799,0.0633737047,0.4527814663,PASS,0.901475896,0.805976228,0.190295917,0.706451088,0.68379383,0.56742858,-148.824308,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P09,TT,1.8,-20,M2,"NMOS input, VINP side",18.6820824,422.106231,4.03581931,0.0628071876,0.5528731234,PASS,0.901475896,0.805976228,0.190295917,0.706451088,0.68379383,0.56742858,-148.824308,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P09,TT,1.8,-20,M3,"PMOS diode mirror load, two units",18.8884228,343.848306,2.05063027,0.0782893314,1.015259581,PASS,0.901475896,0.805976228,0.190295917,0.706451088,0.68379383,0.56742858,-148.824308,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
P09,TT,1.8,-20,M4,"PMOS mirror output load, two units",18.6820927,340.470276,2.09731911,0.0781240835,0.9158996885,PASS,0.901475896,0.805976228,0.190295917,0.706451088,0.68379383,0.56742858,-148.824308,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
