scale,command_V,drive_V,vout_V,vinn_V,vx_V,m6_id_A,m6_vdsat_V,m7_id_A,m7_vdsat_V,direction,mapping_error_V,tracking_error_mV,m6_saturation_margin_V,m7_saturation_margin_V,not_clipped,valid,point_status,reverse_vout_V,forward_reverse_delta_uV,reverse_valid,counterpart_point_status,manifest_sha256
1.6,0.2,1.6,0.20089496,0.90044748,0.821426146,9.24663133e-05,0.176249011,9.44051184e-05,0.164657996,COMMAND_ASCENDING,5.551115123e-17,0.89496,0.024645949,1.434447044,True,True,VALID,0.20089496,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.59,0.21,1.59,0.210849619,0.900424809,0.819933366,9.23403406e-05,0.175328558,9.43797127e-05,0.16465491,COMMAND_ASCENDING,2.775557562e-17,0.849619,0.035521061,1.424495471,True,True,VALID,0.210849619,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.58,0.22,1.58,0.220810649,0.900405325,0.818651039,9.22141879e-05,0.174538215,9.43541884e-05,0.164651821,COMMAND_ASCENDING,2.775557562e-17,0.810649,0.046272434,1.41453753,True,True,VALID,0.220810649,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.57,0.23,1.57,0.230776627,0.900388314,0.817532045,9.20878712e-05,0.17384901,9.43285476e-05,0.164648731,COMMAND_ASCENDING,2.775557562e-17,0.776627,0.056927617,1.404574642,True,True,VALID,0.230776627,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.56,0.24,1.56,0.240746487,0.900373243,0.816541099,9.19614024e-05,0.17323919,9.43027917e-05,0.164645639,COMMAND_ASCENDING,0,0.746487,0.067507297,1.394607874,True,True,VALID,0.240746487,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.55,0.25,1.55,0.250719426,0.900359713,0.815651742,9.18347898e-05,0.172692412,9.42769211e-05,0.164642547,COMMAND_ASCENDING,0,0.719426,0.078027014,1.384638027,True,True,VALID,0.250719426,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.54,0.26,1.54,0.260694841,0.90034742,0.81484402,9.17080394e-05,0.172196331,9.42509362e-05,0.164639454,COMMAND_ASCENDING,0,0.694841,0.08849851,1.374665705,True,True,VALID,0.260694841,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.53,0.27,1.53,0.270672271,0.900336136,0.814102748,9.15811555e-05,0.171741542,9.42248365e-05,0.164636361,COMMAND_ASCENDING,0,0.672271,0.098930729,1.364691368,True,True,VALID,0.270672271,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.52,0.28,1.52,0.280651364,0.900325682,0.813416247,9.1454141e-05,0.171320806,9.41986215e-05,0.164633267,COMMAND_ASCENDING,0,0.651364,0.109330558,1.354715369,True,True,VALID,0.280651364,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.51,0.29,1.51,0.290631843,0.900315921,0.812775429,9.13269976e-05,0.170928481,9.41722905e-05,0.164630172,COMMAND_ASCENDING,-5.551115123e-17,0.631843,0.119703362,1.344737985,True,True,VALID,0.290631843,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
