frequency_hz,dm_tian_real,dm_tian_imag,dm_old_real,dm_old_imag,input_cm_tian_real,input_cm_tian_imag,input_cm_old_real,input_cm_old_imag,stage1_cm_tian_real,stage1_cm_tian_imag,stage1_cm_old_real,stage1_cm_old_imag,output_cm_tian_real,output_cm_tian_imag,output_cm_old_real,output_cm_old_imag
1.467799267622071024e+00,3.703353531233613580e+02,-7.082748968236385334e-02,3.703353531381982862e+02,-7.078095573124972006e-02,-3.424359930628972839e-03,1.138007824510050182e-09,-3.424359930628843602e-03,1.220932986136661514e-08,-9.368814319308928589e+02,-2.528974239695250814e-01,-9.368814365674904820e+02,-2.442968696870423395e-01,7.474294887741542937e+01,-3.497163037331744648e-03,7.474294887761026018e+01,-3.493934291197581862e-03
1.496235656094434985e+00,3.703353525952082919e+02,-7.219966495519219984e-02,3.703353526106170648e+02,-7.215222947938522424e-02,-3.424359930628972839e-03,1.160055003096532510e-09,-3.424359930628876562e-03,1.244586714175887325e-08,-9.368814292623745814e+02,-2.577969279231025479e-01,-9.368814340802542802e+02,-2.490297509970180179e-01,7.474294887067100035e+01,-3.564915275923175031e-03,7.474294887087748407e+01,-3.561623977722040355e-03
1.525222956539020069e+00,3.703353520463936093e+02,-7.359842404029420804e-02,3.703353520623782629e+02,-7.355006957412030255e-02,-3.424359930628972839e-03,1.182529312387280137e-09,-3.424359930628887837e-03,1.268698697382674203e-08,-9.368814264890652339e+02,-2.627913523039388521e-01,-9.368814314954149722e+02,-2.538543246772451134e-01,7.474294886404121030e+01,-3.633980111573083000e-03,7.474294886425346363e+01,-3.630625049452787956e-03
1.554771842041174912e+00,3.703353514760624421e+02,-7.502428195840435410e-02,3.703353514926666890e+02,-7.497499069783430947e-02,-3.424359930628972839e-03,1.205439027392643730e-09,-3.424359930628426401e-03,1.293277813757034438e-08,-9.368814236086235496e+02,-2.678825360499958452e-01,-9.368814288105160131e+02,-2.587723671269794856e-01,7.474294885715271164e+01,-3.704382973826307775e-03,7.474294885737243987e+01,-3.700962912457601145e-03
1.584893192461114930e+00,3.703353508813381723e+02,-7.647776370717168648e-02,3.703353508985760527e+02,-7.642751750323908966e-02,-3.424359930628973273e-03,1.228792583439922982e-09,-3.424359930628483213e-03,1.318333113296906439e-08,-9.368814206148521180e+02,-2.730723537236652843e-01,-9.368814260200325634e+02,-2.637856891588253871e-01,7.474294884998907662e+01,-3.776149784920717310e-03,7.474294885022189305e+01,-3.772663465042156578e-03
1.615598098439875008e+00,3.703353502655418765e+02,-7.795940445779328543e-02,3.703353502834666529e+02,-7.790818480993862150e-02,-3.424359930629193582e-03,1.252598579276807032e-09,-3.424359930628388671e-03,1.343873821330094649e-08,-9.368814175033323863e+02,-2.783627162050339443e-01,-9.368814231204263479e+02,-2.688961366681306142e-01,7.474294884218954849e+01,-3.849306969262724590e-03,7.474294884242956982e+01,-3.845753107215436981e-03
1.646897865482870094e+00,3.703353496256686981e+02,-7.946974974701491445e-02,3.703353496442660457e+02,-7.941753779623045295e-02,-3.424359930628091166e-03,1.276865780239082675e-09,-3.424359930628253796e-03,1.369909341911216929e-08,-9.368814142708349664e+02,-2.837555713952640279e-01,-9.368814201070229046e+02,-2.741055913109794462e-01,7.474294883409743306e+01,-3.923881463263311983e-03,7.474294883434650671e+01,-3.920258750520230415e-03
1.678804018122562081e+00,3.703353489606835751e+02,-8.100935568131722997e-02,3.703353489800401803e+02,-8.095613220327403659e-02,-3.424359930628091166e-03,1.301603121478156839e-09,-3.424359930628069482e-03,1.396449261284242076e-08,-9.368814109116160580e+02,-2.892529049315635259e-01,-9.368814169763422797e+02,-2.794159711983147387e-01,7.474294882606703538e+01,-3.999900725189124706e-03,7.474294882632437975e+01,-3.996207827872111894e-03
1.711328304161781944e+00,3.703353482675398141e+02,-8.257878914000631176e-02,3.703353482876592011e+02,-8.252453453789820870e-02,-3.424359930627870856e-03,1.326819711249996180e-09,-3.424359930628047364e-03,1.423503351412068163e-08,-9.368814074207182330e+02,-2.948567409202834111e-01,-9.368814137227869878e+02,-2.848292316002959956e-01,7.474294881735863783e+01,-4.077392745151880299e-03,7.474294881762615717e+01,-4.073628303541342380e-03
1.744482698999255899e+00,3.703353475495360954e+02,-8.417862798759476184e-02,3.703353475704769266e+02,-8.412332228498088649e-02,-3.424359930627870856e-03,1.352524834268968514e-09,-3.424359930628027415e-03,1.451081573574558366e-08,-9.368814037935728720e+02,-3.005691426818977163e-01,-9.368814103421329946e+02,-2.903473656681850312e-01,7.474294880832312060e+01,-4.156386055645955487e-03,7.474294880860011858e+01,-4.152548683679447954e-03
1.778279410038924979e+00,3.703353468034097773e+02,-8.580946128094853187e-02,3.703353468251704044e+02,-8.575308411434794109e-02,-3.424359930626988749e-03,1.378727955127256923e-09,-3.424359930627617586e-03,1.479194082036321008e-08,-9.368814000238548942e+02,-3.063922135093753996e-01,-9.368814068293843320e+02,-2.959724051669846978e-01,7.474294879930961599e+01,-4.236909741941808846e-03,7.474294879959799687e+01,-4.232998026704254228e-03
1.812730881184700937e+00,3.703353460261782288e+02,-8.747188948907799744e-02,3.703353460486823110e+02,-8.741442010046336641e-02,-3.424359930627871289e-03,1.405438721779171347e-09,-3.424359930627636668e-03,1.507851227785485028e-08,-9.368813961075576344e+02,-3.123280974452714021e-01,-9.368814031789636374e+02,-3.017064212236633680e-01,7.474294878958460231e+01,-4.318993452670277268e-03,7.474294878988371238e+01,-4.315005953873342522e-03
1.847849797422292939e+00,3.703353452205106464e+02,-8.916652471678804259e-02,3.703353452439587841e+02,-8.910794194610723029e-02,-3.424359930628091599e-03,1.432666969093354340e-09,-3.424359930627661388e-03,1.537063562344885854e-08,-9.368813920371503627e+02,-3.183789800672409132e-01,-9.368813993854751061e+02,-3.075515250901108555e-01,7.474294877948791793e+01,-4.402667410980953128e-03,7.474294877979971830e+01,-4.398602660433144525e-03
1.883649089489803030e+00,3.703353443833521510e+02,-9.089399092481113829e-02,3.703353444077398535e+02,-9.083427320197125232e-02,-3.424359930627209492e-03,1.460422722473567741e-09,-3.424359930627251993e-03,1.566841841657068366e-08,-9.368813878089606533e+02,-3.245470892976994870e-01,-9.368813954440929592e+02,-3.135098689208139500e-01,7.474294876937416632e+01,-4.487962425555344290e-03,7.474294876969810275e+01,-4.483818926620813591e-03
1.920141938638803891e+00,3.703353435114938748e+02,-9.265492416203034709e-02,3.703353435367493489e+02,-9.259404949901725579e-02,-3.424359930627209492e-03,1.488716201552061764e-09,-3.424359930627201253e-03,1.597197030044836612e-08,-9.368813834140244126e+02,-3.308346962179877226e-01,-9.368813913480190649e+02,-3.195836465636357482e-01,7.474294875850441144e+01,-4.574909901815200040e-03,7.474294875884241662e+01,-4.570686128863485874e-03
1.957341781487663024e+00,3.703353426075118477e+02,-9.444997280264579020e-02,3.703353426338252916e+02,-9.438791878559164850e-02,-3.424359930627209492e-03,1.517557823949659923e-09,-3.424359930627272376e-03,1.628140304248002059e-08,-9.368813788476066975e+02,-3.372441159109798026e-01,-9.368813870917871327e+02,-3.257750943696550716e-01,7.474294874722316706e+01,-4.663541853745024543e-03,7.474294874757480045e+01,-4.659236251588524946e-03
1.995262314968881956e+00,3.703353416683590353e+02,-9.627979777934474181e-02,3.703353416956392721e+02,-9.621654156000446212e-02,-3.424359930627209926e-03,1.546958209112717364e-09,-3.424359930626850405e-03,1.659683057538795416e-08,-9.368813741019955614e+02,-3.437777083085415963e-01,-9.368813826694961335e+02,-3.320864920154736333e-01,7.474294873587506061e+01,-4.753890915553811783e-03,7.474294873624228330e+01,-4.749501898875757404e-03
