 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 2.32630507e+00  2.35598756e+03 -6.84039225e-01  1.00000000e+00  0.00000000e+00 -2.35598756e+03  6.84039225e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.37137371e+00  2.35598755e+03 -6.97574260e-01  1.00000000e+00  0.00000000e+00 -2.35598755e+03  6.97574260e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.41731548e+00  2.35598754e+03 -7.11366140e-01  1.00000000e+00  0.00000000e+00 -2.35598754e+03  7.11366140e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.46414731e+00  2.35598753e+03 -7.25419945e-01  1.00000000e+00  0.00000000e+00 -2.35598753e+03  7.25419945e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.35598752e+03 -7.39740848e-01  1.00000000e+00  0.00000000e+00 -2.35598752e+03  7.39740848e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.56055043e+00  2.35598751e+03 -7.54334122e-01  1.00000000e+00  0.00000000e+00 -2.35598751e+03  7.54334122e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.61015722e+00  2.35598750e+03 -7.69205141e-01  1.00000000e+00 -1.11022302e-16 -2.35598750e+03  7.69205141e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.66072506e+00  2.35598749e+03 -7.84359381e-01  1.00000000e+00 -1.11022302e-16 -2.35598749e+03  7.84359381e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.71227258e+00  2.35598748e+03 -7.99802419e-01  1.00000000e+00 -1.11022302e-16 -2.35598748e+03  7.99802419e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.76481875e+00  2.35598747e+03 -8.15539944e-01  1.00000000e+00  0.00000000e+00 -2.35598747e+03  8.15539944e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.81838293e+00  2.35598746e+03 -8.31577750e-01  1.00000000e+00 -1.11022302e-16 -2.35598746e+03  8.31577750e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.87298483e+00  2.35598745e+03 -8.47921740e-01  1.00000000e+00  0.00000000e+00 -2.35598745e+03  8.47921740e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.92864456e+00  2.35598744e+03 -8.64577934e-01  1.00000000e+00  1.11022302e-16 -2.35598744e+03  8.64577934e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.98538262e+00  2.35598742e+03 -8.81552464e-01  1.00000000e+00  0.00000000e+00 -2.35598742e+03  8.81552464e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.04321989e+00  2.35598741e+03 -8.98851581e-01  1.00000000e+00  1.11022302e-16 -2.35598741e+03  8.98851581e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.10217766e+00  2.35598740e+03 -9.16481652e-01  1.00000000e+00  0.00000000e+00 -2.35598740e+03  9.16481652e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.35598738e+03 -9.34449171e-01  1.00000000e+00  0.00000000e+00 -2.35598738e+03  9.34449171e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.22354200e+00  2.35598737e+03 -9.52760752e-01  1.00000000e+00  0.00000000e+00 -2.35598737e+03  9.52760752e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.28599325e+00  2.35598735e+03 -9.71423138e-01  1.00000000e+00  0.00000000e+00 -2.35598735e+03  9.71423138e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
