 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 2.61015722e+00  2.51948996e+03 -8.77390078e-01  1.00000000e+00 -3.26212209e-21  2.51948996e+03 -8.77390078e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.66072506e+00  2.51948995e+03 -8.94656911e-01  1.00000000e+00 -3.20108619e-21  2.51948995e+03 -8.94656911e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.71227258e+00  2.51948993e+03 -9.12253154e-01  1.00000000e+00 -3.14115652e-21  2.51948993e+03 -9.12253154e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.76481875e+00  2.51948992e+03 -9.30185288e-01  1.00000000e+00 -3.08231505e-21  2.51948992e+03 -9.30185288e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.81838293e+00  2.51948991e+03 -9.48459914e-01  1.00000000e+00 -3.02454394e-21  2.51948991e+03 -9.48459914e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.87298483e+00  2.51948989e+03 -9.67083761e-01  1.00000000e+00 -2.96782554e-21  2.51948989e+03 -9.67083761e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.92864456e+00  2.51948988e+03 -9.86063687e-01  1.00000000e+00 -2.91214237e-21  2.51948988e+03 -9.86063687e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.98538262e+00  2.51948986e+03 -1.00540668e+00  1.00000000e+00 -2.85747714e-21  2.51948986e+03 -1.00540668e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.04321989e+00  2.51948985e+03 -1.02511986e+00  1.00000000e+00 -2.80381276e-21  2.51948985e+03 -1.02511986e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.10217766e+00  2.51948983e+03 -1.04521049e+00  1.00000000e+00 -2.75113234e-21  2.51948983e+03 -1.04521049e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.51948981e+03 -1.06568596e+00  1.00000000e+00 -2.69941920e-21  2.51948981e+03 -1.06568596e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.22354200e+00  2.51948980e+03 -1.08655382e+00  1.00000000e+00 -2.64865685e-21  2.51948980e+03 -1.08655382e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.28599325e+00  2.51948978e+03 -1.10782175e+00  1.00000000e+00 -2.59882900e-21  2.51948978e+03 -1.10782175e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
