 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-1.24000000e-02  1.68552039e+00  7.64072925e-01  2.17611822e-01  1.99520140e-05  1.81576811e-05  3.81096944e-05 
-1.23000000e-02  1.68384113e+00  7.64124882e-01  2.17605564e-01  1.99353654e-05  1.81742494e-05  3.81096141e-05 
-1.22000000e-02  1.68207660e+00  7.64176513e-01  2.17599084e-01  1.99188330e-05  1.81906985e-05  3.81095309e-05 
-1.21000000e-02  1.68022025e+00  7.64227791e-01  2.17592364e-01  1.99024260e-05  1.82070192e-05  3.81094446e-05 
-1.20000000e-02  1.67826503e+00  7.64278683e-01  2.17585381e-01  1.98861542e-05  1.82232014e-05  3.81093549e-05 
-1.19000000e-02  1.67620329e+00  7.64329155e-01  2.17578114e-01  1.98700281e-05  1.82392341e-05  3.81092616e-05 
-1.18000000e-02  1.67402695e+00  7.64379171e-01  2.17570536e-01  1.98540592e-05  1.82551058e-05  3.81091643e-05 
-1.17000000e-02  1.67172739e+00  7.64428692e-01  2.17562623e-01  1.98382593e-05  1.82708040e-05  3.81090626e-05 
-1.16000000e-02  1.66929549e+00  7.64477678e-01  2.17554346e-01  1.98226413e-05  1.82863158e-05  3.81089563e-05 
-1.15000000e-02  1.66672173e+00  7.64526084e-01  2.17545677e-01  1.98072184e-05  1.83016273e-05  3.81088450e-05 
-1.14000000e-02  1.66399626e+00  7.64573868e-01  2.17536585e-01  1.97920045e-05  1.83167243e-05  3.81087282e-05 
-1.13000000e-02  1.66110901e+00  7.64620982e-01  2.17527040e-01  1.97770138e-05  1.83315924e-05  3.81086056e-05 
-1.12000000e-02  1.65804987e+00  7.64667380e-01  2.17517009e-01  1.97622605e-05  1.83462168e-05  3.81084767e-05 
-1.11000000e-02  1.65480887e+00  7.64713017e-01  2.17506463e-01  1.97477588e-05  1.83605830e-05  3.81083412e-05 
-1.10000000e-02  1.65137644e+00  7.64757848e-01  2.17495371e-01  1.97335224e-05  1.83746769e-05  3.81081987e-05 
-1.09000000e-02  1.64774366e+00  7.64801831e-01  2.17483706e-01  1.97195639e-05  1.83884854e-05  3.81080487e-05 
-1.08000000e-02  1.64390251e+00  7.64844928e-01  2.17471440e-01  1.97058951e-05  1.84019965e-05  3.81078911e-05 
-1.07000000e-02  1.63984622e+00  7.64887106e-01  2.17458552e-01  1.96925259e-05  1.84152000e-05  3.81077254e-05 
-1.06000000e-02  1.63556949e+00  7.64928338e-01  2.17445024e-01  1.96794643e-05  1.84280876e-05  3.81075515e-05 
-1.05000000e-02  1.63106871e+00  7.64968604e-01  2.17430842e-01  1.96667161e-05  1.84406534e-05  3.81073692e-05 
-1.04000000e-02  1.62634214e+00  7.65007892e-01  2.17415998e-01  1.96542846e-05  1.84528940e-05  3.81071783e-05 
-1.03000000e-02  1.62137840e+00  7.65046147e-01  2.17400456e-01  1.96421864e-05  1.84647927e-05  3.81069784e-05 
-1.02000000e-02  1.61620206e+00  7.65083473e-01  2.17384285e-01  1.96303882e-05  1.84763829e-05  3.81067705e-05 
-1.01000000e-02  1.61080649e+00  7.65119838e-01  2.17367464e-01  1.96189003e-05  1.84876545e-05  3.81065541e-05 
-1.00000000e-02  1.60519734e+00  7.65155259e-01  2.17350005e-01  1.96077157e-05  1.84986144e-05  3.81063295e-05 
-9.90000000e-03  1.59938167e+00  7.65189765e-01  2.17331927e-01  1.95968258e-05  1.85092717e-05  3.81060968e-05 
-9.80000000e-03  1.59336763e+00  7.65223387e-01  2.17313250e-01  1.95862201e-05  1.85196370e-05  3.81058565e-05 
-9.70000000e-03  1.58716420e+00  7.65256159e-01  2.17293999e-01  1.95758873e-05  1.85297221e-05  3.81056087e-05 
-9.60000000e-03  1.58078090e+00  7.65288119e-01  2.17274199e-01  1.95658150e-05  1.85395394e-05  3.81053538e-05 
-9.50000000e-03  1.57422752e+00  7.65319306e-01  2.17253877e-01  1.95559907e-05  1.85491021e-05  3.81050921e-05 
-9.40000000e-03  1.56751387e+00  7.65349760e-01  2.17233058e-01  1.95464017e-05  1.85584231e-05  3.81048240e-05 
-9.30000000e-03  1.56064966e+00  7.65379520e-01  2.17211770e-01  1.95370353e-05  1.85675153e-05  3.81045498e-05 
-9.20000000e-03  1.55364428e+00  7.65408622e-01  2.17190038e-01  1.95278794e-05  1.85763912e-05  3.81042699e-05 
-9.10000000e-03  1.54650675e+00  7.65437105e-01  2.17167887e-01  1.95189223e-05  1.85850629e-05  3.81039845e-05 
-9.00000000e-03  1.53924563e+00  7.65465002e-01  2.17145339e-01  1.95101529e-05  1.85935417e-05  3.81036939e-05 
-8.90000000e-03  1.53186899e+00  7.65492346e-01  2.17122418e-01  1.95015607e-05  1.86018384e-05  3.81033984e-05 
-8.80000000e-03  1.52438438e+00  7.65519166e-01  2.17099143e-01  1.94931361e-05  1.86099629e-05  3.81030984e-05 
-8.70000000e-03  1.51679885e+00  7.65545493e-01  2.17075533e-01  1.94848700e-05  1.86179246e-05  3.81027939e-05 
-8.60000000e-03  1.50911895e+00  7.65571351e-01  2.17051607e-01  1.94767540e-05  1.86257321e-05  3.81024854e-05 
-8.50000000e-03  1.50135073e+00  7.65596764e-01  2.17027381e-01  1.94687802e-05  1.86333933e-05  3.81021728e-05 
-8.40000000e-03  1.49350091e+00  7.65621762e-01  2.17002873e-01  1.94609399e-05  1.86409170e-05  3.81018566e-05 
