 frequency                onoise_spectrum         
 3.54813389233575959e+05  7.21182599551286690e-08 
 3.75837404288444726e+05  7.07472925053860778e-08 
 3.98107170553497854e+05  6.94150763931137886e-08 
 4.21696503428582917e+05  6.81206486639220913e-08 
 4.46683592150963843e+05  6.68630554527373457e-08 
 4.73151258961481275e+05  6.56413504648669787e-08 
 5.01187233627273119e+05  6.44545933817772011e-08 
 5.30884444230989204e+05  6.33018481833618125e-08 
 5.62341325190349948e+05  6.21821813783262223e-08 
 5.95662143529011402e+05  6.10946601334142169e-08 
 6.30957344480194268e+05  6.00383502922326637e-08 
 6.68343917568615638e+05  5.90123142737570584e-08 
 7.07945784384138999e+05  5.80156088409824013e-08 
 7.49894209332456929e+05  5.70472827301345838e-08 
 7.94328234724282636e+05  5.61063741313733011e-08 
 8.41395141645196243e+05  5.51919080132415396e-08 
 8.91250938133746735e+05  5.43028932843938157e-08 
 9.44060876285924693e+05  5.34383197889457017e-08 
 1.00000000000000140e+06  5.25971551347848101e-08 
 1.05925372517729038e+06  5.17783413593147528e-08 
 1.12201845430196496e+06  5.09807914426889465e-08 
 1.18850222743702005e+06  5.02033856870353817e-08 
 1.25892541179416887e+06  4.94449679901138617e-08 
 1.33352143216332584e+06  4.87043420545645195e-08 
 1.41253754462275631e+06  4.79802675896804945e-08 
 1.49623565609443560e+06  4.72714565818237485e-08 
 1.58489319246111577e+06  4.65765697322955573e-08 
 1.67880401812256267e+06  4.58942131887838369e-08 
 1.77827941003892524e+06  4.52229357271799986e-08 
 1.88364908948980318e+06  4.45612265763935761e-08 
 1.99526231496888236e+06  4.39075141172208523e-08 
 2.11348903983664978e+06  4.32601657282995360e-08 
 2.23872113856834266e+06  4.26174890945750178e-08 
 2.37137370566165866e+06  4.19777353351920522e-08 
 2.51188643150958372e+06  4.13391043437859477e-08 
 2.66072505979881343e+06  4.06997527610085136e-08 
 2.81838293126445776e+06  4.00578050098621778e-08 
 2.98538261891796393e+06  3.94113678126131704e-08 
 3.16227766016838374e+06  3.87585485649285759e-08 
 3.34965439157828130e+06  3.80974778598277010e-08 
 3.54813389233575948e+06  3.74263363231204526e-08 
 3.75837404288444668e+06  3.67433857359751427e-08 
 3.98107170553497784e+06  3.60470041765876551e-08 
 4.21696503428582847e+06  3.53357246135519724e-08 
 4.46683592150963750e+06  3.46082760377621746e-08 
 4.73151258961481135e+06  3.38636258470409751e-08 
 5.01187233627272956e+06  3.31010218263657435e-08 
 5.30884444230989087e+06  3.23200317351562409e-08 
 5.62341325190349855e+06  3.15205782671095363e-08 
 5.95662143529011309e+06  3.07029670344929085e-08 
 6.30957344480194151e+06  2.98679052909954883e-08 
 6.68343917568615545e+06  2.90165093745505578e-08 
 7.07945784384138882e+06  2.81502993334597454e-08 
 7.49894209332456905e+06  2.72711798769638795e-08 
 7.94328234724282660e+06  2.63814076181959327e-08 
 8.41395141645196266e+06  2.54835454789125630e-08 
 8.91250938133746758e+06  2.45804060102728514e-08 
 9.44060876285924762e+06  2.36749861555714551e-08 
 1.00000000000000149e+07  2.27703965531628884e-08 
 1.05925372517729048e+07  2.18697887890362260e-08 
 1.12201845430196505e+07  2.09762840306481235e-08 
 1.18850222743702009e+07  2.00929062165946591e-08 
 1.25892541179416906e+07  1.92225224843154292e-08 
 1.33352143216332607e+07  1.83677928592597050e-08 
 1.41253754462275654e+07  1.75311304852732902e-08 
 1.49623565609443579e+07  1.67146729281622087e-08 
 1.58489319246111605e+07  1.59202644017569030e-08 
 1.67880401812256314e+07  1.51494481987498384e-08 
 1.77827941003892571e+07  1.44034681856533798e-08 
 1.88364908948980346e+07  1.36832779503947447e-08 
 1.99526231496888287e+07  1.29895560630231026e-08 
 2.11348903983665034e+07  1.23227259037981628e-08 
 2.23872113856834322e+07  1.16829786011851903e-08 
 2.37137370566165894e+07  1.10702977759129967e-08 
 2.51188643150958419e+07  1.04844849792119690e-08 
 2.66072505979881398e+07  9.92518492060350295e-09 
 2.81838293126445860e+07  9.39190978545623256e-09 
 2.98538261891796477e+07  8.88406213245142233e-09 
 3.16227766016838476e+07  8.40095602846680647e-09 
 3.34965439157828242e+07  7.94183621947294333e-09 
 3.54813389233576059e+07  7.50589525010815390e-09 
 3.75837404288444817e+07  7.09228853300545114e-09 
 3.98107170553497970e+07  6.70014743429968461e-09 
 4.21696503428582996e+07  6.32859048731581160e-09 
 4.46683592150963917e+07  5.97673287567928649e-09 
 4.73151258961481303e+07  5.64369434333606436e-09 
 5.01187233627273142e+07  5.32860569523313777e-09 
 5.30884444230989292e+07  5.03061405131962099e-09 
 5.62341325190350115e+07  4.74888701025066245e-09 
 5.95662143529011533e+07  4.48261586947889357e-09 
 6.30957344480194375e+07  4.23101803666853597e-09 
 6.68343917568615824e+07  3.99333875460901749e-09 
 7.07945784384139180e+07  3.76885224879801864e-09 
 7.49894209332457185e+07  3.55686239414530579e-09 
 7.94328234724282920e+07  3.35670298517505226e-09 
 8.41395141645196527e+07  3.16773768289739910e-09 
 8.91250938133747131e+07  2.98935970129763215e-09 
 9.44060876285925061e+07  2.82099128719856007e-09 
 1.00000000000000179e+08  2.66208303908114779e-09 
